,time
0,0 days 00:00:01.963038
1,0 days 00:00:01.451121
2,0 days 00:00:01.523070
3,0 days 00:00:03.091581
4,0 days 00:00:01.721417
5,0 days 00:00:01.554330
6,0 days 00:00:01.467836
7,0 days 00:00:01.381570
8,0 days 00:00:01.773258
9,0 days 00:00:01.204663
10,0 days 00:00:02.205836
11,0 days 00:00:02.312472
12,0 days 00:00:01.438209
13,0 days 00:00:03.068085
14,0 days 00:00:01.398066
15,0 days 00:00:01.643421
16,0 days 00:00:01.363426
17,0 days 00:00:01.008197
18,0 days 00:00:01.861385
19,0 days 00:00:01.778887
20,0 days 00:00:01.519158
21,0 days 00:00:01.031921
22,0 days 00:00:01.571898
23,0 days 00:00:02.678811
24,0 days 00:00:01.638758
25,0 days 00:00:02.891023
26,0 days 00:00:01.044959
27,0 days 00:00:01.098232
28,0 days 00:00:01.044784
29,0 days 00:00:04.512412
30,0 days 00:00:02.559414
31,0 days 00:00:01.256002
32,0 days 00:00:01.535971
33,0 days 00:00:01.045677
34,0 days 00:00:03.841892
35,0 days 00:00:00.941020
36,0 days 00:00:01.414234
37,0 days 00:00:01.124439
38,0 days 00:00:01.946850
39,0 days 00:00:01.451209
40,0 days 00:00:01.360497
41,0 days 00:00:01.255726
42,0 days 00:00:02.183760
43,0 days 00:00:01.491497
44,0 days 00:00:01.119955
45,0 days 00:00:02.117729
46,0 days 00:00:01.099927
47,0 days 00:00:01.457000
48,0 days 00:00:02.879531
49,0 days 00:00:02.941658
50,0 days 00:00:02.609165
51,0 days 00:00:02.440885
52,0 days 00:00:01.872613
53,0 days 00:00:03.749844
54,0 days 00:00:07.682613
55,0 days 00:00:01.083493
56,0 days 00:00:00.928674
57,0 days 00:00:01.099942
58,0 days 00:00:03.241646
59,0 days 00:00:00.986109
60,0 days 00:00:01.474491
61,0 days 00:00:09.281303
62,0 days 00:00:02.841630
63,0 days 00:00:02.172185
64,0 days 00:00:03.715699
65,0 days 00:00:01.687588
66,0 days 00:00:03.417573
67,0 days 00:00:03.541212
68,0 days 00:00:01.729526
69,0 days 00:00:01.015949
70,0 days 00:00:02.674730
71,0 days 00:00:01.287599
72,0 days 00:00:02.434130
73,0 days 00:00:01.628992
74,0 days 00:00:00.959050
75,0 days 00:00:02.149825
76,0 days 00:00:04.792066
77,0 days 00:00:01.694420
78,0 days 00:00:02.311937
79,0 days 00:00:01.736915
80,0 days 00:00:02.273786
81,0 days 00:00:01.151204
82,0 days 00:00:08.178199
83,0 days 00:00:02.069628
84,0 days 00:00:02.311131
85,0 days 00:00:02.152017
86,0 days 00:00:01.087339
87,0 days 00:00:02.046518
88,0 days 00:00:02.082646
89,0 days 00:00:01.941128
90,0 days 00:00:01.068575
91,0 days 00:00:01.978990
92,0 days 00:00:01.116874
93,0 days 00:00:00.957757
94,0 days 00:00:01.050950
95,0 days 00:00:01.769393
96,0 days 00:00:03.719559
97,0 days 00:00:01.080538
98,0 days 00:00:01.876844
99,0 days 00:00:01.855607
100,0 days 00:00:02.470927
101,0 days 00:00:01.605852
