,time
0,0 days 00:00:04.484169
1,0 days 00:00:01.068493
2,0 days 00:00:01.652889
3,0 days 00:00:02.655233
4,0 days 00:00:01.150077
5,0 days 00:00:01.066958
6,0 days 00:00:01.020090
7,0 days 00:00:02.352005
8,0 days 00:00:00.915002
9,0 days 00:00:01.735094
10,0 days 00:00:02.464636
11,0 days 00:00:02.268955
12,0 days 00:00:02.352641
13,0 days 00:00:01.013993
14,0 days 00:00:00.914733
15,0 days 00:00:01.442336
16,0 days 00:00:01.198962
17,0 days 00:00:02.240301
18,0 days 00:00:01.768866
19,0 days 00:00:01.929041
20,0 days 00:00:04.067065
21,0 days 00:00:02.843886
22,0 days 00:00:02.354983
23,0 days 00:00:02.308274
24,0 days 00:00:01.756536
25,0 days 00:00:01.265870
26,0 days 00:00:01.154429
27,0 days 00:00:01.306514
28,0 days 00:00:01.452006
29,0 days 00:00:01.319901
30,0 days 00:00:03.854895
31,0 days 00:00:02.470076
32,0 days 00:00:01.392519
33,0 days 00:00:01.871572
34,0 days 00:00:02.676340
35,0 days 00:00:01.333669
36,0 days 00:00:01.220441
37,0 days 00:00:01.735259
38,0 days 00:00:02.000405
39,0 days 00:00:00.881754
40,0 days 00:00:01.065470
41,0 days 00:00:02.594664
42,0 days 00:00:02.553507
43,0 days 00:00:01.199199
44,0 days 00:00:01.234619
45,0 days 00:00:01.622663
46,0 days 00:00:01.719598
47,0 days 00:00:02.354198
48,0 days 00:00:02.631378
49,0 days 00:00:01.507970
50,0 days 00:00:02.410363
51,0 days 00:00:02.691098
52,0 days 00:00:01.512502
53,0 days 00:00:01.736797
54,0 days 00:00:02.265664
55,0 days 00:00:01.286818
56,0 days 00:00:01.203823
57,0 days 00:00:03.080678
58,0 days 00:00:02.146537
59,0 days 00:00:02.868314
60,0 days 00:00:01.201219
61,0 days 00:00:02.024976
62,0 days 00:00:01.504085
63,0 days 00:00:01.527308
64,0 days 00:00:00.951303
65,0 days 00:00:01.908497
66,0 days 00:00:01.520225
67,0 days 00:00:00.938930
68,0 days 00:00:01.991051
69,0 days 00:00:01.284618
70,0 days 00:00:00.900061
71,0 days 00:00:01.038508
72,0 days 00:00:01.738778
73,0 days 00:00:00.949583
74,0 days 00:00:01.984881
75,0 days 00:00:02.087943
76,0 days 00:00:01.522671
77,0 days 00:00:01.170958
78,0 days 00:00:02.443027
79,0 days 00:00:02.528874
80,0 days 00:00:01.038484
81,0 days 00:00:01.454531
82,0 days 00:00:01.002236
83,0 days 00:00:01.437614
84,0 days 00:00:01.075124
85,0 days 00:00:01.791196
86,0 days 00:00:01.085411
87,0 days 00:00:03.878089
88,0 days 00:00:03.657027
89,0 days 00:00:00.889293
90,0 days 00:00:01.334792
91,0 days 00:00:01.437092
92,0 days 00:00:00.983688
93,0 days 00:00:01.310988
94,0 days 00:00:01.689562
95,0 days 00:00:02.074434
96,0 days 00:00:01.132521
97,0 days 00:00:03.167322
98,0 days 00:00:02.648559
99,0 days 00:00:01.770698
100,0 days 00:00:01.100347
101,0 days 00:00:01.484975
102,0 days 00:00:02.903205
103,0 days 00:00:02.280441
104,0 days 00:00:01.918306
105,0 days 00:00:02.291191
106,0 days 00:00:01.187086
107,0 days 00:00:01.101012
108,0 days 00:00:02.124348
109,0 days 00:00:01.606851
110,0 days 00:00:02.642810
111,0 days 00:00:01.518938
112,0 days 00:00:01.634805
113,0 days 00:00:01.237259
114,0 days 00:00:03.124294
115,0 days 00:00:01.385709
116,0 days 00:00:01.217276
117,0 days 00:00:02.847795
118,0 days 00:00:02.140251
119,0 days 00:00:01.720224
120,0 days 00:00:01.047702
121,0 days 00:00:01.602123
122,0 days 00:00:02.425206
123,0 days 00:00:01.869232
124,0 days 00:00:01.048777
125,0 days 00:00:02.730151
126,0 days 00:00:01.070788
127,0 days 00:00:02.563556
128,0 days 00:00:01.249009
