,time
0,0 days 00:00:03.019338
1,0 days 00:00:01.365821
2,0 days 00:00:00.939826
3,0 days 00:00:01.142159
4,0 days 00:00:00.921619
5,0 days 00:00:04.412561
6,0 days 00:00:00.905899
7,0 days 00:00:00.972824
8,0 days 00:00:01.562742
9,0 days 00:00:01.174693
10,0 days 00:00:01.265836
11,0 days 00:00:02.870382
12,0 days 00:00:01.344746
13,0 days 00:00:01.448170
14,0 days 00:00:03.646976
15,0 days 00:00:02.375177
16,0 days 00:00:01.347756
17,0 days 00:00:02.398865
18,0 days 00:00:03.601273
19,0 days 00:00:03.915005
20,0 days 00:00:01.511364
21,0 days 00:00:01.053572
22,0 days 00:00:00.932551
23,0 days 00:00:01.902646
24,0 days 00:00:01.986990
25,0 days 00:00:02.603610
26,0 days 00:00:00.921586
27,0 days 00:00:01.160717
28,0 days 00:00:02.336396
29,0 days 00:00:00.970702
30,0 days 00:00:03.627684
31,0 days 00:00:01.542480
32,0 days 00:00:00.891183
33,0 days 00:00:00.921434
34,0 days 00:00:00.921197
35,0 days 00:00:01.273990
36,0 days 00:00:01.731260
37,0 days 00:00:01.107841
38,0 days 00:00:01.662452
39,0 days 00:00:01.289444
40,0 days 00:00:01.413955
41,0 days 00:00:01.023444
42,0 days 00:00:01.122108
43,0 days 00:00:01.660691
44,0 days 00:00:01.544633
45,0 days 00:00:00.953526
46,0 days 00:00:01.514075
47,0 days 00:00:00.922488
48,0 days 00:00:03.448708
49,0 days 00:00:00.894659
50,0 days 00:00:01.006309
51,0 days 00:00:01.377225
52,0 days 00:00:00.891263
53,0 days 00:00:02.431765
54,0 days 00:00:01.602509
55,0 days 00:00:01.549067
56,0 days 00:00:02.006737
57,0 days 00:00:06.658337
58,0 days 00:00:01.268993
59,0 days 00:00:00.974942
60,0 days 00:00:00.942538
61,0 days 00:00:00.940917
62,0 days 00:00:05.913278
63,0 days 00:00:01.719804
64,0 days 00:00:01.447438
65,0 days 00:00:03.757933
66,0 days 00:00:01.655817
67,0 days 00:00:01.524621
68,0 days 00:00:01.991309
69,0 days 00:00:00.991592
70,0 days 00:00:01.108539
71,0 days 00:00:01.057386
72,0 days 00:00:01.095328
73,0 days 00:00:00.958763
74,0 days 00:00:01.008535
