,time
0,0 days 00:00:02.864363
1,0 days 00:00:01.046757
2,0 days 00:00:02.676386
3,0 days 00:00:01.067247
4,0 days 00:00:00.959653
5,0 days 00:00:02.651469
6,0 days 00:00:01.060073
7,0 days 00:00:01.067813
8,0 days 00:00:01.409432
9,0 days 00:00:04.304364
10,0 days 00:00:00.925063
11,0 days 00:00:01.215633
12,0 days 00:00:00.999820
13,0 days 00:00:01.522772
14,0 days 00:00:01.671488
15,0 days 00:00:02.338958
16,0 days 00:00:00.972061
17,0 days 00:00:01.831236
18,0 days 00:00:01.156621
19,0 days 00:00:01.532793
20,0 days 00:00:02.585264
21,0 days 00:00:01.495102
22,0 days 00:00:02.878705
23,0 days 00:00:00.867026
24,0 days 00:00:01.586763
25,0 days 00:00:01.627275
26,0 days 00:00:00.933243
27,0 days 00:00:01.469397
28,0 days 00:00:01.777900
29,0 days 00:00:02.679695
30,0 days 00:00:02.254815
31,0 days 00:00:02.751285
32,0 days 00:00:03.101060
33,0 days 00:00:02.354348
34,0 days 00:00:01.333369
35,0 days 00:00:04.096727
36,0 days 00:00:00.917552
37,0 days 00:00:04.880167
38,0 days 00:00:01.447497
39,0 days 00:00:01.471134
40,0 days 00:00:01.197826
41,0 days 00:00:05.038663
42,0 days 00:00:01.404186
43,0 days 00:00:01.220781
44,0 days 00:00:03.406564
45,0 days 00:00:03.311693
46,0 days 00:00:02.094956
47,0 days 00:00:01.770466
48,0 days 00:00:01.414206
49,0 days 00:00:02.125301
50,0 days 00:00:09.013813
51,0 days 00:00:01.595919
52,0 days 00:00:00.868425
53,0 days 00:00:01.453298
54,0 days 00:00:01.922813
55,0 days 00:00:01.243357
56,0 days 00:00:01.200792
57,0 days 00:00:01.362270
58,0 days 00:00:01.595330
59,0 days 00:00:01.523312
60,0 days 00:00:01.182283
61,0 days 00:00:03.348793
62,0 days 00:00:01.508918
63,0 days 00:00:01.918113
64,0 days 00:00:01.677325
65,0 days 00:00:02.218251
66,0 days 00:00:01.650533
67,0 days 00:00:02.276859
68,0 days 00:00:02.007591
69,0 days 00:00:01.695869
70,0 days 00:00:01.087588
71,0 days 00:00:01.060271
72,0 days 00:00:01.162738
73,0 days 00:00:01.466609
74,0 days 00:00:02.000230
