,time
0,0 days 00:00:03.250291
1,0 days 00:00:01.102434
2,0 days 00:00:02.503287
3,0 days 00:00:02.617565
4,0 days 00:00:01.118842
5,0 days 00:00:01.016213
6,0 days 00:00:01.217172
7,0 days 00:00:01.450534
8,0 days 00:00:01.712135
9,0 days 00:00:00.955667
10,0 days 00:00:03.529296
11,0 days 00:00:01.762178
12,0 days 00:00:01.057588
13,0 days 00:00:00.880203
14,0 days 00:00:01.889134
15,0 days 00:00:00.892981
16,0 days 00:00:02.138892
17,0 days 00:00:01.509642
18,0 days 00:00:01.727766
19,0 days 00:00:01.488612
20,0 days 00:00:02.017892
21,0 days 00:00:01.694357
22,0 days 00:00:02.004032
23,0 days 00:00:02.958616
24,0 days 00:00:01.053837
25,0 days 00:00:01.710610
26,0 days 00:00:02.265219
27,0 days 00:00:01.079265
28,0 days 00:00:03.714625
29,0 days 00:00:02.765295
30,0 days 00:00:05.178920
31,0 days 00:00:01.119368
32,0 days 00:00:00.882164
33,0 days 00:00:01.645580
34,0 days 00:00:03.711612
35,0 days 00:00:01.800115
36,0 days 00:00:00.938911
37,0 days 00:00:01.417533
38,0 days 00:00:01.924558
39,0 days 00:00:01.697860
40,0 days 00:00:02.639254
41,0 days 00:00:01.007145
42,0 days 00:00:04.880889
43,0 days 00:00:02.053095
44,0 days 00:00:04.463874
45,0 days 00:00:04.227297
46,0 days 00:00:01.759155
47,0 days 00:00:01.211163
48,0 days 00:00:02.162916
49,0 days 00:00:01.021933
50,0 days 00:00:01.351925
51,0 days 00:00:00.912728
52,0 days 00:00:01.048205
53,0 days 00:00:00.927824
54,0 days 00:00:01.911900
55,0 days 00:00:01.092383
56,0 days 00:00:01.352013
57,0 days 00:00:01.023790
58,0 days 00:00:01.068078
59,0 days 00:00:02.361000
60,0 days 00:00:02.594733
61,0 days 00:00:01.959289
62,0 days 00:00:02.549250
63,0 days 00:00:02.520255
64,0 days 00:00:01.078180
65,0 days 00:00:02.387674
66,0 days 00:00:01.875450
67,0 days 00:00:02.691529
68,0 days 00:00:01.858313
69,0 days 00:00:00.938706
70,0 days 00:00:01.929791
71,0 days 00:00:04.283349
72,0 days 00:00:01.999666
73,0 days 00:00:02.635401
74,0 days 00:00:00.964744
75,0 days 00:00:01.413334
76,0 days 00:00:08.886868
77,0 days 00:00:00.905759
78,0 days 00:00:02.237178
79,0 days 00:00:01.199914
80,0 days 00:00:01.431585
81,0 days 00:00:01.961725
82,0 days 00:00:01.069225
83,0 days 00:00:01.105721
84,0 days 00:00:01.185495
85,0 days 00:00:01.539629
86,0 days 00:00:01.664776
87,0 days 00:00:02.677648
88,0 days 00:00:02.254511
89,0 days 00:00:02.644530
90,0 days 00:00:02.106345
91,0 days 00:00:01.113902
92,0 days 00:00:02.515300
93,0 days 00:00:01.040290
94,0 days 00:00:01.747101
95,0 days 00:00:01.636139
96,0 days 00:00:05.412460
97,0 days 00:00:02.612110
98,0 days 00:00:01.417781
99,0 days 00:00:01.338497
100,0 days 00:00:00.946320
101,0 days 00:00:01.440090
102,0 days 00:00:02.168104
103,0 days 00:00:02.166361
104,0 days 00:00:01.815433
105,0 days 00:00:03.210538
106,0 days 00:00:01.154322
107,0 days 00:00:01.878389
108,0 days 00:00:01.514318
109,0 days 00:00:01.594179
110,0 days 00:00:01.918552
111,0 days 00:00:01.757910
112,0 days 00:00:01.634075
113,0 days 00:00:02.367871
114,0 days 00:00:01.742134
115,0 days 00:00:01.204839
116,0 days 00:00:02.198518
117,0 days 00:00:02.295723
118,0 days 00:00:01.370901
119,0 days 00:00:02.220910
120,0 days 00:00:02.034717
121,0 days 00:00:03.595458
122,0 days 00:00:00.890663
123,0 days 00:00:01.826702
124,0 days 00:00:01.168963
125,0 days 00:00:01.407359
126,0 days 00:00:01.095694
127,0 days 00:00:03.180682
128,0 days 00:00:01.379765
129,0 days 00:00:01.573035
130,0 days 00:00:02.336263
131,0 days 00:00:02.684681
132,0 days 00:00:02.292073
133,0 days 00:00:02.118430
134,0 days 00:00:01.995169
135,0 days 00:00:06.172226
136,0 days 00:00:03.228380
137,0 days 00:00:03.080403
138,0 days 00:00:04.041693
139,0 days 00:00:00.918336
140,0 days 00:00:01.247144
141,0 days 00:00:02.562493
142,0 days 00:00:02.254275
143,0 days 00:00:01.400904
144,0 days 00:00:02.350162
145,0 days 00:00:02.002033
146,0 days 00:00:01.515170
147,0 days 00:00:03.350433
148,0 days 00:00:01.492173
149,0 days 00:00:01.766600
150,0 days 00:00:00.907136
151,0 days 00:00:01.694929
152,0 days 00:00:01.512310
153,0 days 00:00:01.284848
154,0 days 00:00:02.593254
155,0 days 00:00:00.947020
156,0 days 00:00:01.021680
157,0 days 00:00:01.456254
158,0 days 00:00:01.901420
159,0 days 00:00:00.920276
160,0 days 00:00:01.211495
161,0 days 00:00:03.987400
162,0 days 00:00:02.008300
163,0 days 00:00:01.234317
164,0 days 00:00:01.234042
165,0 days 00:00:02.994642
166,0 days 00:00:02.905591
167,0 days 00:00:01.921685
168,0 days 00:00:00.862292
169,0 days 00:00:03.774277
170,0 days 00:00:01.052726
171,0 days 00:00:01.656557
172,0 days 00:00:03.142265
173,0 days 00:00:01.572186
174,0 days 00:00:00.957447
175,0 days 00:00:00.966208
176,0 days 00:00:00.885824
177,0 days 00:00:01.303533
178,0 days 00:00:01.734983
179,0 days 00:00:04.119696
180,0 days 00:00:03.418126
181,0 days 00:00:01.268725
182,0 days 00:00:06.792322
183,0 days 00:00:03.256160
184,0 days 00:00:01.841087
185,0 days 00:00:01.775856
186,0 days 00:00:02.695143
187,0 days 00:00:01.037904
188,0 days 00:00:05.598166
189,0 days 00:00:01.682465
190,0 days 00:00:01.488303
191,0 days 00:00:05.873166
192,0 days 00:00:01.251458
193,0 days 00:00:01.912686
194,0 days 00:00:01.772367
195,0 days 00:00:01.912764
196,0 days 00:00:01.936209
197,0 days 00:00:00.926877
198,0 days 00:00:01.540705
199,0 days 00:00:01.255946
200,0 days 00:00:01.288871
201,0 days 00:00:01.760832
202,0 days 00:00:00.985492
203,0 days 00:00:01.276527
204,0 days 00:00:01.724152
205,0 days 00:00:01.923587
206,0 days 00:00:02.609391
207,0 days 00:00:01.632207
208,0 days 00:00:02.368783
209,0 days 00:00:03.465500
210,0 days 00:00:01.612081
211,0 days 00:00:01.883473
212,0 days 00:00:00.919681
213,0 days 00:00:02.691723
214,0 days 00:00:01.984642
215,0 days 00:00:01.782332
216,0 days 00:00:03.792205
217,0 days 00:00:00.920811
218,0 days 00:00:01.935923
219,0 days 00:00:00.898103
220,0 days 00:00:02.706760
221,0 days 00:00:01.593520
222,0 days 00:00:01.196356
223,0 days 00:00:01.852660
224,0 days 00:00:00.996408
225,0 days 00:00:01.116823
226,0 days 00:00:02.366217
