,time
0,0 days 00:00:01.912968
1,0 days 00:00:03.886652
2,0 days 00:00:01.894835
3,0 days 00:00:02.729016
4,0 days 00:00:01.123995
5,0 days 00:00:01.304982
6,0 days 00:00:02.375965
7,0 days 00:00:01.506078
8,0 days 00:00:00.934772
9,0 days 00:00:01.176433
10,0 days 00:00:00.969505
11,0 days 00:00:01.723581
12,0 days 00:00:01.254238
13,0 days 00:00:01.025252
14,0 days 00:00:01.068433
15,0 days 00:00:01.790900
16,0 days 00:00:01.186725
17,0 days 00:00:01.509216
18,0 days 00:00:01.103341
19,0 days 00:00:01.269784
20,0 days 00:00:00.968393
21,0 days 00:00:01.001056
22,0 days 00:00:01.443817
23,0 days 00:00:00.934079
24,0 days 00:00:01.203107
25,0 days 00:00:00.885291
26,0 days 00:00:01.795010
27,0 days 00:00:02.263303
28,0 days 00:00:01.439453
29,0 days 00:00:00.884082
30,0 days 00:00:02.869288
31,0 days 00:00:02.852714
32,0 days 00:00:00.885792
33,0 days 00:00:01.356400
34,0 days 00:00:01.320457
35,0 days 00:00:00.905850
36,0 days 00:00:01.672414
37,0 days 00:00:01.471490
38,0 days 00:00:01.001862
39,0 days 00:00:00.938378
40,0 days 00:00:02.503992
41,0 days 00:00:01.490877
42,0 days 00:00:01.356228
43,0 days 00:00:02.924810
44,0 days 00:00:00.969017
45,0 days 00:00:02.125545
46,0 days 00:00:01.622379
47,0 days 00:00:01.202209
48,0 days 00:00:00.972936
49,0 days 00:00:00.987089
50,0 days 00:00:02.430163
51,0 days 00:00:00.918686
52,0 days 00:00:02.618641
53,0 days 00:00:00.903933
54,0 days 00:00:01.272704
55,0 days 00:00:01.153710
56,0 days 00:00:01.186526
57,0 days 00:00:01.930758
58,0 days 00:00:01.692118
59,0 days 00:00:01.069099
60,0 days 00:00:01.573404
61,0 days 00:00:00.939876
62,0 days 00:00:00.920534
63,0 days 00:00:02.261682
64,0 days 00:00:01.774946
65,0 days 00:00:01.745426
66,0 days 00:00:00.952930
67,0 days 00:00:01.120270
68,0 days 00:00:01.998199
69,0 days 00:00:01.117471
70,0 days 00:00:00.922874
71,0 days 00:00:02.327359
72,0 days 00:00:00.935748
73,0 days 00:00:01.689670
74,0 days 00:00:01.645173
75,0 days 00:00:01.930067
76,0 days 00:00:01.138411
77,0 days 00:00:01.002036
78,0 days 00:00:02.885057
79,0 days 00:00:01.137690
80,0 days 00:00:01.456744
81,0 days 00:00:02.649491
82,0 days 00:00:02.477670
83,0 days 00:00:00.889882
84,0 days 00:00:01.527019
85,0 days 00:00:01.606365
86,0 days 00:00:00.968948
87,0 days 00:00:02.855985
88,0 days 00:00:01.845393
89,0 days 00:00:01.474189
90,0 days 00:00:00.883915
91,0 days 00:00:04.216045
92,0 days 00:00:02.636779
93,0 days 00:00:02.683363
94,0 days 00:00:01.270542
95,0 days 00:00:02.912104
96,0 days 00:00:01.787660
97,0 days 00:00:01.778418
98,0 days 00:00:01.021137
99,0 days 00:00:04.622226
100,0 days 00:00:02.221619
101,0 days 00:00:01.371372
102,0 days 00:00:01.204788
103,0 days 00:00:01.658164
104,0 days 00:00:03.245839
105,0 days 00:00:01.965052
106,0 days 00:00:01.760496
107,0 days 00:00:02.478556
108,0 days 00:00:04.577512
109,0 days 00:00:01.190555
110,0 days 00:00:01.119657
111,0 days 00:00:01.105422
112,0 days 00:00:01.373188
113,0 days 00:00:01.240028
