,time
0,0 days 00:00:02.833616
1,0 days 00:00:00.990046
2,0 days 00:00:01.150790
3,0 days 00:00:02.551178
4,0 days 00:00:01.083045
5,0 days 00:00:01.774150
6,0 days 00:00:01.478435
7,0 days 00:00:01.908148
8,0 days 00:00:01.482673
9,0 days 00:00:02.241867
10,0 days 00:00:01.446039
11,0 days 00:00:01.741912
12,0 days 00:00:01.080542
13,0 days 00:00:01.521636
14,0 days 00:00:02.599826
15,0 days 00:00:01.272633
16,0 days 00:00:01.603860
17,0 days 00:00:03.000782
18,0 days 00:00:01.034228
19,0 days 00:00:03.948384
20,0 days 00:00:01.832364
21,0 days 00:00:05.099675
22,0 days 00:00:02.150233
23,0 days 00:00:03.498179
24,0 days 00:00:03.440443
25,0 days 00:00:03.071086
26,0 days 00:00:00.943024
27,0 days 00:00:02.186757
28,0 days 00:00:02.512297
29,0 days 00:00:01.147438
30,0 days 00:00:00.991265
31,0 days 00:00:01.611082
32,0 days 00:00:01.414722
33,0 days 00:00:01.258119
34,0 days 00:00:01.991762
35,0 days 00:00:02.612124
36,0 days 00:00:02.264094
37,0 days 00:00:01.834673
38,0 days 00:00:02.469608
39,0 days 00:00:07.041684
40,0 days 00:00:01.118194
41,0 days 00:00:03.906919
42,0 days 00:00:01.222022
43,0 days 00:00:01.834709
44,0 days 00:00:01.686079
45,0 days 00:00:01.221535
46,0 days 00:00:01.397853
47,0 days 00:00:02.082314
48,0 days 00:00:02.402910
49,0 days 00:00:05.884198
50,0 days 00:00:01.274186
51,0 days 00:00:01.466186
52,0 days 00:00:01.261693
53,0 days 00:00:01.805895
54,0 days 00:00:00.932963
55,0 days 00:00:01.765752
