,time
0,0 days 00:00:02.980896
1,0 days 00:00:01.458438
2,0 days 00:00:00.884476
3,0 days 00:00:02.313762
4,0 days 00:00:01.959062
5,0 days 00:00:01.951706
6,0 days 00:00:02.166040
7,0 days 00:00:01.113080
8,0 days 00:00:01.492732
9,0 days 00:00:02.810859
10,0 days 00:00:01.835531
11,0 days 00:00:02.376803
12,0 days 00:00:00.884396
13,0 days 00:00:01.644509
14,0 days 00:00:00.934244
15,0 days 00:00:02.282721
16,0 days 00:00:03.094131
17,0 days 00:00:01.953125
18,0 days 00:00:01.035771
19,0 days 00:00:01.311803
20,0 days 00:00:01.656559
21,0 days 00:00:01.657531
22,0 days 00:00:01.168790
23,0 days 00:00:01.476430
24,0 days 00:00:01.396179
25,0 days 00:00:02.117781
26,0 days 00:00:01.497211
27,0 days 00:00:01.577301
28,0 days 00:00:01.266030
29,0 days 00:00:01.673072
30,0 days 00:00:03.481339
31,0 days 00:00:01.233814
32,0 days 00:00:01.278727
33,0 days 00:00:00.981972
34,0 days 00:00:01.393372
35,0 days 00:00:02.848401
36,0 days 00:00:01.625770
37,0 days 00:00:01.641583
38,0 days 00:00:01.015306
39,0 days 00:00:01.793544
40,0 days 00:00:02.122925
41,0 days 00:00:01.525746
42,0 days 00:00:01.164462
43,0 days 00:00:01.409765
44,0 days 00:00:00.888969
45,0 days 00:00:01.940940
46,0 days 00:00:02.192331
47,0 days 00:00:00.901476
48,0 days 00:00:01.658014
49,0 days 00:00:01.642542
50,0 days 00:00:01.988064
51,0 days 00:00:01.890651
52,0 days 00:00:01.240215
53,0 days 00:00:01.460637
54,0 days 00:00:01.722906
55,0 days 00:00:01.860993
56,0 days 00:00:02.303470
57,0 days 00:00:01.825114
58,0 days 00:00:01.542267
59,0 days 00:00:00.988972
60,0 days 00:00:02.087384
61,0 days 00:00:00.885785
62,0 days 00:00:03.319543
63,0 days 00:00:01.166922
64,0 days 00:00:01.945551
65,0 days 00:00:02.718307
66,0 days 00:00:02.102443
67,0 days 00:00:01.114422
68,0 days 00:00:01.267755
69,0 days 00:00:01.018969
70,0 days 00:00:01.329910
71,0 days 00:00:01.245771
72,0 days 00:00:00.981654
73,0 days 00:00:02.043107
74,0 days 00:00:01.594433
75,0 days 00:00:01.690212
76,0 days 00:00:01.920601
77,0 days 00:00:01.666776
78,0 days 00:00:00.984935
79,0 days 00:00:01.626680
80,0 days 00:00:02.284595
81,0 days 00:00:02.050288
82,0 days 00:00:01.629907
83,0 days 00:00:01.081714
84,0 days 00:00:00.867111
85,0 days 00:00:01.724832
86,0 days 00:00:01.040289
87,0 days 00:00:01.117444
88,0 days 00:00:01.377625
89,0 days 00:00:01.921611
90,0 days 00:00:01.269475
91,0 days 00:00:00.903121
92,0 days 00:00:01.559053
93,0 days 00:00:01.001668
94,0 days 00:00:01.729790
95,0 days 00:00:00.951400
96,0 days 00:00:01.692330
97,0 days 00:00:02.368565
98,0 days 00:00:01.461442
99,0 days 00:00:01.300878
100,0 days 00:00:01.085663
101,0 days 00:00:01.444432
102,0 days 00:00:00.884093
103,0 days 00:00:00.906434
104,0 days 00:00:00.951501
105,0 days 00:00:01.313165
106,0 days 00:00:01.823456
107,0 days 00:00:01.929893
108,0 days 00:00:01.663437
109,0 days 00:00:01.018352
110,0 days 00:00:00.949948
111,0 days 00:00:00.866570
112,0 days 00:00:01.960490
