,time
0,0 days 00:00:03.292263
1,0 days 00:00:02.066820
2,0 days 00:00:01.114589
3,0 days 00:00:02.275790
4,0 days 00:00:01.297909
5,0 days 00:00:01.895156
6,0 days 00:00:01.249956
7,0 days 00:00:01.037955
8,0 days 00:00:02.020969
9,0 days 00:00:02.769460
10,0 days 00:00:01.782500
11,0 days 00:00:02.086236
12,0 days 00:00:00.905794
13,0 days 00:00:01.854122
14,0 days 00:00:02.321581
15,0 days 00:00:01.574429
16,0 days 00:00:02.680092
17,0 days 00:00:01.836945
18,0 days 00:00:01.169162
19,0 days 00:00:01.921853
20,0 days 00:00:01.405707
21,0 days 00:00:01.219162
22,0 days 00:00:07.763850
23,0 days 00:00:00.881254
24,0 days 00:00:01.099065
25,0 days 00:00:01.257259
26,0 days 00:00:00.925789
27,0 days 00:00:02.661927
28,0 days 00:00:01.396291
29,0 days 00:00:01.523277
30,0 days 00:00:01.108583
31,0 days 00:00:01.616925
32,0 days 00:00:01.368621
33,0 days 00:00:01.332112
34,0 days 00:00:03.421833
35,0 days 00:00:03.048245
36,0 days 00:00:01.268232
37,0 days 00:00:02.410387
38,0 days 00:00:04.651885
39,0 days 00:00:04.172924
40,0 days 00:00:06.852587
41,0 days 00:00:01.886677
42,0 days 00:00:00.956714
43,0 days 00:00:00.938642
44,0 days 00:00:01.208395
45,0 days 00:00:01.542109
46,0 days 00:00:00.908274
47,0 days 00:00:01.326976
48,0 days 00:00:00.939648
49,0 days 00:00:01.336726
50,0 days 00:00:01.988145
51,0 days 00:00:01.515113
52,0 days 00:00:00.956441
53,0 days 00:00:04.690839
54,0 days 00:00:01.194586
55,0 days 00:00:02.157295
56,0 days 00:00:01.394157
57,0 days 00:00:03.589829
58,0 days 00:00:06.801096
59,0 days 00:00:07.338851
60,0 days 00:00:01.278808
61,0 days 00:00:05.525956
62,0 days 00:00:00.912082
63,0 days 00:00:00.941800
64,0 days 00:00:00.905578
65,0 days 00:00:01.790943
66,0 days 00:00:02.168669
67,0 days 00:00:02.127874
68,0 days 00:00:01.330847
69,0 days 00:00:02.322294
70,0 days 00:00:02.371800
71,0 days 00:00:01.218290
72,0 days 00:00:01.533111
73,0 days 00:00:00.939899
74,0 days 00:00:02.138224
75,0 days 00:00:01.097448
76,0 days 00:00:03.088808
77,0 days 00:00:02.105326
78,0 days 00:00:01.513052
79,0 days 00:00:02.172217
80,0 days 00:00:08.454746
81,0 days 00:00:01.277732
82,0 days 00:00:01.935282
83,0 days 00:00:01.731494
84,0 days 00:00:01.519404
85,0 days 00:00:01.142242
86,0 days 00:00:02.878516
87,0 days 00:00:01.865964
88,0 days 00:00:01.990744
89,0 days 00:00:00.958761
90,0 days 00:00:00.972555
91,0 days 00:00:02.010164
92,0 days 00:00:01.277447
93,0 days 00:00:02.583631
94,0 days 00:00:00.957552
95,0 days 00:00:06.607349
96,0 days 00:00:02.222585
97,0 days 00:00:07.175677
98,0 days 00:00:02.648808
99,0 days 00:00:06.325768
100,0 days 00:00:01.006803
101,0 days 00:00:02.854473
102,0 days 00:00:01.429771
103,0 days 00:00:02.225324
104,0 days 00:00:00.923529
105,0 days 00:00:02.136578
106,0 days 00:00:01.721907
107,0 days 00:00:02.613461
108,0 days 00:00:01.209583
109,0 days 00:00:02.237452
110,0 days 00:00:02.010754
111,0 days 00:00:02.075261
112,0 days 00:00:02.131120
113,0 days 00:00:07.604614
