,time
0,0 days 00:00:03.393740
1,0 days 00:00:00.959418
2,0 days 00:00:01.386972
3,0 days 00:00:01.577157
4,0 days 00:00:02.750223
5,0 days 00:00:01.505099
6,0 days 00:00:01.700715
7,0 days 00:00:02.095153
8,0 days 00:00:04.510282
9,0 days 00:00:01.591500
10,0 days 00:00:02.119124
11,0 days 00:00:06.094641
12,0 days 00:00:03.122336
13,0 days 00:00:02.119464
14,0 days 00:00:01.188243
15,0 days 00:00:01.169605
16,0 days 00:00:01.721342
17,0 days 00:00:01.152492
18,0 days 00:00:04.229800
19,0 days 00:00:01.538482
20,0 days 00:00:02.460788
21,0 days 00:00:01.015175
22,0 days 00:00:00.924798
23,0 days 00:00:04.159147
24,0 days 00:00:01.108579
25,0 days 00:00:02.998235
26,0 days 00:00:01.344164
27,0 days 00:00:01.484226
28,0 days 00:00:01.555082
29,0 days 00:00:01.191451
30,0 days 00:00:02.337179
31,0 days 00:00:03.943721
32,0 days 00:00:01.784339
33,0 days 00:00:04.073838
34,0 days 00:00:01.575716
35,0 days 00:00:04.854654
36,0 days 00:00:01.151942
37,0 days 00:00:01.438206
38,0 days 00:00:01.544019
39,0 days 00:00:02.029030
40,0 days 00:00:02.802031
41,0 days 00:00:01.151781
42,0 days 00:00:02.852601
43,0 days 00:00:00.926530
44,0 days 00:00:04.122580
45,0 days 00:00:01.530596
46,0 days 00:00:01.099277
47,0 days 00:00:01.157833
48,0 days 00:00:05.643873
49,0 days 00:00:02.491940
50,0 days 00:00:02.070671
51,0 days 00:00:03.486121
52,0 days 00:00:01.013350
53,0 days 00:00:03.080311
54,0 days 00:00:05.818067
55,0 days 00:00:05.021749
