,time
0,0 days 00:00:03.511641
1,0 days 00:00:01.572996
2,0 days 00:00:01.513254
3,0 days 00:00:01.361751
4,0 days 00:00:01.745059
5,0 days 00:00:01.091892
6,0 days 00:00:02.983689
7,0 days 00:00:01.796248
8,0 days 00:00:01.441294
9,0 days 00:00:02.767042
10,0 days 00:00:01.222187
11,0 days 00:00:01.813873
12,0 days 00:00:00.926047
13,0 days 00:00:01.505251
14,0 days 00:00:01.238510
15,0 days 00:00:01.760607
16,0 days 00:00:02.469095
17,0 days 00:00:02.050777
18,0 days 00:00:01.205932
19,0 days 00:00:01.056561
20,0 days 00:00:03.538641
21,0 days 00:00:01.326039
22,0 days 00:00:01.737601
23,0 days 00:00:02.583639
24,0 days 00:00:01.229219
25,0 days 00:00:01.456056
26,0 days 00:00:01.869815
27,0 days 00:00:01.919761
28,0 days 00:00:01.969282
29,0 days 00:00:01.196559
30,0 days 00:00:01.972372
31,0 days 00:00:01.390480
32,0 days 00:00:00.991011
33,0 days 00:00:01.131068
34,0 days 00:00:03.987205
35,0 days 00:00:01.721321
36,0 days 00:00:01.074925
37,0 days 00:00:01.512720
38,0 days 00:00:01.259220
39,0 days 00:00:01.058035
40,0 days 00:00:01.701972
41,0 days 00:00:01.126293
42,0 days 00:00:02.987956
43,0 days 00:00:01.855480
44,0 days 00:00:01.705530
45,0 days 00:00:00.956727
46,0 days 00:00:01.360678
47,0 days 00:00:02.022844
48,0 days 00:00:02.066685
49,0 days 00:00:01.172075
50,0 days 00:00:00.964193
51,0 days 00:00:01.240276
52,0 days 00:00:00.991195
53,0 days 00:00:01.189380
54,0 days 00:00:01.057462
55,0 days 00:00:01.577709
56,0 days 00:00:01.748487
57,0 days 00:00:00.900956
58,0 days 00:00:00.886420
59,0 days 00:00:01.254144
60,0 days 00:00:01.415996
61,0 days 00:00:01.948678
62,0 days 00:00:01.885993
63,0 days 00:00:01.377438
64,0 days 00:00:01.506044
65,0 days 00:00:02.300022
66,0 days 00:00:01.875984
67,0 days 00:00:01.072029
68,0 days 00:00:01.144705
69,0 days 00:00:02.652565
70,0 days 00:00:01.621744
71,0 days 00:00:00.890195
72,0 days 00:00:01.480535
73,0 days 00:00:00.925963
74,0 days 00:00:01.620584
75,0 days 00:00:01.701492
76,0 days 00:00:01.637963
77,0 days 00:00:01.477669
78,0 days 00:00:00.891235
79,0 days 00:00:01.469291
80,0 days 00:00:00.973850
81,0 days 00:00:01.709747
82,0 days 00:00:01.723231
83,0 days 00:00:01.928504
84,0 days 00:00:00.867202
85,0 days 00:00:01.179512
86,0 days 00:00:01.542839
87,0 days 00:00:02.366762
88,0 days 00:00:01.551351
89,0 days 00:00:01.188080
90,0 days 00:00:03.135204
91,0 days 00:00:01.736441
92,0 days 00:00:00.873585
93,0 days 00:00:01.155694
94,0 days 00:00:02.087472
95,0 days 00:00:01.125307
96,0 days 00:00:01.620929
97,0 days 00:00:01.055583
98,0 days 00:00:00.929090
99,0 days 00:00:01.490210
100,0 days 00:00:01.354991
101,0 days 00:00:01.403328
102,0 days 00:00:00.955195
103,0 days 00:00:01.234819
104,0 days 00:00:02.502406
105,0 days 00:00:01.539751
106,0 days 00:00:01.023815
107,0 days 00:00:01.479045
108,0 days 00:00:01.975414
109,0 days 00:00:01.638514
110,0 days 00:00:02.378309
111,0 days 00:00:01.727799
112,0 days 00:00:00.976112
113,0 days 00:00:01.989162
114,0 days 00:00:01.886689
115,0 days 00:00:01.023637
116,0 days 00:00:01.411330
117,0 days 00:00:00.978609
118,0 days 00:00:01.456000
119,0 days 00:00:00.956496
120,0 days 00:00:01.593691
121,0 days 00:00:01.940176
122,0 days 00:00:01.124022
123,0 days 00:00:01.222038
124,0 days 00:00:01.056790
125,0 days 00:00:01.213965
126,0 days 00:00:03.117301
127,0 days 00:00:03.430451
128,0 days 00:00:02.148208
129,0 days 00:00:00.996441
130,0 days 00:00:02.522976
131,0 days 00:00:00.890778
132,0 days 00:00:01.089099
133,0 days 00:00:01.144205
134,0 days 00:00:01.166819
135,0 days 00:00:01.242968
136,0 days 00:00:00.875400
137,0 days 00:00:00.956482
138,0 days 00:00:01.164180
139,0 days 00:00:01.706284
140,0 days 00:00:02.731621
141,0 days 00:00:01.717429
142,0 days 00:00:00.901230
143,0 days 00:00:01.423595
144,0 days 00:00:01.487803
145,0 days 00:00:01.006827
146,0 days 00:00:01.429777
147,0 days 00:00:01.408127
148,0 days 00:00:01.059060
149,0 days 00:00:00.990367
150,0 days 00:00:01.321518
151,0 days 00:00:00.898583
152,0 days 00:00:01.290749
153,0 days 00:00:01.437878
154,0 days 00:00:01.223308
155,0 days 00:00:01.792815
156,0 days 00:00:01.242211
157,0 days 00:00:01.373664
