,time
0,0 days 00:00:01.314540
1,0 days 00:00:01.913451
2,0 days 00:00:01.621725
3,0 days 00:00:01.905850
4,0 days 00:00:01.688118
5,0 days 00:00:01.649104
6,0 days 00:00:01.739803
7,0 days 00:00:01.239177
8,0 days 00:00:01.924177
9,0 days 00:00:01.611755
10,0 days 00:00:02.758009
11,0 days 00:00:01.627575
12,0 days 00:00:02.273528
13,0 days 00:00:01.939883
14,0 days 00:00:01.791094
15,0 days 00:00:02.048925
16,0 days 00:00:01.715588
17,0 days 00:00:01.304855
18,0 days 00:00:01.992991
19,0 days 00:00:02.082672
20,0 days 00:00:01.837192
21,0 days 00:00:01.352660
22,0 days 00:00:02.207487
23,0 days 00:00:02.469949
24,0 days 00:00:02.002902
25,0 days 00:00:01.974929
26,0 days 00:00:01.833556
27,0 days 00:00:01.567828
28,0 days 00:00:01.505851
29,0 days 00:00:02.011067
30,0 days 00:00:01.960895
31,0 days 00:00:01.413375
32,0 days 00:00:01.974334
33,0 days 00:00:01.303684
34,0 days 00:00:02.042520
35,0 days 00:00:01.563893
36,0 days 00:00:02.202934
37,0 days 00:00:02.816524
38,0 days 00:00:02.878429
39,0 days 00:00:01.960858
40,0 days 00:00:01.979593
41,0 days 00:00:02.499846
42,0 days 00:00:02.029860
43,0 days 00:00:01.814798
44,0 days 00:00:01.511115
45,0 days 00:00:01.957980
46,0 days 00:00:01.276628
47,0 days 00:00:01.675382
48,0 days 00:00:02.075251
49,0 days 00:00:02.201364
50,0 days 00:00:02.077582
51,0 days 00:00:02.086107
52,0 days 00:00:01.289509
53,0 days 00:00:01.973648
54,0 days 00:00:02.574041
55,0 days 00:00:01.285213
56,0 days 00:00:03.713762
57,0 days 00:00:11.027009
58,0 days 00:00:01.666131
59,0 days 00:00:06.327991
60,0 days 00:00:02.013586
61,0 days 00:00:02.406773
62,0 days 00:00:03.233816
63,0 days 00:00:02.161355
64,0 days 00:00:03.137996
65,0 days 00:00:02.693858
66,0 days 00:00:02.884189
67,0 days 00:00:09.177352
68,0 days 00:00:02.214398
69,0 days 00:00:01.576408
70,0 days 00:00:03.123551
71,0 days 00:00:01.269226
72,0 days 00:00:03.401624
73,0 days 00:00:03.329536
74,0 days 00:00:01.262666
75,0 days 00:00:02.878464
76,0 days 00:00:13.483347
77,0 days 00:00:12.414956
78,0 days 00:00:13.487826
79,0 days 00:00:04.417501
80,0 days 00:00:15.374561
81,0 days 00:00:01.888928
82,0 days 00:00:11.185530
83,0 days 00:00:09.047819
84,0 days 00:00:12.067873
85,0 days 00:00:09.741283
86,0 days 00:00:08.108963
87,0 days 00:00:06.255649
88,0 days 00:00:08.778893
89,0 days 00:00:11.590359
90,0 days 00:00:12.694837
91,0 days 00:00:10.764844
92,0 days 00:00:02.025059
93,0 days 00:00:01.845293
94,0 days 00:00:01.698305
95,0 days 00:00:15.414536
96,0 days 00:00:10.492070
97,0 days 00:00:01.874709
98,0 days 00:00:10.002170
99,0 days 00:00:10.110185
100,0 days 00:00:12.597996
101,0 days 00:00:11.458894
