,time
0,0 days 00:00:01.189548
1,0 days 00:00:01.115467
2,0 days 00:00:00.932833
3,0 days 00:00:01.275897
4,0 days 00:00:01.171390
5,0 days 00:00:01.413504
6,0 days 00:00:01.066916
7,0 days 00:00:01.068052
8,0 days 00:00:01.097087
9,0 days 00:00:01.234818
10,0 days 00:00:00.785182
11,0 days 00:00:01.038704
12,0 days 00:00:01.172814
13,0 days 00:00:01.097587
14,0 days 00:00:01.012969
15,0 days 00:00:00.859843
16,0 days 00:00:01.470559
17,0 days 00:00:00.784668
18,0 days 00:00:00.956511
19,0 days 00:00:01.172696
20,0 days 00:00:00.874622
21,0 days 00:00:01.068310
22,0 days 00:00:00.786288
23,0 days 00:00:00.924383
24,0 days 00:00:00.831641
25,0 days 00:00:00.963238
26,0 days 00:00:01.113405
27,0 days 00:00:00.954309
28,0 days 00:00:00.786687
29,0 days 00:00:01.142376
30,0 days 00:00:01.231045
31,0 days 00:00:00.881049
32,0 days 00:00:00.845456
33,0 days 00:00:01.128741
34,0 days 00:00:01.128283
35,0 days 00:00:01.172084
36,0 days 00:00:01.176107
37,0 days 00:00:00.787364
38,0 days 00:00:01.186931
39,0 days 00:00:01.081755
40,0 days 00:00:01.153555
41,0 days 00:00:01.428579
42,0 days 00:00:00.815804
43,0 days 00:00:01.517078
44,0 days 00:00:01.142326
45,0 days 00:00:01.298152
46,0 days 00:00:01.040551
47,0 days 00:00:01.321188
48,0 days 00:00:01.380302
49,0 days 00:00:00.999204
50,0 days 00:00:01.146907
51,0 days 00:00:01.158414
52,0 days 00:00:00.786207
53,0 days 00:00:00.955591
54,0 days 00:00:01.288449
55,0 days 00:00:01.198841
56,0 days 00:00:01.245595
57,0 days 00:00:01.220766
58,0 days 00:00:01.201521
59,0 days 00:00:01.212718
60,0 days 00:00:01.230294
61,0 days 00:00:00.983848
62,0 days 00:00:01.171968
63,0 days 00:00:01.168997
64,0 days 00:00:01.198957
65,0 days 00:00:01.056583
66,0 days 00:00:00.991664
67,0 days 00:00:00.972762
68,0 days 00:00:01.197335
69,0 days 00:00:01.206619
70,0 days 00:00:00.854365
71,0 days 00:00:01.213466
72,0 days 00:00:00.792456
73,0 days 00:00:01.152042
74,0 days 00:00:01.388535
75,0 days 00:00:01.185266
76,0 days 00:00:01.619048
77,0 days 00:00:01.437099
78,0 days 00:00:01.374221
79,0 days 00:00:00.855220
80,0 days 00:00:00.988527
81,0 days 00:00:01.018922
82,0 days 00:00:01.221616
83,0 days 00:00:01.230583
84,0 days 00:00:01.215917
85,0 days 00:00:01.138330
86,0 days 00:00:01.213125
87,0 days 00:00:01.223232
88,0 days 00:00:01.201823
89,0 days 00:00:00.898046
90,0 days 00:00:01.380902
91,0 days 00:00:01.085621
92,0 days 00:00:01.021117
93,0 days 00:00:01.245315
94,0 days 00:00:01.184803
95,0 days 00:00:01.085913
96,0 days 00:00:01.150034
97,0 days 00:00:01.019951
98,0 days 00:00:01.334756
99,0 days 00:00:01.032570
100,0 days 00:00:00.952104
101,0 days 00:00:01.233699
102,0 days 00:00:01.215899
103,0 days 00:00:01.451957
104,0 days 00:00:01.296909
105,0 days 00:00:01.581058
106,0 days 00:00:01.289351
107,0 days 00:00:01.273433
108,0 days 00:00:01.258772
109,0 days 00:00:01.115102
110,0 days 00:00:01.204265
111,0 days 00:00:00.946123
112,0 days 00:00:01.558053
113,0 days 00:00:01.266022
114,0 days 00:00:00.916082
115,0 days 00:00:01.052558
116,0 days 00:00:01.303885
117,0 days 00:00:01.288999
118,0 days 00:00:01.297498
119,0 days 00:00:01.309159
120,0 days 00:00:01.273522
121,0 days 00:00:01.335762
122,0 days 00:00:00.965140
123,0 days 00:00:01.353142
124,0 days 00:00:00.991132
125,0 days 00:00:01.797560
126,0 days 00:00:00.996800
127,0 days 00:00:01.457171
128,0 days 00:00:01.337476
129,0 days 00:00:01.257491
130,0 days 00:00:01.273442
131,0 days 00:00:01.294883
132,0 days 00:00:01.307717
133,0 days 00:00:01.426378
134,0 days 00:00:01.033816
135,0 days 00:00:01.635000
136,0 days 00:00:01.248824
137,0 days 00:00:01.275143
138,0 days 00:00:01.139677
139,0 days 00:00:00.912853
140,0 days 00:00:01.084909
141,0 days 00:00:01.037066
142,0 days 00:00:01.261964
143,0 days 00:00:01.755380
144,0 days 00:00:01.235114
145,0 days 00:00:01.294586
146,0 days 00:00:01.456336
147,0 days 00:00:01.407662
148,0 days 00:00:01.478690
149,0 days 00:00:01.400331
150,0 days 00:00:00.932181
151,0 days 00:00:00.794601
152,0 days 00:00:00.793696
153,0 days 00:00:01.550271
154,0 days 00:00:01.020838
155,0 days 00:00:01.548006
156,0 days 00:00:01.140173
157,0 days 00:00:01.101876
158,0 days 00:00:01.396381
159,0 days 00:00:01.334433
160,0 days 00:00:01.484326
161,0 days 00:00:01.289241
162,0 days 00:00:01.822057
163,0 days 00:00:01.352797
164,0 days 00:00:00.793894
165,0 days 00:00:01.366885
166,0 days 00:00:01.504902
167,0 days 00:00:00.794543
168,0 days 00:00:01.169910
169,0 days 00:00:01.409470
170,0 days 00:00:01.221311
171,0 days 00:00:00.794498
172,0 days 00:00:02.102895
173,0 days 00:00:02.458640
174,0 days 00:00:02.564209
175,0 days 00:00:02.655060
176,0 days 00:00:02.148738
177,0 days 00:00:01.457430
178,0 days 00:00:00.794346
