,time
0,0 days 00:00:00.974759
1,0 days 00:00:01.307789
2,0 days 00:00:01.079695
3,0 days 00:00:01.250922
4,0 days 00:00:00.806693
5,0 days 00:00:01.444194
6,0 days 00:00:00.835301
7,0 days 00:00:00.810279
8,0 days 00:00:00.837674
9,0 days 00:00:00.851050
10,0 days 00:00:01.277978
11,0 days 00:00:01.233023
12,0 days 00:00:01.327363
13,0 days 00:00:01.308154
14,0 days 00:00:01.094918
15,0 days 00:00:01.033452
16,0 days 00:00:00.810494
17,0 days 00:00:01.233899
18,0 days 00:00:01.156638
19,0 days 00:00:01.048833
20,0 days 00:00:01.191775
21,0 days 00:00:00.806124
22,0 days 00:00:00.805117
23,0 days 00:00:01.247876
24,0 days 00:00:01.398309
25,0 days 00:00:01.434594
26,0 days 00:00:00.805976
27,0 days 00:00:01.021212
28,0 days 00:00:01.841574
29,0 days 00:00:00.826063
30,0 days 00:00:01.910107
31,0 days 00:00:01.781426
32,0 days 00:00:00.805185
33,0 days 00:00:00.810162
34,0 days 00:00:00.956959
35,0 days 00:00:02.469014
36,0 days 00:00:01.705634
37,0 days 00:00:01.094334
38,0 days 00:00:01.529484
39,0 days 00:00:01.262400
40,0 days 00:00:01.916611
41,0 days 00:00:00.804697
42,0 days 00:00:01.039519
43,0 days 00:00:00.807186
44,0 days 00:00:01.415173
45,0 days 00:00:00.805297
46,0 days 00:00:01.826901
47,0 days 00:00:00.919575
48,0 days 00:00:02.316118
49,0 days 00:00:01.354895
50,0 days 00:00:00.896919
51,0 days 00:00:01.557157
52,0 days 00:00:01.064898
53,0 days 00:00:02.909759
54,0 days 00:00:01.536756
55,0 days 00:00:01.313620
56,0 days 00:00:04.254079
57,0 days 00:00:03.260832
58,0 days 00:00:01.841057
59,0 days 00:00:01.200754
60,0 days 00:00:00.811617
61,0 days 00:00:00.806202
62,0 days 00:00:02.374182
63,0 days 00:00:01.475828
64,0 days 00:00:01.344059
65,0 days 00:00:01.876674
66,0 days 00:00:01.950828
67,0 days 00:00:01.416250
68,0 days 00:00:03.306377
69,0 days 00:00:00.811566
70,0 days 00:00:00.944788
71,0 days 00:00:00.911862
72,0 days 00:00:00.805289
73,0 days 00:00:00.871489
74,0 days 00:00:01.058810
