,time
0,0 days 00:00:01.611071
1,0 days 00:00:01.058546
2,0 days 00:00:00.810559
3,0 days 00:00:01.186440
4,0 days 00:00:00.922302
5,0 days 00:00:00.979760
6,0 days 00:00:00.810436
7,0 days 00:00:00.819022
8,0 days 00:00:00.920032
9,0 days 00:00:00.936315
10,0 days 00:00:00.873651
11,0 days 00:00:00.956509
12,0 days 00:00:00.876082
13,0 days 00:00:00.933589
14,0 days 00:00:01.193480
15,0 days 00:00:00.816817
16,0 days 00:00:00.812501
17,0 days 00:00:01.164767
18,0 days 00:00:01.298816
19,0 days 00:00:01.039625
20,0 days 00:00:01.324321
21,0 days 00:00:00.811162
22,0 days 00:00:01.270526
23,0 days 00:00:01.039051
24,0 days 00:00:00.986439
25,0 days 00:00:00.964563
26,0 days 00:00:01.256036
27,0 days 00:00:01.316594
28,0 days 00:00:01.138335
29,0 days 00:00:01.089872
30,0 days 00:00:00.811528
31,0 days 00:00:00.901850
32,0 days 00:00:00.855414
33,0 days 00:00:00.955077
34,0 days 00:00:01.088483
35,0 days 00:00:01.395024
36,0 days 00:00:01.070841
37,0 days 00:00:01.354410
38,0 days 00:00:00.811976
39,0 days 00:00:01.380469
40,0 days 00:00:01.484050
41,0 days 00:00:01.377845
42,0 days 00:00:02.012803
43,0 days 00:00:00.982157
44,0 days 00:00:02.281242
45,0 days 00:00:01.008594
46,0 days 00:00:02.018995
47,0 days 00:00:02.548933
48,0 days 00:00:01.487834
49,0 days 00:00:01.608365
50,0 days 00:00:02.841434
51,0 days 00:00:01.688286
52,0 days 00:00:01.474513
53,0 days 00:00:01.147574
54,0 days 00:00:01.592850
55,0 days 00:00:00.817299
56,0 days 00:00:01.793000
57,0 days 00:00:01.317407
58,0 days 00:00:01.346407
59,0 days 00:00:01.155990
60,0 days 00:00:00.814249
61,0 days 00:00:01.378364
62,0 days 00:00:01.286355
63,0 days 00:00:13.194247
64,0 days 00:00:00.818504
65,0 days 00:00:07.719027
66,0 days 00:00:06.085012
67,0 days 00:00:03.975250
68,0 days 00:00:02.381663
69,0 days 00:00:01.071478
70,0 days 00:00:02.638426
71,0 days 00:00:01.805677
72,0 days 00:00:01.982137
73,0 days 00:00:00.813492
74,0 days 00:00:01.272969
75,0 days 00:00:01.270062
76,0 days 00:00:01.300736
77,0 days 00:00:01.477246
78,0 days 00:00:01.257376
79,0 days 00:00:02.709918
80,0 days 00:00:01.070435
81,0 days 00:00:00.817918
82,0 days 00:00:01.320520
83,0 days 00:00:02.130658
84,0 days 00:00:01.042906
85,0 days 00:00:02.605906
86,0 days 00:00:01.497297
87,0 days 00:00:04.499043
88,0 days 00:00:02.113921
89,0 days 00:00:00.810064
90,0 days 00:00:01.537034
91,0 days 00:00:00.905081
92,0 days 00:00:01.379093
93,0 days 00:00:01.897766
94,0 days 00:00:02.320132
95,0 days 00:00:01.638747
96,0 days 00:00:02.192511
97,0 days 00:00:02.419797
98,0 days 00:00:01.850215
99,0 days 00:00:01.620673
100,0 days 00:00:03.452505
101,0 days 00:00:01.256468
102,0 days 00:00:01.656036
103,0 days 00:00:00.816734
104,0 days 00:00:02.484160
105,0 days 00:00:01.578428
106,0 days 00:00:01.532099
107,0 days 00:00:01.559865
108,0 days 00:00:01.031730
109,0 days 00:00:01.546947
110,0 days 00:00:01.564668
111,0 days 00:00:02.420996
112,0 days 00:00:00.939678
113,0 days 00:00:14.209530
