,time
0,0 days 00:00:01.061350
1,0 days 00:00:00.854732
2,0 days 00:00:01.005974
3,0 days 00:00:01.030761
4,0 days 00:00:00.780013
5,0 days 00:00:01.328306
6,0 days 00:00:00.859125
7,0 days 00:00:00.796898
8,0 days 00:00:01.148229
9,0 days 00:00:00.775876
10,0 days 00:00:00.999913
11,0 days 00:00:01.018565
12,0 days 00:00:00.827301
13,0 days 00:00:00.781373
14,0 days 00:00:01.066805
15,0 days 00:00:00.779491
16,0 days 00:00:00.896934
17,0 days 00:00:01.427078
18,0 days 00:00:01.241544
19,0 days 00:00:00.826457
20,0 days 00:00:01.179038
21,0 days 00:00:00.956554
22,0 days 00:00:00.933776
23,0 days 00:00:00.958414
24,0 days 00:00:00.779785
25,0 days 00:00:00.795974
26,0 days 00:00:00.912328
27,0 days 00:00:00.784313
28,0 days 00:00:01.488452
29,0 days 00:00:00.986461
30,0 days 00:00:01.060077
31,0 days 00:00:01.243385
32,0 days 00:00:00.781039
33,0 days 00:00:01.089435
34,0 days 00:00:00.971459
35,0 days 00:00:00.853509
36,0 days 00:00:00.814245
37,0 days 00:00:01.032498
38,0 days 00:00:00.913523
39,0 days 00:00:01.030056
40,0 days 00:00:01.093216
41,0 days 00:00:00.781642
42,0 days 00:00:01.076687
43,0 days 00:00:01.311094
44,0 days 00:00:00.784451
45,0 days 00:00:00.927472
46,0 days 00:00:01.236732
47,0 days 00:00:01.030119
48,0 days 00:00:00.913969
49,0 days 00:00:01.345299
50,0 days 00:00:01.311292
51,0 days 00:00:00.779979
52,0 days 00:00:01.456857
53,0 days 00:00:00.837292
54,0 days 00:00:01.298835
55,0 days 00:00:00.855096
56,0 days 00:00:00.868806
57,0 days 00:00:00.778944
58,0 days 00:00:00.785334
59,0 days 00:00:01.176729
60,0 days 00:00:01.621549
61,0 days 00:00:01.002164
62,0 days 00:00:01.153121
63,0 days 00:00:01.567214
64,0 days 00:00:00.884093
65,0 days 00:00:01.341689
66,0 days 00:00:01.419179
67,0 days 00:00:01.239144
68,0 days 00:00:01.327115
69,0 days 00:00:00.781694
70,0 days 00:00:01.088135
71,0 days 00:00:01.212816
72,0 days 00:00:01.209082
73,0 days 00:00:01.620137
74,0 days 00:00:00.782078
75,0 days 00:00:01.095814
76,0 days 00:00:01.518261
77,0 days 00:00:00.780946
78,0 days 00:00:01.266892
79,0 days 00:00:01.091386
80,0 days 00:00:01.713834
81,0 days 00:00:01.756817
82,0 days 00:00:01.178433
83,0 days 00:00:00.781680
84,0 days 00:00:01.184656
85,0 days 00:00:02.128080
