,time
0,0 days 00:00:01.154679
1,0 days 00:00:00.802775
2,0 days 00:00:01.029918
3,0 days 00:00:01.053998
4,0 days 00:00:00.817834
5,0 days 00:00:01.075673
6,0 days 00:00:01.089816
7,0 days 00:00:01.081734
8,0 days 00:00:01.084876
9,0 days 00:00:01.380250
10,0 days 00:00:00.805125
11,0 days 00:00:01.083508
12,0 days 00:00:01.167591
13,0 days 00:00:00.833717
14,0 days 00:00:01.139565
15,0 days 00:00:00.946328
16,0 days 00:00:00.850127
17,0 days 00:00:01.153190
18,0 days 00:00:00.848576
19,0 days 00:00:00.884874
20,0 days 00:00:00.808380
21,0 days 00:00:00.819222
22,0 days 00:00:01.167020
23,0 days 00:00:00.833048
24,0 days 00:00:00.839333
25,0 days 00:00:00.805066
26,0 days 00:00:00.897117
27,0 days 00:00:01.228961
28,0 days 00:00:01.113064
29,0 days 00:00:00.805411
30,0 days 00:00:01.109497
31,0 days 00:00:00.941071
32,0 days 00:00:00.805177
33,0 days 00:00:01.099432
34,0 days 00:00:00.911678
35,0 days 00:00:00.804645
36,0 days 00:00:01.139112
37,0 days 00:00:01.066869
38,0 days 00:00:00.821574
39,0 days 00:00:00.819202
40,0 days 00:00:01.030856
41,0 days 00:00:01.293899
42,0 days 00:00:01.018745
43,0 days 00:00:01.078929
44,0 days 00:00:00.849052
45,0 days 00:00:01.505623
46,0 days 00:00:01.431988
47,0 days 00:00:01.049618
48,0 days 00:00:00.804159
49,0 days 00:00:00.908897
50,0 days 00:00:01.266678
51,0 days 00:00:00.804785
52,0 days 00:00:00.984390
53,0 days 00:00:00.818727
54,0 days 00:00:01.062375
55,0 days 00:00:00.977150
56,0 days 00:00:00.880887
57,0 days 00:00:01.077183
58,0 days 00:00:01.015237
59,0 days 00:00:00.885182
60,0 days 00:00:02.177220
61,0 days 00:00:01.442555
62,0 days 00:00:00.802835
63,0 days 00:00:01.325153
64,0 days 00:00:01.140078
65,0 days 00:00:01.123429
66,0 days 00:00:00.803544
67,0 days 00:00:01.349855
68,0 days 00:00:00.946391
69,0 days 00:00:00.959720
70,0 days 00:00:00.804101
71,0 days 00:00:01.471312
72,0 days 00:00:00.869111
73,0 days 00:00:00.989161
74,0 days 00:00:01.106362
75,0 days 00:00:01.417915
76,0 days 00:00:01.137189
77,0 days 00:00:00.872063
78,0 days 00:00:01.413862
79,0 days 00:00:00.970859
80,0 days 00:00:01.064039
81,0 days 00:00:01.827125
82,0 days 00:00:01.140002
83,0 days 00:00:00.803601
84,0 days 00:00:00.984766
85,0 days 00:00:01.206186
86,0 days 00:00:00.896680
87,0 days 00:00:01.214272
88,0 days 00:00:01.819114
89,0 days 00:00:01.198577
90,0 days 00:00:00.962597
91,0 days 00:00:02.296763
92,0 days 00:00:01.046170
93,0 days 00:00:02.018193
94,0 days 00:00:00.977417
95,0 days 00:00:02.632319
96,0 days 00:00:01.245093
97,0 days 00:00:01.321112
98,0 days 00:00:00.803332
99,0 days 00:00:02.420102
100,0 days 00:00:01.079324
101,0 days 00:00:02.217698
102,0 days 00:00:01.853151
103,0 days 00:00:02.161991
104,0 days 00:00:01.141299
105,0 days 00:00:01.835349
106,0 days 00:00:01.304642
107,0 days 00:00:01.265205
108,0 days 00:00:01.200746
109,0 days 00:00:01.002199
110,0 days 00:00:01.076447
111,0 days 00:00:00.941399
112,0 days 00:00:01.037749
113,0 days 00:00:01.002676
