,time
0,0 days 00:00:01.125072
1,0 days 00:00:00.968285
2,0 days 00:00:00.863287
3,0 days 00:00:01.045340
4,0 days 00:00:01.035194
5,0 days 00:00:01.043842
6,0 days 00:00:01.150877
7,0 days 00:00:01.106451
8,0 days 00:00:00.973270
9,0 days 00:00:01.047006
10,0 days 00:00:01.379401
11,0 days 00:00:00.970435
12,0 days 00:00:01.120952
13,0 days 00:00:00.895007
14,0 days 00:00:00.889001
15,0 days 00:00:00.940318
16,0 days 00:00:00.856029
17,0 days 00:00:00.912746
18,0 days 00:00:01.203337
19,0 days 00:00:01.029953
20,0 days 00:00:00.998385
21,0 days 00:00:00.804370
22,0 days 00:00:00.914896
23,0 days 00:00:01.272905
24,0 days 00:00:00.801706
25,0 days 00:00:00.802962
26,0 days 00:00:01.094332
27,0 days 00:00:01.019191
28,0 days 00:00:01.273723
29,0 days 00:00:01.256951
30,0 days 00:00:01.307091
31,0 days 00:00:01.288580
32,0 days 00:00:00.940390
33,0 days 00:00:00.802322
34,0 days 00:00:01.075503
35,0 days 00:00:01.398612
36,0 days 00:00:01.121238
37,0 days 00:00:01.214581
38,0 days 00:00:01.316510
39,0 days 00:00:00.868753
40,0 days 00:00:00.986927
41,0 days 00:00:00.879082
42,0 days 00:00:01.029140
43,0 days 00:00:01.075977
44,0 days 00:00:01.611245
45,0 days 00:00:00.970328
46,0 days 00:00:01.273234
47,0 days 00:00:00.862647
48,0 days 00:00:01.475472
49,0 days 00:00:01.395352
50,0 days 00:00:01.001722
51,0 days 00:00:01.424365
52,0 days 00:00:01.293139
53,0 days 00:00:01.168261
54,0 days 00:00:00.893906
55,0 days 00:00:01.136516
56,0 days 00:00:01.166930
57,0 days 00:00:01.308129
58,0 days 00:00:01.201605
59,0 days 00:00:01.682575
60,0 days 00:00:01.442172
61,0 days 00:00:01.475651
62,0 days 00:00:02.017419
63,0 days 00:00:01.334433
64,0 days 00:00:01.121404
65,0 days 00:00:01.016793
66,0 days 00:00:01.764401
67,0 days 00:00:01.046317
68,0 days 00:00:01.257943
69,0 days 00:00:00.802537
70,0 days 00:00:00.974841
71,0 days 00:00:00.803172
72,0 days 00:00:00.802194
73,0 days 00:00:00.802529
74,0 days 00:00:01.743077
