,time
0,0 days 00:00:00.865529
1,0 days 00:00:00.895503
2,0 days 00:00:01.200985
3,0 days 00:00:00.863574
4,0 days 00:00:01.031282
5,0 days 00:00:01.029818
6,0 days 00:00:00.879071
7,0 days 00:00:00.899242
8,0 days 00:00:00.893947
9,0 days 00:00:00.984430
10,0 days 00:00:00.955471
11,0 days 00:00:01.081338
12,0 days 00:00:01.078734
13,0 days 00:00:00.864579
14,0 days 00:00:01.061000
15,0 days 00:00:01.096255
16,0 days 00:00:00.894604
17,0 days 00:00:01.257026
18,0 days 00:00:00.939752
19,0 days 00:00:01.106371
20,0 days 00:00:01.035784
21,0 days 00:00:00.923847
22,0 days 00:00:01.287748
23,0 days 00:00:01.319269
24,0 days 00:00:01.067570
25,0 days 00:00:00.804287
26,0 days 00:00:01.030345
27,0 days 00:00:00.985245
28,0 days 00:00:00.810594
29,0 days 00:00:01.813685
30,0 days 00:00:00.977273
31,0 days 00:00:01.006707
32,0 days 00:00:00.837317
33,0 days 00:00:01.059344
34,0 days 00:00:01.113548
35,0 days 00:00:01.159624
36,0 days 00:00:01.180651
37,0 days 00:00:00.962096
38,0 days 00:00:01.265362
39,0 days 00:00:01.005123
40,0 days 00:00:01.420822
41,0 days 00:00:01.009083
42,0 days 00:00:01.191405
43,0 days 00:00:01.158511
44,0 days 00:00:01.167559
45,0 days 00:00:01.637044
46,0 days 00:00:01.544627
47,0 days 00:00:00.808518
48,0 days 00:00:01.203964
49,0 days 00:00:01.200254
50,0 days 00:00:01.391037
51,0 days 00:00:01.008048
52,0 days 00:00:01.127017
53,0 days 00:00:01.121019
54,0 days 00:00:01.085768
55,0 days 00:00:01.068247
56,0 days 00:00:01.356898
57,0 days 00:00:00.959020
58,0 days 00:00:01.166547
59,0 days 00:00:01.253128
60,0 days 00:00:01.312586
61,0 days 00:00:01.569035
62,0 days 00:00:00.815699
63,0 days 00:00:00.940008
64,0 days 00:00:01.348608
65,0 days 00:00:01.023394
66,0 days 00:00:01.057357
67,0 days 00:00:01.252788
68,0 days 00:00:01.098303
69,0 days 00:00:00.868680
70,0 days 00:00:01.096004
71,0 days 00:00:00.905606
72,0 days 00:00:01.206405
73,0 days 00:00:01.250476
74,0 days 00:00:00.958700
75,0 days 00:00:01.500308
76,0 days 00:00:01.497652
77,0 days 00:00:01.158181
78,0 days 00:00:01.065500
79,0 days 00:00:01.384046
80,0 days 00:00:01.042491
81,0 days 00:00:00.808298
82,0 days 00:00:01.189206
83,0 days 00:00:01.263182
84,0 days 00:00:01.392326
85,0 days 00:00:00.807257
86,0 days 00:00:00.806179
87,0 days 00:00:01.477747
88,0 days 00:00:01.362090
89,0 days 00:00:01.036065
90,0 days 00:00:01.571281
91,0 days 00:00:01.492081
92,0 days 00:00:01.447050
93,0 days 00:00:00.830400
94,0 days 00:00:01.389822
95,0 days 00:00:01.035376
96,0 days 00:00:01.095874
97,0 days 00:00:01.286379
98,0 days 00:00:00.970959
99,0 days 00:00:00.807674
100,0 days 00:00:01.233717
101,0 days 00:00:00.805877
102,0 days 00:00:01.594476
103,0 days 00:00:00.809223
104,0 days 00:00:01.238917
105,0 days 00:00:01.570124
106,0 days 00:00:01.087507
107,0 days 00:00:00.960991
108,0 days 00:00:00.807487
109,0 days 00:00:01.994950
110,0 days 00:00:00.905112
111,0 days 00:00:01.586924
112,0 days 00:00:01.190967
113,0 days 00:00:00.944042
