,time
0,0 days 00:00:01.035699
1,0 days 00:00:00.783566
2,0 days 00:00:01.098615
3,0 days 00:00:01.035259
4,0 days 00:00:00.829020
5,0 days 00:00:01.050668
6,0 days 00:00:01.456798
7,0 days 00:00:00.975570
8,0 days 00:00:01.108641
9,0 days 00:00:00.932407
10,0 days 00:00:00.858424
11,0 days 00:00:00.908280
12,0 days 00:00:00.871774
13,0 days 00:00:01.257478
14,0 days 00:00:01.844225
15,0 days 00:00:00.945576
16,0 days 00:00:00.918647
17,0 days 00:00:00.785030
18,0 days 00:00:00.966292
19,0 days 00:00:01.640188
20,0 days 00:00:01.214873
21,0 days 00:00:00.961243
22,0 days 00:00:01.301011
23,0 days 00:00:01.155361
24,0 days 00:00:00.861885
25,0 days 00:00:01.035669
26,0 days 00:00:01.108378
27,0 days 00:00:00.871681
28,0 days 00:00:01.099673
29,0 days 00:00:00.783239
30,0 days 00:00:01.866680
31,0 days 00:00:01.449099
32,0 days 00:00:00.817955
33,0 days 00:00:00.783492
34,0 days 00:00:01.124587
35,0 days 00:00:01.257860
36,0 days 00:00:00.783044
37,0 days 00:00:01.009712
38,0 days 00:00:01.154318
39,0 days 00:00:01.094407
40,0 days 00:00:01.242071
41,0 days 00:00:01.130977
42,0 days 00:00:02.074126
43,0 days 00:00:01.139312
44,0 days 00:00:00.932485
45,0 days 00:00:00.783240
46,0 days 00:00:00.791621
47,0 days 00:00:01.156616
48,0 days 00:00:01.495865
49,0 days 00:00:00.888352
50,0 days 00:00:01.471370
51,0 days 00:00:01.485117
52,0 days 00:00:01.128866
53,0 days 00:00:00.784724
54,0 days 00:00:01.133408
55,0 days 00:00:00.875383
56,0 days 00:00:01.024303
57,0 days 00:00:01.304299
58,0 days 00:00:01.154685
59,0 days 00:00:01.400581
60,0 days 00:00:01.440418
61,0 days 00:00:01.155708
62,0 days 00:00:01.348503
63,0 days 00:00:01.356219
64,0 days 00:00:01.455599
65,0 days 00:00:00.934213
66,0 days 00:00:00.844149
67,0 days 00:00:00.888485
68,0 days 00:00:01.458654
69,0 days 00:00:00.785499
70,0 days 00:00:00.783945
71,0 days 00:00:01.289324
72,0 days 00:00:01.461082
73,0 days 00:00:00.860550
74,0 days 00:00:01.387273
75,0 days 00:00:02.446681
76,0 days 00:00:00.820114
77,0 days 00:00:00.888916
78,0 days 00:00:01.571002
79,0 days 00:00:01.170008
80,0 days 00:00:01.735513
81,0 days 00:00:00.999165
82,0 days 00:00:01.648810
83,0 days 00:00:01.661096
84,0 days 00:00:01.734026
85,0 days 00:00:01.680943
86,0 days 00:00:01.482814
87,0 days 00:00:01.514873
88,0 days 00:00:01.274738
89,0 days 00:00:00.784156
90,0 days 00:00:01.207827
91,0 days 00:00:01.547729
92,0 days 00:00:01.453720
93,0 days 00:00:01.184778
94,0 days 00:00:01.117677
95,0 days 00:00:01.425215
96,0 days 00:00:01.159867
97,0 days 00:00:01.259947
