,time
0,0 days 00:00:01.102138
1,0 days 00:00:00.842519
2,0 days 00:00:00.953668
3,0 days 00:00:00.938798
4,0 days 00:00:00.975213
5,0 days 00:00:00.890240
6,0 days 00:00:01.017034
7,0 days 00:00:01.001357
8,0 days 00:00:01.008370
9,0 days 00:00:00.845205
10,0 days 00:00:01.017747
11,0 days 00:00:01.368648
12,0 days 00:00:00.986362
13,0 days 00:00:01.582743
14,0 days 00:00:01.019498
15,0 days 00:00:01.232760
16,0 days 00:00:01.018194
17,0 days 00:00:00.847160
18,0 days 00:00:00.955699
19,0 days 00:00:01.114319
20,0 days 00:00:01.067753
21,0 days 00:00:00.875820
22,0 days 00:00:00.846790
23,0 days 00:00:01.753200
24,0 days 00:00:01.308989
25,0 days 00:00:01.147168
26,0 days 00:00:01.054971
27,0 days 00:00:01.084772
28,0 days 00:00:01.146849
29,0 days 00:00:00.956731
30,0 days 00:00:01.215133
31,0 days 00:00:01.212333
32,0 days 00:00:01.179729
33,0 days 00:00:00.980818
34,0 days 00:00:01.884981
35,0 days 00:00:01.272060
36,0 days 00:00:00.892174
37,0 days 00:00:01.116683
38,0 days 00:00:01.387378
39,0 days 00:00:01.787769
40,0 days 00:00:01.306838
41,0 days 00:00:01.416418
42,0 days 00:00:01.144292
43,0 days 00:00:00.842077
44,0 days 00:00:01.022925
45,0 days 00:00:00.842056
46,0 days 00:00:00.841466
47,0 days 00:00:00.970255
48,0 days 00:00:01.660688
49,0 days 00:00:01.787541
50,0 days 00:00:01.752157
51,0 days 00:00:01.210047
52,0 days 00:00:00.846981
53,0 days 00:00:01.339821
54,0 days 00:00:01.337801
55,0 days 00:00:01.814616
