,time
0,0 days 00:00:01.218408
1,0 days 00:00:00.987356
2,0 days 00:00:01.143686
3,0 days 00:00:00.985688
4,0 days 00:00:00.957499
5,0 days 00:00:01.551965
6,0 days 00:00:00.806295
7,0 days 00:00:01.081817
8,0 days 00:00:00.941774
9,0 days 00:00:01.093463
10,0 days 00:00:00.972600
11,0 days 00:00:01.052478
12,0 days 00:00:01.185567
13,0 days 00:00:00.925665
14,0 days 00:00:01.063714
15,0 days 00:00:01.022339
16,0 days 00:00:01.082033
17,0 days 00:00:00.987391
18,0 days 00:00:00.926646
19,0 days 00:00:01.004546
20,0 days 00:00:00.900680
21,0 days 00:00:00.841753
22,0 days 00:00:00.865602
23,0 days 00:00:00.973550
24,0 days 00:00:00.949329
25,0 days 00:00:01.126117
26,0 days 00:00:00.973457
27,0 days 00:00:01.002003
28,0 days 00:00:00.812807
29,0 days 00:00:00.989679
30,0 days 00:00:01.316050
31,0 days 00:00:00.897125
32,0 days 00:00:01.278354
33,0 days 00:00:01.041575
34,0 days 00:00:00.882821
35,0 days 00:00:01.094918
36,0 days 00:00:01.216494
37,0 days 00:00:00.810944
38,0 days 00:00:01.035201
39,0 days 00:00:01.035904
40,0 days 00:00:01.094587
41,0 days 00:00:01.187484
42,0 days 00:00:00.948990
43,0 days 00:00:00.805807
44,0 days 00:00:00.959212
45,0 days 00:00:01.005436
46,0 days 00:00:01.267647
47,0 days 00:00:00.806410
48,0 days 00:00:01.188344
49,0 days 00:00:01.172118
50,0 days 00:00:01.131705
51,0 days 00:00:01.095586
52,0 days 00:00:01.386219
53,0 days 00:00:00.882476
54,0 days 00:00:01.004233
55,0 days 00:00:01.133024
56,0 days 00:00:01.185026
57,0 days 00:00:01.230918
58,0 days 00:00:00.946382
59,0 days 00:00:01.332099
60,0 days 00:00:01.255335
61,0 days 00:00:00.799717
62,0 days 00:00:00.804905
63,0 days 00:00:00.806912
64,0 days 00:00:01.288264
65,0 days 00:00:01.220027
66,0 days 00:00:01.477048
67,0 days 00:00:00.805853
68,0 days 00:00:01.418601
69,0 days 00:00:01.127000
70,0 days 00:00:00.897831
71,0 days 00:00:01.019243
72,0 days 00:00:01.237473
73,0 days 00:00:01.279646
74,0 days 00:00:01.019299
