,time
0,0 days 00:00:01.106240
1,0 days 00:00:00.816992
2,0 days 00:00:00.799690
3,0 days 00:00:00.867374
4,0 days 00:00:00.958229
5,0 days 00:00:01.009530
6,0 days 00:00:00.837356
7,0 days 00:00:02.970579
8,0 days 00:00:00.994351
9,0 days 00:00:02.019355
10,0 days 00:00:00.875888
11,0 days 00:00:01.327961
12,0 days 00:00:03.183252
13,0 days 00:00:00.825766
14,0 days 00:00:01.128484
15,0 days 00:00:00.862058
16,0 days 00:00:00.933810
17,0 days 00:00:01.145007
18,0 days 00:00:00.886675
19,0 days 00:00:01.148195
20,0 days 00:00:00.904658
21,0 days 00:00:01.236994
22,0 days 00:00:04.110639
23,0 days 00:00:01.068777
24,0 days 00:00:00.938196
25,0 days 00:00:01.253925
26,0 days 00:00:02.396839
27,0 days 00:00:01.478613
28,0 days 00:00:00.906802
29,0 days 00:00:03.606831
30,0 days 00:00:03.245826
31,0 days 00:00:00.842647
32,0 days 00:00:01.057719
33,0 days 00:00:01.401036
34,0 days 00:00:01.222865
35,0 days 00:00:00.795871
36,0 days 00:00:01.310485
37,0 days 00:00:03.671500
38,0 days 00:00:01.040790
39,0 days 00:00:01.026301
40,0 days 00:00:01.139604
41,0 days 00:00:11.593169
42,0 days 00:00:21.973443
43,0 days 00:00:13.039918
44,0 days 00:00:00.797774
45,0 days 00:00:06.020037
46,0 days 00:00:01.288915
47,0 days 00:00:01.142975
48,0 days 00:00:01.069167
49,0 days 00:00:00.905338
50,0 days 00:00:01.046190
51,0 days 00:00:01.597153
52,0 days 00:00:00.963374
53,0 days 00:00:00.828174
54,0 days 00:00:00.802141
55,0 days 00:00:01.145702
56,0 days 00:00:01.069222
57,0 days 00:00:01.205927
58,0 days 00:00:03.227641
59,0 days 00:00:01.618604
60,0 days 00:00:00.961595
61,0 days 00:00:00.796830
62,0 days 00:00:01.948534
63,0 days 00:00:01.119532
64,0 days 00:00:00.992882
65,0 days 00:00:01.252460
66,0 days 00:00:01.056125
67,0 days 00:00:10.812186
68,0 days 00:00:02.464575
69,0 days 00:00:00.998419
70,0 days 00:00:00.845796
71,0 days 00:00:03.090272
72,0 days 00:00:09.873156
73,0 days 00:00:01.361769
74,0 days 00:00:02.853830
75,0 days 00:00:00.797031
76,0 days 00:00:23.132445
77,0 days 00:00:00.827542
78,0 days 00:00:00.812649
79,0 days 00:00:01.584368
80,0 days 00:00:30.232719
81,0 days 00:00:30.241216
82,0 days 00:00:00.994776
83,0 days 00:00:18.175578
84,0 days 00:00:30.234759
85,0 days 00:00:01.091832
86,0 days 00:00:01.208211
87,0 days 00:00:03.560738
88,0 days 00:00:04.710411
89,0 days 00:00:02.092916
90,0 days 00:00:30.293057
91,0 days 00:00:30.253646
92,0 days 00:00:01.115185
93,0 days 00:00:06.729384
94,0 days 00:00:30.211119
95,0 days 00:00:30.318874
96,0 days 00:00:01.840020
97,0 days 00:00:00.811905
98,0 days 00:00:01.379889
99,0 days 00:00:00.798671
100,0 days 00:00:01.504640
101,0 days 00:00:20.296336
102,0 days 00:00:03.315754
103,0 days 00:00:03.945601
104,0 days 00:00:03.444480
105,0 days 00:00:02.681687
106,0 days 00:00:00.841167
107,0 days 00:00:30.229453
108,0 days 00:00:00.967877
109,0 days 00:00:01.611513
110,0 days 00:00:01.504630
111,0 days 00:00:28.997739
112,0 days 00:00:30.210152
113,0 days 00:00:17.773452
114,0 days 00:00:00.799451
115,0 days 00:00:01.098422
116,0 days 00:00:01.556732
117,0 days 00:00:00.950142
118,0 days 00:00:03.014193
119,0 days 00:00:06.656283
120,0 days 00:00:01.572301
121,0 days 00:00:04.291784
122,0 days 00:00:14.407029
123,0 days 00:00:00.797779
124,0 days 00:00:01.114511
125,0 days 00:00:30.276952
126,0 days 00:00:05.639150
127,0 days 00:00:10.363904
128,0 days 00:00:01.130923
129,0 days 00:00:01.319813
130,0 days 00:00:02.661751
131,0 days 00:00:30.298716
132,0 days 00:00:02.056569
133,0 days 00:00:01.627269
134,0 days 00:00:30.160891
135,0 days 00:00:01.166370
136,0 days 00:00:12.442973
