,time
0,0 days 00:00:01.691597
1,0 days 00:00:01.952930
2,0 days 00:00:00.896708
3,0 days 00:00:02.385479
4,0 days 00:00:00.944591
5,0 days 00:00:00.961688
6,0 days 00:00:00.942717
7,0 days 00:00:02.940636
8,0 days 00:00:00.896227
9,0 days 00:00:02.110638
10,0 days 00:00:01.216502
11,0 days 00:00:02.079410
12,0 days 00:00:00.867685
13,0 days 00:00:00.834769
14,0 days 00:00:01.101353
15,0 days 00:00:02.238857
16,0 days 00:00:00.888929
17,0 days 00:00:01.179191
18,0 days 00:00:01.450461
19,0 days 00:00:00.928081
20,0 days 00:00:00.880193
21,0 days 00:00:01.184617
22,0 days 00:00:00.864867
23,0 days 00:00:01.356343
24,0 days 00:00:01.685736
25,0 days 00:00:02.701330
26,0 days 00:00:05.231665
27,0 days 00:00:00.911171
28,0 days 00:00:01.069179
29,0 days 00:00:00.948746
30,0 days 00:00:02.428710
31,0 days 00:00:03.129555
32,0 days 00:00:01.005518
33,0 days 00:00:00.967178
34,0 days 00:00:04.695316
35,0 days 00:00:02.269279
36,0 days 00:00:00.882314
37,0 days 00:00:07.532779
38,0 days 00:00:01.097422
39,0 days 00:00:00.944272
40,0 days 00:00:01.354110
41,0 days 00:00:01.118885
42,0 days 00:00:03.681492
43,0 days 00:00:01.376195
44,0 days 00:00:01.180795
45,0 days 00:00:01.337876
46,0 days 00:00:02.130828
47,0 days 00:00:01.533370
48,0 days 00:00:00.834980
49,0 days 00:00:01.085038
50,0 days 00:00:01.339542
51,0 days 00:00:01.202698
52,0 days 00:00:01.102809
53,0 days 00:00:00.864169
54,0 days 00:00:01.101294
55,0 days 00:00:00.833388
56,0 days 00:00:01.441625
57,0 days 00:00:02.796554
58,0 days 00:00:00.834636
59,0 days 00:00:02.253890
60,0 days 00:00:00.919807
61,0 days 00:00:01.223333
62,0 days 00:00:01.429814
63,0 days 00:00:00.970836
64,0 days 00:00:00.844028
65,0 days 00:00:01.297192
66,0 days 00:00:04.568553
67,0 days 00:00:01.799527
68,0 days 00:00:01.341363
69,0 days 00:00:01.289125
70,0 days 00:00:01.514258
71,0 days 00:00:02.483800
72,0 days 00:00:02.382377
73,0 days 00:00:01.111365
74,0 days 00:00:11.790163
75,0 days 00:00:00.839268
76,0 days 00:00:01.135254
77,0 days 00:00:08.170469
78,0 days 00:00:02.099857
79,0 days 00:00:07.633293
80,0 days 00:00:01.069591
81,0 days 00:00:06.047645
82,0 days 00:00:00.871286
83,0 days 00:00:01.015093
84,0 days 00:00:08.971978
85,0 days 00:00:06.457044
86,0 days 00:00:10.319743
87,0 days 00:00:01.047656
88,0 days 00:00:01.140971
89,0 days 00:00:01.612895
90,0 days 00:00:00.999583
91,0 days 00:00:01.269047
92,0 days 00:00:00.951074
93,0 days 00:00:01.429743
94,0 days 00:00:00.958948
95,0 days 00:00:01.158490
96,0 days 00:00:01.464940
97,0 days 00:00:01.172408
98,0 days 00:00:01.101632
99,0 days 00:00:01.659758
100,0 days 00:00:01.465291
101,0 days 00:00:01.269067
