,time
0,0 days 00:00:01.489332
1,0 days 00:00:01.610738
2,0 days 00:00:01.475075
3,0 days 00:00:00.899105
4,0 days 00:00:00.851146
5,0 days 00:00:01.052768
6,0 days 00:00:02.113850
7,0 days 00:00:01.614370
8,0 days 00:00:00.959934
9,0 days 00:00:00.866490
10,0 days 00:00:01.161948
11,0 days 00:00:00.826588
12,0 days 00:00:00.866876
13,0 days 00:00:04.578150
14,0 days 00:00:19.655272
15,0 days 00:00:01.308241
16,0 days 00:00:01.214751
17,0 days 00:00:00.821437
18,0 days 00:00:02.031985
19,0 days 00:00:00.981528
20,0 days 00:00:00.820847
21,0 days 00:00:00.944780
22,0 days 00:00:06.075802
23,0 days 00:00:00.821773
24,0 days 00:00:06.654448
25,0 days 00:00:01.911743
26,0 days 00:00:00.899227
27,0 days 00:00:01.333854
28,0 days 00:00:00.825882
29,0 days 00:00:04.607820
30,0 days 00:00:02.033873
31,0 days 00:00:00.821238
32,0 days 00:00:07.011870
33,0 days 00:00:00.826637
34,0 days 00:00:00.853475
35,0 days 00:00:00.822249
36,0 days 00:00:01.941176
37,0 days 00:00:06.956972
38,0 days 00:00:04.859756
39,0 days 00:00:18.155265
40,0 days 00:00:01.040141
41,0 days 00:00:01.123742
42,0 days 00:00:00.914357
43,0 days 00:00:01.303201
44,0 days 00:00:12.609655
45,0 days 00:00:00.821165
46,0 days 00:00:00.953257
47,0 days 00:00:00.915782
48,0 days 00:00:00.899071
49,0 days 00:00:23.927512
50,0 days 00:00:19.215282
51,0 days 00:00:06.371530
52,0 days 00:00:02.875582
53,0 days 00:00:01.866135
54,0 days 00:00:00.821701
55,0 days 00:00:02.306468
56,0 days 00:00:01.032213
57,0 days 00:00:01.031554
58,0 days 00:00:00.884988
59,0 days 00:00:01.037024
60,0 days 00:00:01.481117
61,0 days 00:00:01.162373
62,0 days 00:00:01.583822
63,0 days 00:00:01.089705
64,0 days 00:00:00.821804
65,0 days 00:00:19.768430
66,0 days 00:00:01.259617
67,0 days 00:00:01.037790
68,0 days 00:00:01.160279
69,0 days 00:00:03.495447
70,0 days 00:00:04.305073
71,0 days 00:00:01.038434
72,0 days 00:00:13.685035
73,0 days 00:00:01.186750
74,0 days 00:00:01.388852
75,0 days 00:00:02.686250
76,0 days 00:00:01.046437
77,0 days 00:00:00.826930
78,0 days 00:00:01.279524
79,0 days 00:00:01.462142
80,0 days 00:00:09.784048
81,0 days 00:00:01.642646
82,0 days 00:00:00.983107
83,0 days 00:00:01.389943
84,0 days 00:00:01.162013
85,0 days 00:00:04.014747
86,0 days 00:00:05.102366
87,0 days 00:00:01.503563
88,0 days 00:00:01.492402
89,0 days 00:00:02.538374
90,0 days 00:00:00.953812
91,0 days 00:00:00.826549
92,0 days 00:00:04.219342
93,0 days 00:00:01.522606
94,0 days 00:00:01.015083
95,0 days 00:00:00.842726
