,time
0,0 days 00:00:01.532148
1,0 days 00:00:00.895780
2,0 days 00:00:01.213862
3,0 days 00:00:01.541426
4,0 days 00:00:00.979581
5,0 days 00:00:01.085675
6,0 days 00:00:00.980262
7,0 days 00:00:01.907810
8,0 days 00:00:01.512296
9,0 days 00:00:01.015742
10,0 days 00:00:00.875198
11,0 days 00:00:00.993482
12,0 days 00:00:02.896920
13,0 days 00:00:00.975752
14,0 days 00:00:04.328788
15,0 days 00:00:01.203107
16,0 days 00:00:23.576022
17,0 days 00:00:01.636340
18,0 days 00:00:02.928543
19,0 days 00:00:01.135541
20,0 days 00:00:06.256235
21,0 days 00:00:01.020428
22,0 days 00:00:04.518647
23,0 days 00:00:00.832396
24,0 days 00:00:01.121385
25,0 days 00:00:06.914535
26,0 days 00:00:16.981987
27,0 days 00:00:06.419057
28,0 days 00:00:01.152551
29,0 days 00:00:02.677719
30,0 days 00:00:00.878343
31,0 days 00:00:00.865885
32,0 days 00:00:00.862998
33,0 days 00:00:00.947409
34,0 days 00:00:01.021728
35,0 days 00:00:03.259738
36,0 days 00:00:01.021376
37,0 days 00:00:23.201404
38,0 days 00:00:01.150864
39,0 days 00:00:01.607158
40,0 days 00:00:07.966959
41,0 days 00:00:01.297616
42,0 days 00:00:02.304313
43,0 days 00:00:06.756409
44,0 days 00:00:31.119125
45,0 days 00:00:01.117746
46,0 days 00:00:18.596021
47,0 days 00:00:11.942867
48,0 days 00:00:01.457457
49,0 days 00:00:31.550390
50,0 days 00:00:02.042202
51,0 days 00:00:31.551772
52,0 days 00:00:31.597173
53,0 days 00:00:06.551644
54,0 days 00:00:04.906712
55,0 days 00:00:00.841257
56,0 days 00:00:15.158882
57,0 days 00:00:00.975528
58,0 days 00:00:00.991558
59,0 days 00:00:01.314343
60,0 days 00:00:00.833655
61,0 days 00:00:31.640177
62,0 days 00:00:03.677768
63,0 days 00:00:31.644206
64,0 days 00:00:01.341565
65,0 days 00:00:05.286916
66,0 days 00:00:31.565340
67,0 days 00:00:01.697838
68,0 days 00:00:01.767420
69,0 days 00:00:00.990662
70,0 days 00:00:01.305346
71,0 days 00:00:01.368274
72,0 days 00:00:09.294594
73,0 days 00:00:00.866395
74,0 days 00:00:01.273720
75,0 days 00:00:01.558370
76,0 days 00:00:31.521945
77,0 days 00:00:19.287460
78,0 days 00:00:00.944775
79,0 days 00:00:01.039551
80,0 days 00:00:00.876156
81,0 days 00:00:00.831435
82,0 days 00:00:32.152088
83,0 days 00:00:01.191636
84,0 days 00:00:00.955657
85,0 days 00:00:01.490976
86,0 days 00:00:01.365192
87,0 days 00:00:18.724144
88,0 days 00:00:01.865720
89,0 days 00:00:00.841188
90,0 days 00:00:05.523852
91,0 days 00:00:00.936990
92,0 days 00:00:01.231604
93,0 days 00:00:21.402717
94,0 days 00:00:01.064621
95,0 days 00:00:01.477040
96,0 days 00:00:01.939616
97,0 days 00:00:31.892555
98,0 days 00:00:31.882652
99,0 days 00:00:31.875759
100,0 days 00:00:28.090554
101,0 days 00:00:01.948965
102,0 days 00:00:01.302202
103,0 days 00:00:01.189728
104,0 days 00:00:00.839803
105,0 days 00:00:01.212503
106,0 days 00:00:01.096751
107,0 days 00:00:01.174469
108,0 days 00:00:16.094131
109,0 days 00:00:00.968504
110,0 days 00:00:31.919190
111,0 days 00:00:14.276538
112,0 days 00:00:04.877859
113,0 days 00:00:31.911366
