,time
0,0 days 00:00:01.135691
1,0 days 00:00:01.370857
2,0 days 00:00:01.012739
3,0 days 00:00:01.326517
4,0 days 00:00:01.510797
5,0 days 00:00:01.070346
6,0 days 00:00:00.902109
7,0 days 00:00:01.657626
8,0 days 00:00:00.991851
9,0 days 00:00:00.835158
10,0 days 00:00:00.835962
11,0 days 00:00:03.856108
12,0 days 00:00:01.323274
13,0 days 00:00:00.841029
14,0 days 00:00:00.850433
15,0 days 00:00:01.269233
16,0 days 00:00:00.978261
17,0 days 00:00:01.831115
18,0 days 00:00:02.524225
19,0 days 00:00:00.836578
20,0 days 00:00:01.010996
21,0 days 00:00:00.833780
22,0 days 00:00:02.001778
23,0 days 00:00:00.833689
24,0 days 00:00:02.119575
25,0 days 00:00:01.293653
26,0 days 00:00:00.898658
27,0 days 00:00:00.831949
28,0 days 00:00:00.837508
29,0 days 00:00:02.038788
30,0 days 00:00:01.029096
31,0 days 00:00:00.883512
32,0 days 00:00:02.386048
33,0 days 00:00:01.610294
34,0 days 00:00:02.880754
35,0 days 00:00:01.054837
36,0 days 00:00:01.006667
37,0 days 00:00:00.868494
38,0 days 00:00:00.850933
39,0 days 00:00:01.039261
40,0 days 00:00:00.864256
41,0 days 00:00:01.326752
42,0 days 00:00:00.977760
43,0 days 00:00:01.322000
44,0 days 00:00:00.832821
45,0 days 00:00:01.830381
46,0 days 00:00:01.801237
47,0 days 00:00:16.689845
48,0 days 00:00:01.186125
49,0 days 00:00:00.832045
50,0 days 00:00:00.900283
51,0 days 00:00:01.148930
52,0 days 00:00:00.958919
53,0 days 00:00:03.587004
54,0 days 00:00:01.578255
55,0 days 00:00:01.026979
