,time
0,0 days 00:00:01.143094
1,0 days 00:00:00.980288
2,0 days 00:00:01.880007
3,0 days 00:00:00.802509
4,0 days 00:00:00.989152
5,0 days 00:00:01.736735
6,0 days 00:00:00.994842
7,0 days 00:00:00.850826
8,0 days 00:00:01.017931
9,0 days 00:00:00.852605
10,0 days 00:00:01.053728
11,0 days 00:00:02.534798
12,0 days 00:00:01.048606
13,0 days 00:00:00.837565
14,0 days 00:00:01.677098
15,0 days 00:00:01.443307
16,0 days 00:00:00.828453
17,0 days 00:00:01.132819
18,0 days 00:00:01.051732
19,0 days 00:00:00.827925
20,0 days 00:00:01.109695
21,0 days 00:00:00.821353
22,0 days 00:00:00.815587
23,0 days 00:00:01.122260
24,0 days 00:00:01.124419
25,0 days 00:00:07.148985
26,0 days 00:00:00.924853
27,0 days 00:00:00.839351
28,0 days 00:00:00.806878
29,0 days 00:00:01.033934
30,0 days 00:00:01.046390
31,0 days 00:00:01.123009
32,0 days 00:00:00.845609
33,0 days 00:00:01.072373
34,0 days 00:00:00.814916
35,0 days 00:00:00.820489
36,0 days 00:00:04.913607
37,0 days 00:00:00.908326
38,0 days 00:00:02.131570
39,0 days 00:00:00.842208
40,0 days 00:00:04.227799
41,0 days 00:00:00.970099
42,0 days 00:00:00.918182
43,0 days 00:00:00.872911
44,0 days 00:00:00.796430
45,0 days 00:00:00.956440
46,0 days 00:00:07.493924
47,0 days 00:00:01.101373
48,0 days 00:00:00.796982
49,0 days 00:00:01.128606
50,0 days 00:00:01.181351
51,0 days 00:00:01.224206
52,0 days 00:00:01.175258
53,0 days 00:00:00.857539
54,0 days 00:00:07.440396
55,0 days 00:00:00.829478
56,0 days 00:00:00.809612
57,0 days 00:00:00.967792
58,0 days 00:00:01.136782
59,0 days 00:00:01.115708
60,0 days 00:00:00.800085
61,0 days 00:00:02.806126
62,0 days 00:00:15.381571
63,0 days 00:00:01.135090
64,0 days 00:00:13.325339
65,0 days 00:00:01.326162
66,0 days 00:00:01.128815
67,0 days 00:00:00.804926
68,0 days 00:00:00.797744
69,0 days 00:00:01.144812
70,0 days 00:00:01.100548
71,0 days 00:00:00.828991
72,0 days 00:00:03.011683
73,0 days 00:00:00.952035
74,0 days 00:00:00.798130
