,time
0,0 days 00:00:01.762415
1,0 days 00:00:01.827072
2,0 days 00:00:01.623625
3,0 days 00:00:00.924650
4,0 days 00:00:03.246518
5,0 days 00:00:00.818178
6,0 days 00:00:05.671666
7,0 days 00:00:01.064650
8,0 days 00:00:00.818188
9,0 days 00:00:01.018561
10,0 days 00:00:01.286844
11,0 days 00:00:01.158241
12,0 days 00:00:00.817320
13,0 days 00:00:01.099214
14,0 days 00:00:00.879520
15,0 days 00:00:00.900796
16,0 days 00:00:01.142821
17,0 days 00:00:00.910769
18,0 days 00:00:00.848427
19,0 days 00:00:00.827565
20,0 days 00:00:00.818640
21,0 days 00:00:08.279597
22,0 days 00:00:01.346179
23,0 days 00:00:01.067550
24,0 days 00:00:00.916290
25,0 days 00:00:00.942332
26,0 days 00:00:01.327908
27,0 days 00:00:01.606705
28,0 days 00:00:05.966397
29,0 days 00:00:00.881757
30,0 days 00:00:00.818734
31,0 days 00:00:04.612849
32,0 days 00:00:00.822361
33,0 days 00:00:01.035992
34,0 days 00:00:00.941566
35,0 days 00:00:00.818502
36,0 days 00:00:31.001273
37,0 days 00:00:04.493196
38,0 days 00:00:10.022340
39,0 days 00:00:00.882706
40,0 days 00:00:00.818490
41,0 days 00:00:01.398648
42,0 days 00:00:01.053005
43,0 days 00:00:03.034081
44,0 days 00:00:01.236254
45,0 days 00:00:01.904445
46,0 days 00:00:00.917486
47,0 days 00:00:01.051893
48,0 days 00:00:03.919065
49,0 days 00:00:04.055557
50,0 days 00:00:01.801600
51,0 days 00:00:22.120776
52,0 days 00:00:02.340581
53,0 days 00:00:00.819674
54,0 days 00:00:01.242114
55,0 days 00:00:01.269170
56,0 days 00:00:02.931319
57,0 days 00:00:02.507855
58,0 days 00:00:00.818564
59,0 days 00:00:00.886452
60,0 days 00:00:01.144815
61,0 days 00:00:02.320561
62,0 days 00:00:05.851480
63,0 days 00:00:00.994777
64,0 days 00:00:00.974224
65,0 days 00:00:01.050501
66,0 days 00:00:01.020458
67,0 days 00:00:01.128113
68,0 days 00:00:00.948348
69,0 days 00:00:00.880950
70,0 days 00:00:01.035138
71,0 days 00:00:00.833785
72,0 days 00:00:01.349885
73,0 days 00:00:00.820954
74,0 days 00:00:01.392871
75,0 days 00:00:01.065388
76,0 days 00:00:04.868633
77,0 days 00:00:01.222759
78,0 days 00:00:01.811269
79,0 days 00:00:01.205033
80,0 days 00:00:04.330075
81,0 days 00:00:03.092809
82,0 days 00:00:00.836403
83,0 days 00:00:00.834969
84,0 days 00:00:00.848643
85,0 days 00:00:00.822637
86,0 days 00:00:00.927564
87,0 days 00:00:00.898615
88,0 days 00:00:00.881165
89,0 days 00:00:01.159006
90,0 days 00:00:00.949670
91,0 days 00:00:06.499031
92,0 days 00:00:04.737631
93,0 days 00:00:00.820698
94,0 days 00:00:00.948698
95,0 days 00:00:01.222948
96,0 days 00:00:01.112523
97,0 days 00:00:00.973050
98,0 days 00:00:02.807873
99,0 days 00:00:00.819604
100,0 days 00:00:01.519004
101,0 days 00:00:01.112678
102,0 days 00:00:00.879339
103,0 days 00:00:00.978092
104,0 days 00:00:00.991998
105,0 days 00:00:00.818641
106,0 days 00:00:00.818238
107,0 days 00:00:01.319971
108,0 days 00:00:00.819788
109,0 days 00:00:00.974694
110,0 days 00:00:08.168578
111,0 days 00:00:00.926447
112,0 days 00:00:01.041432
113,0 days 00:00:00.834857
114,0 days 00:00:00.849129
115,0 days 00:00:01.112367
116,0 days 00:00:01.651589
117,0 days 00:00:02.931861
118,0 days 00:00:02.201211
119,0 days 00:00:01.408105
120,0 days 00:00:14.729355
121,0 days 00:00:00.913951
122,0 days 00:00:00.961469
123,0 days 00:00:01.423700
124,0 days 00:00:00.911743
125,0 days 00:00:05.719944
126,0 days 00:00:00.990723
127,0 days 00:00:01.550821
128,0 days 00:00:01.329344
129,0 days 00:00:00.824514
130,0 days 00:00:00.944662
131,0 days 00:00:00.834272
132,0 days 00:00:18.439966
133,0 days 00:00:03.129635
134,0 days 00:00:08.180837
135,0 days 00:00:01.180369
136,0 days 00:00:00.881764
137,0 days 00:00:01.890364
138,0 days 00:00:00.881503
139,0 days 00:00:03.668030
140,0 days 00:00:02.774420
141,0 days 00:00:02.028015
142,0 days 00:00:14.458037
143,0 days 00:00:01.269369
144,0 days 00:00:13.940404
145,0 days 00:00:00.897265
146,0 days 00:00:01.003837
147,0 days 00:00:00.948462
148,0 days 00:00:05.824154
149,0 days 00:00:01.147439
150,0 days 00:00:01.300311
151,0 days 00:00:01.151787
152,0 days 00:00:00.850887
153,0 days 00:00:01.721081
