,time
0,0 days 00:00:01.135030
1,0 days 00:00:01.404431
2,0 days 00:00:01.466001
3,0 days 00:00:01.101802
4,0 days 00:00:01.355104
5,0 days 00:00:02.119087
6,0 days 00:00:00.848764
7,0 days 00:00:00.976059
8,0 days 00:00:00.896778
9,0 days 00:00:00.918432
10,0 days 00:00:00.914353
11,0 days 00:00:01.640057
12,0 days 00:00:00.943233
13,0 days 00:00:00.850056
14,0 days 00:00:00.886704
15,0 days 00:00:01.070520
16,0 days 00:00:00.848569
17,0 days 00:00:01.622737
18,0 days 00:00:01.013592
19,0 days 00:00:01.324228
20,0 days 00:00:00.944705
21,0 days 00:00:00.929323
22,0 days 00:00:14.723275
23,0 days 00:00:00.930952
24,0 days 00:00:00.897379
25,0 days 00:00:01.545548
26,0 days 00:00:01.464995
27,0 days 00:00:01.139405
28,0 days 00:00:00.834606
29,0 days 00:00:00.976351
30,0 days 00:00:01.324028
31,0 days 00:00:01.628709
32,0 days 00:00:00.977960
33,0 days 00:00:00.944498
34,0 days 00:00:01.151284
35,0 days 00:00:01.513809
36,0 days 00:00:01.013706
37,0 days 00:00:00.880602
38,0 days 00:00:01.039446
39,0 days 00:00:00.977568
40,0 days 00:00:00.838578
41,0 days 00:00:01.514276
42,0 days 00:00:00.944958
43,0 days 00:00:00.896492
44,0 days 00:00:01.201639
45,0 days 00:00:19.163554
46,0 days 00:00:01.103738
47,0 days 00:00:00.833756
48,0 days 00:00:00.928352
49,0 days 00:00:01.028152
50,0 days 00:00:00.946693
51,0 days 00:00:12.786124
52,0 days 00:00:01.688424
53,0 days 00:00:00.984050
54,0 days 00:00:01.030594
55,0 days 00:00:01.121018
56,0 days 00:00:01.311958
57,0 days 00:00:05.305579
58,0 days 00:00:01.033038
59,0 days 00:00:01.309570
60,0 days 00:00:02.463994
61,0 days 00:00:01.056810
62,0 days 00:00:00.839539
63,0 days 00:00:00.883497
64,0 days 00:00:17.847047
65,0 days 00:00:01.420175
66,0 days 00:00:00.857948
67,0 days 00:00:01.294297
68,0 days 00:00:00.914321
69,0 days 00:00:00.851044
70,0 days 00:00:02.776327
71,0 days 00:00:01.256764
72,0 days 00:00:01.011961
73,0 days 00:00:01.088097
74,0 days 00:00:19.738349
75,0 days 00:00:03.405844
76,0 days 00:00:00.883578
77,0 days 00:00:00.962037
78,0 days 00:00:01.030984
79,0 days 00:00:02.178371
80,0 days 00:00:01.487780
81,0 days 00:00:00.871239
82,0 days 00:00:01.119443
83,0 days 00:00:01.290975
84,0 days 00:00:05.652768
85,0 days 00:00:00.835005
86,0 days 00:00:00.834232
87,0 days 00:00:05.713438
88,0 days 00:00:01.312645
89,0 days 00:00:00.929460
90,0 days 00:00:02.051422
91,0 days 00:00:01.482048
92,0 days 00:00:01.479510
93,0 days 00:00:00.890298
94,0 days 00:00:31.656967
95,0 days 00:00:01.131128
96,0 days 00:00:07.425052
97,0 days 00:00:01.708260
98,0 days 00:00:00.851586
99,0 days 00:00:00.834842
100,0 days 00:00:00.975940
101,0 days 00:00:00.833549
102,0 days 00:00:01.186410
103,0 days 00:00:01.166099
104,0 days 00:00:01.071753
105,0 days 00:00:26.562680
106,0 days 00:00:00.904841
107,0 days 00:00:00.898971
108,0 days 00:00:00.849677
109,0 days 00:00:03.518078
110,0 days 00:00:00.838354
111,0 days 00:00:08.032081
112,0 days 00:00:12.365436
113,0 days 00:00:00.886889
