,time
0,0 days 00:00:02.129329
1,0 days 00:00:00.854834
2,0 days 00:00:00.856816
3,0 days 00:00:01.705011
4,0 days 00:00:00.870701
5,0 days 00:00:00.871452
6,0 days 00:00:00.903337
7,0 days 00:00:00.846732
8,0 days 00:00:01.001211
9,0 days 00:00:03.068337
10,0 days 00:00:01.031220
11,0 days 00:00:01.527561
12,0 days 00:00:07.928924
13,0 days 00:00:03.585566
14,0 days 00:00:00.920151
15,0 days 00:00:00.856356
16,0 days 00:00:01.117190
17,0 days 00:00:01.031296
18,0 days 00:00:00.968309
19,0 days 00:00:02.531062
20,0 days 00:00:01.441218
21,0 days 00:00:00.889053
22,0 days 00:00:02.703947
23,0 days 00:00:00.888134
24,0 days 00:00:05.760038
25,0 days 00:00:01.005384
26,0 days 00:00:00.841167
27,0 days 00:00:03.563158
28,0 days 00:00:00.872585
29,0 days 00:00:00.959414
30,0 days 00:00:00.920954
31,0 days 00:00:00.936507
32,0 days 00:00:03.769588
33,0 days 00:00:03.501190
34,0 days 00:00:01.388344
35,0 days 00:00:01.653273
36,0 days 00:00:01.015819
37,0 days 00:00:01.238545
38,0 days 00:00:04.051617
39,0 days 00:00:00.955408
40,0 days 00:00:04.058807
41,0 days 00:00:00.921725
42,0 days 00:00:00.846831
43,0 days 00:00:00.873410
44,0 days 00:00:01.015337
45,0 days 00:00:01.047299
46,0 days 00:00:00.840175
47,0 days 00:00:00.893383
48,0 days 00:00:00.842275
49,0 days 00:00:01.017040
50,0 days 00:00:01.223275
51,0 days 00:00:01.132510
52,0 days 00:00:00.840876
53,0 days 00:00:06.153090
54,0 days 00:00:01.465263
55,0 days 00:00:01.095322
56,0 days 00:00:00.927304
57,0 days 00:00:03.714979
58,0 days 00:00:01.318012
59,0 days 00:00:16.624535
60,0 days 00:00:01.196488
61,0 days 00:00:06.068270
62,0 days 00:00:01.095041
63,0 days 00:00:00.839730
64,0 days 00:00:00.846549
65,0 days 00:00:01.172481
66,0 days 00:00:00.983259
67,0 days 00:00:09.502489
68,0 days 00:00:00.840619
69,0 days 00:00:01.817426
70,0 days 00:00:01.207655
71,0 days 00:00:01.064067
72,0 days 00:00:04.548734
73,0 days 00:00:01.152840
74,0 days 00:00:01.542715
75,0 days 00:00:00.872551
76,0 days 00:00:01.254059
77,0 days 00:00:01.237615
78,0 days 00:00:00.974689
79,0 days 00:00:05.893667
80,0 days 00:00:12.428809
81,0 days 00:00:01.381927
82,0 days 00:00:01.006971
83,0 days 00:00:01.175682
84,0 days 00:00:01.142702
85,0 days 00:00:00.839878
86,0 days 00:00:01.147033
87,0 days 00:00:19.185786
88,0 days 00:00:01.098851
89,0 days 00:00:00.855809
90,0 days 00:00:00.999820
91,0 days 00:00:16.713708
92,0 days 00:00:00.883593
93,0 days 00:00:01.478169
94,0 days 00:00:31.850879
95,0 days 00:00:12.958637
96,0 days 00:00:03.835416
97,0 days 00:00:09.176601
98,0 days 00:00:01.001834
99,0 days 00:00:20.915649
100,0 days 00:00:02.998135
101,0 days 00:00:01.032409
102,0 days 00:00:01.381660
103,0 days 00:00:01.143912
104,0 days 00:00:00.846463
105,0 days 00:00:01.097064
106,0 days 00:00:01.542737
107,0 days 00:00:01.158351
108,0 days 00:00:00.973793
109,0 days 00:00:11.265640
110,0 days 00:00:20.621641
111,0 days 00:00:01.047470
112,0 days 00:00:00.965852
113,0 days 00:00:09.812867
