,time
0,0 days 00:00:01.165745
1,0 days 00:00:00.906984
2,0 days 00:00:01.552595
3,0 days 00:00:02.741105
4,0 days 00:00:00.889672
5,0 days 00:00:01.056890
6,0 days 00:00:00.909815
7,0 days 00:00:01.097795
8,0 days 00:00:01.032428
9,0 days 00:00:00.881852
10,0 days 00:00:01.868699
11,0 days 00:00:01.210337
12,0 days 00:00:00.937617
13,0 days 00:00:02.050978
14,0 days 00:00:01.330459
15,0 days 00:00:01.563651
16,0 days 00:00:00.873932
17,0 days 00:00:02.003558
18,0 days 00:00:06.739430
19,0 days 00:00:06.111156
20,0 days 00:00:31.859996
21,0 days 00:00:01.287766
22,0 days 00:00:31.873784
23,0 days 00:00:01.399286
24,0 days 00:00:01.192891
25,0 days 00:00:01.095597
26,0 days 00:00:02.241980
27,0 days 00:00:01.214904
28,0 days 00:00:17.822034
29,0 days 00:00:00.892860
30,0 days 00:00:00.968779
31,0 days 00:00:01.740565
32,0 days 00:00:01.431361
33,0 days 00:00:12.959716
34,0 days 00:00:01.062693
35,0 days 00:00:17.054776
36,0 days 00:00:01.399153
37,0 days 00:00:31.919467
38,0 days 00:00:01.112722
39,0 days 00:00:01.366678
40,0 days 00:00:00.895832
41,0 days 00:00:01.319510
42,0 days 00:00:01.906873
43,0 days 00:00:21.593557
44,0 days 00:00:31.858997
45,0 days 00:00:00.843099
46,0 days 00:00:15.490418
47,0 days 00:00:00.841585
48,0 days 00:00:00.921111
49,0 days 00:00:05.587981
50,0 days 00:00:14.920988
51,0 days 00:00:00.843874
52,0 days 00:00:00.860291
53,0 days 00:00:13.665814
54,0 days 00:00:01.402170
55,0 days 00:00:01.608538
56,0 days 00:00:01.016026
57,0 days 00:00:01.222690
58,0 days 00:00:15.240758
59,0 days 00:00:01.028115
60,0 days 00:00:00.889807
61,0 days 00:00:31.868210
62,0 days 00:00:01.249703
63,0 days 00:00:01.130292
64,0 days 00:00:01.113573
65,0 days 00:00:01.414625
66,0 days 00:00:00.960787
67,0 days 00:00:01.097339
68,0 days 00:00:31.936466
69,0 days 00:00:01.162707
70,0 days 00:00:21.874423
71,0 days 00:00:20.665730
72,0 days 00:00:00.970215
73,0 days 00:00:00.936867
74,0 days 00:00:01.085979
75,0 days 00:00:01.136210
76,0 days 00:00:01.289720
77,0 days 00:00:31.938322
78,0 days 00:00:01.449409
79,0 days 00:00:02.678445
80,0 days 00:00:06.574668
81,0 days 00:00:03.675408
82,0 days 00:00:00.887667
83,0 days 00:00:31.977859
84,0 days 00:00:26.526826
85,0 days 00:00:18.468591
86,0 days 00:00:00.907523
87,0 days 00:00:01.208692
88,0 days 00:00:01.246247
89,0 days 00:00:31.933505
90,0 days 00:00:01.144872
91,0 days 00:00:02.036898
92,0 days 00:00:03.596000
93,0 days 00:00:31.851483
94,0 days 00:00:23.963282
95,0 days 00:00:13.120972
96,0 days 00:00:31.869378
97,0 days 00:00:01.155694
98,0 days 00:00:01.401861
99,0 days 00:00:00.841020
100,0 days 00:00:01.875709
101,0 days 00:00:05.834868
102,0 days 00:00:31.952445
103,0 days 00:00:08.686715
104,0 days 00:00:10.216984
105,0 days 00:00:02.846750
106,0 days 00:00:06.423094
107,0 days 00:00:18.920063
108,0 days 00:00:02.341205
109,0 days 00:00:32.041466
110,0 days 00:00:31.962777
111,0 days 00:00:01.213562
112,0 days 00:00:01.211050
113,0 days 00:00:00.842620
