,time
0,0 days 00:00:01.681091
1,0 days 00:00:01.041182
2,0 days 00:00:00.907594
3,0 days 00:00:00.938568
4,0 days 00:00:00.980223
5,0 days 00:00:00.997014
6,0 days 00:00:01.431172
7,0 days 00:00:00.896370
8,0 days 00:00:02.191017
9,0 days 00:00:01.003264
10,0 days 00:00:00.906132
11,0 days 00:00:00.986693
12,0 days 00:00:01.295846
13,0 days 00:00:00.907180
14,0 days 00:00:04.373492
15,0 days 00:00:00.875756
16,0 days 00:00:01.840622
17,0 days 00:00:00.923207
18,0 days 00:00:01.018914
19,0 days 00:00:01.096637
20,0 days 00:00:00.993149
21,0 days 00:00:00.923931
22,0 days 00:00:00.985969
23,0 days 00:00:00.937415
24,0 days 00:00:00.874328
25,0 days 00:00:02.606339
26,0 days 00:00:01.666568
27,0 days 00:00:06.158632
28,0 days 00:00:00.907920
29,0 days 00:00:00.963215
30,0 days 00:00:03.037376
31,0 days 00:00:00.906731
32,0 days 00:00:00.842595
33,0 days 00:00:01.216704
34,0 days 00:00:01.099902
35,0 days 00:00:01.035108
36,0 days 00:00:00.906281
37,0 days 00:00:01.113040
38,0 days 00:00:11.841100
39,0 days 00:00:00.909925
40,0 days 00:00:05.445631
41,0 days 00:00:01.258265
42,0 days 00:00:01.168890
43,0 days 00:00:00.956685
44,0 days 00:00:06.572481
45,0 days 00:00:06.000684
46,0 days 00:00:00.986108
47,0 days 00:00:03.036694
48,0 days 00:00:00.988603
49,0 days 00:00:01.002979
50,0 days 00:00:01.033453
51,0 days 00:00:05.785614
52,0 days 00:00:00.940726
53,0 days 00:00:02.869022
54,0 days 00:00:00.843340
55,0 days 00:00:01.007979
56,0 days 00:00:00.845282
57,0 days 00:00:01.210442
58,0 days 00:00:03.275813
59,0 days 00:00:00.938096
60,0 days 00:00:01.266311
61,0 days 00:00:03.532679
62,0 days 00:00:01.384754
63,0 days 00:00:07.436133
64,0 days 00:00:02.619772
65,0 days 00:00:00.842781
66,0 days 00:00:05.355899
67,0 days 00:00:01.416607
68,0 days 00:00:03.697397
69,0 days 00:00:04.140059
70,0 days 00:00:00.955919
71,0 days 00:00:00.843716
72,0 days 00:00:01.001895
73,0 days 00:00:01.423713
74,0 days 00:00:02.601655
75,0 days 00:00:01.018891
76,0 days 00:00:00.952449
77,0 days 00:00:09.871505
78,0 days 00:00:01.422312
79,0 days 00:00:01.260434
80,0 days 00:00:01.070834
81,0 days 00:00:01.242783
82,0 days 00:00:01.040884
83,0 days 00:00:01.005751
84,0 days 00:00:01.785733
85,0 days 00:00:00.843472
86,0 days 00:00:04.241165
87,0 days 00:00:11.364837
88,0 days 00:00:01.227601
89,0 days 00:00:01.163268
90,0 days 00:00:01.224921
91,0 days 00:00:01.379675
92,0 days 00:00:01.132204
93,0 days 00:00:07.142414
94,0 days 00:00:00.941014
95,0 days 00:00:00.850353
96,0 days 00:00:01.181408
97,0 days 00:00:01.148399
98,0 days 00:00:01.017422
99,0 days 00:00:01.058181
100,0 days 00:00:00.846171
101,0 days 00:00:00.844417
102,0 days 00:00:04.406452
103,0 days 00:00:00.923168
104,0 days 00:00:00.962791
105,0 days 00:00:01.227978
106,0 days 00:00:01.289019
107,0 days 00:00:17.116962
108,0 days 00:00:01.106189
109,0 days 00:00:01.131070
110,0 days 00:00:14.996813
111,0 days 00:00:00.971118
112,0 days 00:00:01.415202
113,0 days 00:00:00.848587
