,time
0,0 days 00:00:01.493835
1,0 days 00:00:01.912012
2,0 days 00:00:01.253318
3,0 days 00:00:01.365644
4,0 days 00:00:01.656960
5,0 days 00:00:01.253474
6,0 days 00:00:01.700173
7,0 days 00:00:01.008654
8,0 days 00:00:01.330522
9,0 days 00:00:01.029313
10,0 days 00:00:01.162139
11,0 days 00:00:02.452856
12,0 days 00:00:00.930631
13,0 days 00:00:01.195783
14,0 days 00:00:02.069562
15,0 days 00:00:01.744682
16,0 days 00:00:00.915463
17,0 days 00:00:02.364009
18,0 days 00:00:01.007529
19,0 days 00:00:01.546575
20,0 days 00:00:00.930876
21,0 days 00:00:01.926681
22,0 days 00:00:01.260454
23,0 days 00:00:00.823561
24,0 days 00:00:02.302315
25,0 days 00:00:01.455602
26,0 days 00:00:02.746646
27,0 days 00:00:01.856749
28,0 days 00:00:01.222461
29,0 days 00:00:02.268830
30,0 days 00:00:02.348953
31,0 days 00:00:00.978671
32,0 days 00:00:02.297428
33,0 days 00:00:02.038716
34,0 days 00:00:01.147776
35,0 days 00:00:00.905914
36,0 days 00:00:02.181396
37,0 days 00:00:02.773086
38,0 days 00:00:00.856267
39,0 days 00:00:01.674434
40,0 days 00:00:01.438965
41,0 days 00:00:01.533295
42,0 days 00:00:02.327131
43,0 days 00:00:01.317656
44,0 days 00:00:00.982091
45,0 days 00:00:03.283622
46,0 days 00:00:01.039918
47,0 days 00:00:03.757254
48,0 days 00:00:01.275858
49,0 days 00:00:00.981574
50,0 days 00:00:01.223430
51,0 days 00:00:00.979200
52,0 days 00:00:02.506986
53,0 days 00:00:00.873940
54,0 days 00:00:00.995122
55,0 days 00:00:01.116658
56,0 days 00:00:02.196919
57,0 days 00:00:00.922872
58,0 days 00:00:01.856857
59,0 days 00:00:01.623748
60,0 days 00:00:00.840049
61,0 days 00:00:00.831415
62,0 days 00:00:03.130417
63,0 days 00:00:01.031487
64,0 days 00:00:02.514644
65,0 days 00:00:01.388582
66,0 days 00:00:01.347848
67,0 days 00:00:01.442360
68,0 days 00:00:01.809638
69,0 days 00:00:01.330058
70,0 days 00:00:00.830011
71,0 days 00:00:01.856875
72,0 days 00:00:01.226274
73,0 days 00:00:01.839973
74,0 days 00:00:00.816204
75,0 days 00:00:01.242459
76,0 days 00:00:01.301937
77,0 days 00:00:02.330566
78,0 days 00:00:00.842067
79,0 days 00:00:00.981889
80,0 days 00:00:01.671590
81,0 days 00:00:01.224847
82,0 days 00:00:01.055325
83,0 days 00:00:03.198368
84,0 days 00:00:01.421537
85,0 days 00:00:01.017517
86,0 days 00:00:02.253266
87,0 days 00:00:01.349346
88,0 days 00:00:01.737016
89,0 days 00:00:00.847445
90,0 days 00:00:04.918898
91,0 days 00:00:02.070513
92,0 days 00:00:00.985734
93,0 days 00:00:02.195918
94,0 days 00:00:01.873487
95,0 days 00:00:02.584400
96,0 days 00:00:02.873281
97,0 days 00:00:00.894314
98,0 days 00:00:01.944842
99,0 days 00:00:02.618504
100,0 days 00:00:01.096521
101,0 days 00:00:02.117695
102,0 days 00:00:01.589034
103,0 days 00:00:02.186150
104,0 days 00:00:01.963675
105,0 days 00:00:01.003731
106,0 days 00:00:00.907215
107,0 days 00:00:01.626674
108,0 days 00:00:01.304166
109,0 days 00:00:01.481620
110,0 days 00:00:01.217338
111,0 days 00:00:00.985623
112,0 days 00:00:02.246527
113,0 days 00:00:02.727149
114,0 days 00:00:00.877374
115,0 days 00:00:01.867999
116,0 days 00:00:01.412620
117,0 days 00:00:00.971245
118,0 days 00:00:02.115330
119,0 days 00:00:01.991505
120,0 days 00:00:01.913423
121,0 days 00:00:02.218354
122,0 days 00:00:00.862986
123,0 days 00:00:01.220506
124,0 days 00:00:00.938848
125,0 days 00:00:02.211407
126,0 days 00:00:02.110896
127,0 days 00:00:01.945029
128,0 days 00:00:01.650937
129,0 days 00:00:01.532308
130,0 days 00:00:00.832166
131,0 days 00:00:01.374923
132,0 days 00:00:00.860702
133,0 days 00:00:00.924176
134,0 days 00:00:01.004887
135,0 days 00:00:01.549568
136,0 days 00:00:01.713117
