,time
0,0 days 00:00:03.971280
1,0 days 00:00:01.041656
2,0 days 00:00:01.447590
3,0 days 00:00:02.927989
4,0 days 00:00:03.033186
5,0 days 00:00:01.067974
6,0 days 00:00:01.264766
7,0 days 00:00:01.145102
8,0 days 00:00:01.711820
9,0 days 00:00:03.484265
10,0 days 00:00:00.902991
11,0 days 00:00:01.085715
12,0 days 00:00:01.403793
13,0 days 00:00:02.258904
14,0 days 00:00:02.113062
15,0 days 00:00:00.960486
16,0 days 00:00:01.070813
17,0 days 00:00:00.838361
18,0 days 00:00:01.091379
19,0 days 00:00:01.253694
20,0 days 00:00:00.978170
21,0 days 00:00:01.283185
22,0 days 00:00:01.535834
23,0 days 00:00:00.919080
24,0 days 00:00:01.359152
25,0 days 00:00:01.127521
26,0 days 00:00:00.875143
27,0 days 00:00:01.147821
28,0 days 00:00:00.976301
29,0 days 00:00:01.174676
30,0 days 00:00:02.201570
31,0 days 00:00:01.887310
32,0 days 00:00:00.854050
33,0 days 00:00:01.331682
34,0 days 00:00:01.419117
35,0 days 00:00:01.206011
36,0 days 00:00:01.853829
37,0 days 00:00:01.008078
38,0 days 00:00:01.052385
39,0 days 00:00:03.624171
40,0 days 00:00:01.971947
41,0 days 00:00:00.853589
42,0 days 00:00:03.504889
43,0 days 00:00:01.359052
44,0 days 00:00:01.979406
45,0 days 00:00:01.315057
46,0 days 00:00:01.833471
47,0 days 00:00:00.822271
48,0 days 00:00:01.302614
49,0 days 00:00:02.053160
50,0 days 00:00:01.044090
51,0 days 00:00:02.861461
52,0 days 00:00:00.868512
53,0 days 00:00:01.076612
54,0 days 00:00:04.627829
55,0 days 00:00:02.847819
56,0 days 00:00:00.808772
57,0 days 00:00:01.811599
58,0 days 00:00:01.483064
59,0 days 00:00:00.963675
60,0 days 00:00:02.249314
61,0 days 00:00:00.889596
62,0 days 00:00:07.292415
63,0 days 00:00:02.866340
64,0 days 00:00:02.078223
65,0 days 00:00:01.173772
66,0 days 00:00:02.579750
67,0 days 00:00:01.958851
68,0 days 00:00:02.461939
69,0 days 00:00:02.201954
70,0 days 00:00:01.518290
71,0 days 00:00:01.345848
72,0 days 00:00:01.054492
73,0 days 00:00:01.067567
74,0 days 00:00:01.204664
75,0 days 00:00:00.919646
76,0 days 00:00:03.540367
77,0 days 00:00:00.824474
78,0 days 00:00:03.446902
79,0 days 00:00:03.273563
80,0 days 00:00:00.963117
81,0 days 00:00:01.178392
82,0 days 00:00:02.692423
83,0 days 00:00:01.051965
84,0 days 00:00:00.857548
85,0 days 00:00:01.444698
86,0 days 00:00:02.672543
87,0 days 00:00:03.238372
88,0 days 00:00:02.153719
89,0 days 00:00:00.956757
90,0 days 00:00:01.032638
91,0 days 00:00:02.193542
92,0 days 00:00:01.966874
93,0 days 00:00:00.971924
94,0 days 00:00:01.215057
95,0 days 00:00:01.264695
96,0 days 00:00:01.067079
97,0 days 00:00:01.202115
98,0 days 00:00:01.427972
99,0 days 00:00:02.890442
100,0 days 00:00:00.911265
101,0 days 00:00:00.807816
102,0 days 00:00:00.803536
103,0 days 00:00:09.623233
104,0 days 00:00:01.019476
105,0 days 00:00:03.170282
106,0 days 00:00:01.108425
107,0 days 00:00:04.999957
108,0 days 00:00:00.880452
109,0 days 00:00:01.777731
110,0 days 00:00:01.037158
111,0 days 00:00:01.108917
112,0 days 00:00:01.207239
113,0 days 00:00:01.565319
114,0 days 00:00:02.533671
115,0 days 00:00:01.724624
116,0 days 00:00:00.872550
117,0 days 00:00:02.276024
118,0 days 00:00:00.930935
119,0 days 00:00:02.108470
120,0 days 00:00:00.913392
121,0 days 00:00:00.802092
122,0 days 00:00:00.817521
123,0 days 00:00:04.155009
124,0 days 00:00:01.579425
125,0 days 00:00:00.927170
126,0 days 00:00:01.410305
127,0 days 00:00:04.409310
128,0 days 00:00:03.552611
129,0 days 00:00:00.850894
130,0 days 00:00:01.382879
131,0 days 00:00:02.867358
132,0 days 00:00:01.783675
133,0 days 00:00:00.863496
134,0 days 00:00:00.984251
135,0 days 00:00:01.153324
136,0 days 00:00:01.222139
