,time
0,0 days 00:00:02.981943
1,0 days 00:00:01.673640
2,0 days 00:00:01.788475
3,0 days 00:00:01.348630
4,0 days 00:00:01.408196
5,0 days 00:00:01.017111
6,0 days 00:00:00.956418
7,0 days 00:00:01.454252
8,0 days 00:00:00.974654
9,0 days 00:00:01.690870
10,0 days 00:00:00.921852
11,0 days 00:00:01.393825
12,0 days 00:00:01.726489
13,0 days 00:00:01.203850
14,0 days 00:00:01.316404
15,0 days 00:00:01.564642
16,0 days 00:00:01.974575
17,0 days 00:00:01.462914
18,0 days 00:00:00.873479
19,0 days 00:00:03.345960
20,0 days 00:00:01.832245
21,0 days 00:00:01.493751
22,0 days 00:00:01.079294
23,0 days 00:00:02.417714
24,0 days 00:00:01.265610
25,0 days 00:00:01.019519
26,0 days 00:00:01.064495
27,0 days 00:00:01.916599
28,0 days 00:00:01.281688
29,0 days 00:00:01.758272
30,0 days 00:00:01.349384
31,0 days 00:00:01.345613
32,0 days 00:00:01.912444
33,0 days 00:00:01.532437
34,0 days 00:00:01.600799
35,0 days 00:00:01.220473
36,0 days 00:00:00.999384
37,0 days 00:00:02.402019
38,0 days 00:00:01.128875
39,0 days 00:00:01.189259
40,0 days 00:00:01.504896
41,0 days 00:00:02.697518
42,0 days 00:00:03.656445
43,0 days 00:00:00.926454
44,0 days 00:00:03.173145
45,0 days 00:00:01.614214
46,0 days 00:00:00.841852
47,0 days 00:00:01.962778
48,0 days 00:00:04.017187
49,0 days 00:00:00.875376
50,0 days 00:00:02.649787
51,0 days 00:00:00.828405
52,0 days 00:00:01.790045
53,0 days 00:00:01.073922
54,0 days 00:00:02.392083
55,0 days 00:00:01.185868
