,time
0,0 days 00:00:01.639262
1,0 days 00:00:01.570340
2,0 days 00:00:00.940912
3,0 days 00:00:01.218013
4,0 days 00:00:00.820820
5,0 days 00:00:02.963304
6,0 days 00:00:00.855602
7,0 days 00:00:01.765409
8,0 days 00:00:00.805837
9,0 days 00:00:00.853041
10,0 days 00:00:01.853645
11,0 days 00:00:00.854267
12,0 days 00:00:00.849696
13,0 days 00:00:01.058576
14,0 days 00:00:00.956670
15,0 days 00:00:00.811575
16,0 days 00:00:00.789862
17,0 days 00:00:02.568893
18,0 days 00:00:01.843960
19,0 days 00:00:02.037502
20,0 days 00:00:01.168893
21,0 days 00:00:01.045355
22,0 days 00:00:00.895102
23,0 days 00:00:01.602624
24,0 days 00:00:03.072612
25,0 days 00:00:01.017041
26,0 days 00:00:01.014463
27,0 days 00:00:02.046854
28,0 days 00:00:03.208395
29,0 days 00:00:02.116134
30,0 days 00:00:01.526617
31,0 days 00:00:01.180688
32,0 days 00:00:01.337242
33,0 days 00:00:03.963289
34,0 days 00:00:04.268798
35,0 days 00:00:01.935501
36,0 days 00:00:03.371557
37,0 days 00:00:01.667600
38,0 days 00:00:01.030806
39,0 days 00:00:00.925499
40,0 days 00:00:01.405328
41,0 days 00:00:01.236131
42,0 days 00:00:00.883028
43,0 days 00:00:00.791852
44,0 days 00:00:00.820197
45,0 days 00:00:01.017879
46,0 days 00:00:01.035568
47,0 days 00:00:01.259697
48,0 days 00:00:01.783346
49,0 days 00:00:00.924204
50,0 days 00:00:01.620335
51,0 days 00:00:00.808353
52,0 days 00:00:00.793769
53,0 days 00:00:01.375444
54,0 days 00:00:01.125277
55,0 days 00:00:00.926674
56,0 days 00:00:00.896542
57,0 days 00:00:01.917115
58,0 days 00:00:00.792649
59,0 days 00:00:02.954448
60,0 days 00:00:01.084845
61,0 days 00:00:01.513096
62,0 days 00:00:00.836274
63,0 days 00:00:00.870152
64,0 days 00:00:02.670530
65,0 days 00:00:00.990164
66,0 days 00:00:01.104356
67,0 days 00:00:04.987630
68,0 days 00:00:01.289476
69,0 days 00:00:01.003164
70,0 days 00:00:00.942547
71,0 days 00:00:00.947660
72,0 days 00:00:01.026717
73,0 days 00:00:00.977181
74,0 days 00:00:04.571435
75,0 days 00:00:05.043236
76,0 days 00:00:01.400196
77,0 days 00:00:02.193602
78,0 days 00:00:00.945883
79,0 days 00:00:00.911293
80,0 days 00:00:03.984593
81,0 days 00:00:01.667074
82,0 days 00:00:01.470733
83,0 days 00:00:00.881877
84,0 days 00:00:05.653813
85,0 days 00:00:00.815197
86,0 days 00:00:01.010635
87,0 days 00:00:00.801945
88,0 days 00:00:01.211390
89,0 days 00:00:01.279223
90,0 days 00:00:01.167912
91,0 days 00:00:00.852766
92,0 days 00:00:00.886678
93,0 days 00:00:00.869544
94,0 days 00:00:00.827162
95,0 days 00:00:00.852601
96,0 days 00:00:01.002240
97,0 days 00:00:01.123736
98,0 days 00:00:00.845718
99,0 days 00:00:01.746156
100,0 days 00:00:04.223044
101,0 days 00:00:01.497703
102,0 days 00:00:04.519499
103,0 days 00:00:04.690471
104,0 days 00:00:00.909689
105,0 days 00:00:02.746272
106,0 days 00:00:00.834206
107,0 days 00:00:00.821242
108,0 days 00:00:02.290071
109,0 days 00:00:01.619983
110,0 days 00:00:01.563921
111,0 days 00:00:01.460058
112,0 days 00:00:01.372888
113,0 days 00:00:01.609056
114,0 days 00:00:00.810353
115,0 days 00:00:00.897922
116,0 days 00:00:01.975777
117,0 days 00:00:00.789428
118,0 days 00:00:00.810329
119,0 days 00:00:01.201218
120,0 days 00:00:00.989090
121,0 days 00:00:00.987028
122,0 days 00:00:02.745943
123,0 days 00:00:01.780862
124,0 days 00:00:02.640358
125,0 days 00:00:01.719279
126,0 days 00:00:01.376081
127,0 days 00:00:04.441370
128,0 days 00:00:00.947250
129,0 days 00:00:04.943982
130,0 days 00:00:01.225427
131,0 days 00:00:02.626901
132,0 days 00:00:01.198045
133,0 days 00:00:02.651466
134,0 days 00:00:00.851452
135,0 days 00:00:04.796376
136,0 days 00:00:00.799575
137,0 days 00:00:00.986528
138,0 days 00:00:04.499078
139,0 days 00:00:00.821597
140,0 days 00:00:01.367110
141,0 days 00:00:01.572308
142,0 days 00:00:00.850115
143,0 days 00:00:01.242161
144,0 days 00:00:01.753260
145,0 days 00:00:01.977394
146,0 days 00:00:03.075034
147,0 days 00:00:00.957485
148,0 days 00:00:03.337711
149,0 days 00:00:01.519851
150,0 days 00:00:02.264052
151,0 days 00:00:00.867807
152,0 days 00:00:00.913555
153,0 days 00:00:04.183607
154,0 days 00:00:01.856882
155,0 days 00:00:01.166731
156,0 days 00:00:01.156556
157,0 days 00:00:08.643125
158,0 days 00:00:00.822170
159,0 days 00:00:01.212404
160,0 days 00:00:03.362988
161,0 days 00:00:00.790285
162,0 days 00:00:02.882516
163,0 days 00:00:00.791538
164,0 days 00:00:01.108378
165,0 days 00:00:00.894913
166,0 days 00:00:02.743858
167,0 days 00:00:01.176583
168,0 days 00:00:00.824023
169,0 days 00:00:00.806028
170,0 days 00:00:01.091337
171,0 days 00:00:02.387073
172,0 days 00:00:01.150905
173,0 days 00:00:01.260336
174,0 days 00:00:02.321176
175,0 days 00:00:01.874851
176,0 days 00:00:02.735172
177,0 days 00:00:02.412711
178,0 days 00:00:01.512237
179,0 days 00:00:00.859249
180,0 days 00:00:00.822307
181,0 days 00:00:02.094103
182,0 days 00:00:01.003326
183,0 days 00:00:00.852628
184,0 days 00:00:00.990267
185,0 days 00:00:01.077892
186,0 days 00:00:00.792099
187,0 days 00:00:03.106062
188,0 days 00:00:00.826815
189,0 days 00:00:01.759617
190,0 days 00:00:00.868275
191,0 days 00:00:01.390489
192,0 days 00:00:00.799313
193,0 days 00:00:01.047201
194,0 days 00:00:02.580306
195,0 days 00:00:01.301163
196,0 days 00:00:00.820633
197,0 days 00:00:01.020750
198,0 days 00:00:00.810270
199,0 days 00:00:00.925198
200,0 days 00:00:01.709687
201,0 days 00:00:02.185514
202,0 days 00:00:03.423498
203,0 days 00:00:01.420163
204,0 days 00:00:05.516067
205,0 days 00:00:01.227833
206,0 days 00:00:02.252712
207,0 days 00:00:00.808437
208,0 days 00:00:00.794773
209,0 days 00:00:03.215940
210,0 days 00:00:00.905392
211,0 days 00:00:00.855798
212,0 days 00:00:00.837204
213,0 days 00:00:01.903464
214,0 days 00:00:00.799343
215,0 days 00:00:00.792900
216,0 days 00:00:01.348297
217,0 days 00:00:01.452890
218,0 days 00:00:02.783946
219,0 days 00:00:00.828792
220,0 days 00:00:00.867280
221,0 days 00:00:02.169558
222,0 days 00:00:03.626108
223,0 days 00:00:01.258056
224,0 days 00:00:00.996843
225,0 days 00:00:01.190194
226,0 days 00:00:02.623961
227,0 days 00:00:05.768805
228,0 days 00:00:00.930174
