,time
0,0 days 00:00:00.941804
1,0 days 00:00:01.445384
2,0 days 00:00:01.640294
3,0 days 00:00:01.227494
4,0 days 00:00:00.953413
5,0 days 00:00:01.813102
6,0 days 00:00:02.012050
7,0 days 00:00:01.426138
8,0 days 00:00:01.562957
9,0 days 00:00:01.264833
10,0 days 00:00:03.133864
11,0 days 00:00:00.889220
12,0 days 00:00:01.961977
13,0 days 00:00:02.702122
14,0 days 00:00:00.832003
15,0 days 00:00:02.598383
16,0 days 00:00:01.210174
17,0 days 00:00:02.670914
18,0 days 00:00:01.355863
19,0 days 00:00:00.888106
20,0 days 00:00:00.959172
21,0 days 00:00:02.405485
22,0 days 00:00:00.919187
23,0 days 00:00:01.433306
24,0 days 00:00:01.321268
25,0 days 00:00:02.121965
26,0 days 00:00:01.605262
27,0 days 00:00:02.655020
28,0 days 00:00:01.899724
29,0 days 00:00:01.195290
30,0 days 00:00:01.738749
31,0 days 00:00:01.476171
32,0 days 00:00:02.255187
33,0 days 00:00:01.055380
34,0 days 00:00:01.041313
35,0 days 00:00:00.964559
36,0 days 00:00:00.820198
37,0 days 00:00:02.545360
38,0 days 00:00:01.547827
39,0 days 00:00:02.254254
40,0 days 00:00:01.553124
41,0 days 00:00:02.924901
42,0 days 00:00:00.890812
43,0 days 00:00:01.702517
44,0 days 00:00:01.042668
45,0 days 00:00:03.185871
46,0 days 00:00:00.889221
47,0 days 00:00:02.959493
48,0 days 00:00:00.827972
49,0 days 00:00:03.161080
50,0 days 00:00:02.199554
51,0 days 00:00:01.982836
52,0 days 00:00:01.402527
53,0 days 00:00:01.394127
54,0 days 00:00:02.228466
55,0 days 00:00:02.214859
56,0 days 00:00:00.903525
57,0 days 00:00:01.999310
58,0 days 00:00:00.820825
59,0 days 00:00:00.860744
60,0 days 00:00:01.644333
61,0 days 00:00:01.971044
62,0 days 00:00:00.879401
63,0 days 00:00:01.029475
64,0 days 00:00:02.832091
65,0 days 00:00:00.889988
66,0 days 00:00:01.220281
67,0 days 00:00:04.204098
68,0 days 00:00:02.434699
69,0 days 00:00:02.221744
70,0 days 00:00:00.812241
71,0 days 00:00:01.216842
72,0 days 00:00:01.278917
73,0 days 00:00:01.982695
74,0 days 00:00:01.615882
75,0 days 00:00:02.018824
76,0 days 00:00:02.804366
77,0 days 00:00:00.894524
78,0 days 00:00:01.506795
79,0 days 00:00:00.912340
80,0 days 00:00:02.390641
81,0 days 00:00:01.230100
82,0 days 00:00:01.173520
83,0 days 00:00:02.519426
84,0 days 00:00:01.221112
85,0 days 00:00:00.921656
86,0 days 00:00:01.139355
87,0 days 00:00:02.723461
88,0 days 00:00:01.587862
89,0 days 00:00:00.972587
90,0 days 00:00:01.368626
91,0 days 00:00:00.842835
92,0 days 00:00:01.599730
93,0 days 00:00:02.513871
94,0 days 00:00:02.418422
95,0 days 00:00:01.983688
96,0 days 00:00:02.442431
97,0 days 00:00:01.896578
98,0 days 00:00:01.312555
99,0 days 00:00:00.813676
100,0 days 00:00:01.612736
101,0 days 00:00:00.849150
102,0 days 00:00:01.296094
103,0 days 00:00:00.828004
104,0 days 00:00:02.045780
105,0 days 00:00:01.291413
106,0 days 00:00:02.508570
107,0 days 00:00:01.661957
108,0 days 00:00:00.967757
109,0 days 00:00:01.072745
110,0 days 00:00:02.912339
111,0 days 00:00:01.555267
112,0 days 00:00:01.690654
113,0 days 00:00:02.073132
