,time
0,0 days 00:00:01.660332
1,0 days 00:00:02.125362
2,0 days 00:00:01.017668
3,0 days 00:00:00.895589
4,0 days 00:00:02.425121
5,0 days 00:00:00.865216
6,0 days 00:00:00.883589
7,0 days 00:00:01.002089
8,0 days 00:00:01.419827
9,0 days 00:00:02.077017
10,0 days 00:00:01.756397
11,0 days 00:00:00.895058
12,0 days 00:00:01.151135
13,0 days 00:00:01.137619
14,0 days 00:00:01.014897
15,0 days 00:00:00.855469
16,0 days 00:00:00.939488
17,0 days 00:00:00.942905
18,0 days 00:00:01.164828
19,0 days 00:00:02.590393
20,0 days 00:00:01.693595
21,0 days 00:00:00.970078
22,0 days 00:00:01.560514
23,0 days 00:00:01.079223
24,0 days 00:00:01.539832
25,0 days 00:00:02.437207
26,0 days 00:00:01.591961
27,0 days 00:00:00.831418
28,0 days 00:00:00.947706
29,0 days 00:00:01.320412
30,0 days 00:00:00.808143
31,0 days 00:00:00.847256
32,0 days 00:00:01.371869
33,0 days 00:00:01.035024
34,0 days 00:00:01.952903
35,0 days 00:00:01.102715
36,0 days 00:00:01.456248
37,0 days 00:00:00.990805
38,0 days 00:00:01.310100
39,0 days 00:00:00.858977
40,0 days 00:00:00.922132
41,0 days 00:00:01.051321
42,0 days 00:00:01.729015
43,0 days 00:00:01.033957
44,0 days 00:00:00.983779
45,0 days 00:00:01.972457
46,0 days 00:00:01.155355
47,0 days 00:00:02.500386
48,0 days 00:00:00.816395
49,0 days 00:00:01.131738
50,0 days 00:00:01.895332
51,0 days 00:00:01.109336
52,0 days 00:00:00.799065
53,0 days 00:00:00.906794
54,0 days 00:00:01.096785
55,0 days 00:00:00.824325
56,0 days 00:00:01.112649
57,0 days 00:00:00.921355
58,0 days 00:00:02.154305
59,0 days 00:00:01.801601
60,0 days 00:00:01.804219
61,0 days 00:00:00.846289
62,0 days 00:00:02.317456
63,0 days 00:00:00.825558
64,0 days 00:00:00.868738
65,0 days 00:00:00.914977
66,0 days 00:00:03.557181
67,0 days 00:00:00.960017
68,0 days 00:00:00.811959
69,0 days 00:00:00.810589
70,0 days 00:00:00.800532
71,0 days 00:00:03.064465
72,0 days 00:00:00.809259
73,0 days 00:00:00.825999
74,0 days 00:00:00.889483
75,0 days 00:00:00.814896
76,0 days 00:00:01.066723
77,0 days 00:00:00.808580
78,0 days 00:00:01.019346
79,0 days 00:00:00.817857
80,0 days 00:00:00.855089
81,0 days 00:00:01.004797
82,0 days 00:00:01.848372
83,0 days 00:00:00.923773
84,0 days 00:00:00.842377
85,0 days 00:00:00.854563
86,0 days 00:00:01.850637
87,0 days 00:00:01.394950
88,0 days 00:00:01.092717
89,0 days 00:00:01.732569
90,0 days 00:00:02.781260
91,0 days 00:00:01.382832
92,0 days 00:00:01.946216
93,0 days 00:00:01.760637
94,0 days 00:00:01.139634
95,0 days 00:00:00.948151
96,0 days 00:00:01.631488
97,0 days 00:00:01.157719
98,0 days 00:00:00.824762
99,0 days 00:00:00.899481
100,0 days 00:00:00.934897
101,0 days 00:00:01.151957
102,0 days 00:00:00.884720
103,0 days 00:00:01.985130
104,0 days 00:00:01.051545
105,0 days 00:00:01.069881
106,0 days 00:00:01.384280
107,0 days 00:00:01.777993
108,0 days 00:00:02.359478
109,0 days 00:00:01.555529
110,0 days 00:00:01.004480
111,0 days 00:00:00.888270
112,0 days 00:00:06.443532
113,0 days 00:00:00.868328
114,0 days 00:00:00.859463
115,0 days 00:00:00.859091
116,0 days 00:00:01.068281
117,0 days 00:00:00.884766
118,0 days 00:00:01.282616
119,0 days 00:00:01.847874
120,0 days 00:00:01.157150
121,0 days 00:00:02.586971
122,0 days 00:00:01.888271
123,0 days 00:00:01.376595
124,0 days 00:00:01.593291
