,time
0,0 days 00:00:04.793283
1,0 days 00:00:01.714255
2,0 days 00:00:01.146521
3,0 days 00:00:01.051789
4,0 days 00:00:00.990056
5,0 days 00:00:01.607634
6,0 days 00:00:01.056062
7,0 days 00:00:00.807136
8,0 days 00:00:01.485145
9,0 days 00:00:01.434662
10,0 days 00:00:00.874559
11,0 days 00:00:01.439646
12,0 days 00:00:01.573611
13,0 days 00:00:01.068469
14,0 days 00:00:00.837768
15,0 days 00:00:02.008400
16,0 days 00:00:01.373450
17,0 days 00:00:02.018654
18,0 days 00:00:01.557997
19,0 days 00:00:00.980870
20,0 days 00:00:01.118318
21,0 days 00:00:04.224121
22,0 days 00:00:01.366034
23,0 days 00:00:00.844099
24,0 days 00:00:01.439236
25,0 days 00:00:02.374770
26,0 days 00:00:00.808667
27,0 days 00:00:00.855288
28,0 days 00:00:02.913582
29,0 days 00:00:00.884906
30,0 days 00:00:00.819287
31,0 days 00:00:01.612274
32,0 days 00:00:00.892267
33,0 days 00:00:01.902918
34,0 days 00:00:01.297561
35,0 days 00:00:02.927409
36,0 days 00:00:01.360050
37,0 days 00:00:02.610957
38,0 days 00:00:02.605403
39,0 days 00:00:01.435585
40,0 days 00:00:01.496475
41,0 days 00:00:00.822701
42,0 days 00:00:01.589856
43,0 days 00:00:01.559882
44,0 days 00:00:01.684518
45,0 days 00:00:01.640843
46,0 days 00:00:01.643537
47,0 days 00:00:02.523414
48,0 days 00:00:01.881321
49,0 days 00:00:01.082986
50,0 days 00:00:00.812495
51,0 days 00:00:02.021368
52,0 days 00:00:01.590134
53,0 days 00:00:01.176886
54,0 days 00:00:00.924061
55,0 days 00:00:00.872500
56,0 days 00:00:01.963578
57,0 days 00:00:00.965438
58,0 days 00:00:00.813611
59,0 days 00:00:01.269330
60,0 days 00:00:00.870858
61,0 days 00:00:02.254423
62,0 days 00:00:00.871704
63,0 days 00:00:01.050636
64,0 days 00:00:01.119140
65,0 days 00:00:01.268356
66,0 days 00:00:00.854048
67,0 days 00:00:01.753096
