,time
0,0 days 00:00:01.096091
1,0 days 00:00:01.475864
2,0 days 00:00:01.231360
3,0 days 00:00:01.449468
4,0 days 00:00:03.838138
5,0 days 00:00:01.154180
6,0 days 00:00:01.826572
7,0 days 00:00:01.184594
8,0 days 00:00:01.436276
9,0 days 00:00:01.230463
10,0 days 00:00:01.229737
11,0 days 00:00:01.733257
12,0 days 00:00:01.099954
13,0 days 00:00:01.306721
14,0 days 00:00:02.176328
15,0 days 00:00:00.803107
16,0 days 00:00:02.191573
17,0 days 00:00:01.739179
18,0 days 00:00:01.889011
19,0 days 00:00:01.174344
20,0 days 00:00:00.818494
21,0 days 00:00:01.203494
22,0 days 00:00:01.262203
23,0 days 00:00:00.834418
24,0 days 00:00:01.018489
25,0 days 00:00:00.839589
26,0 days 00:00:02.864899
27,0 days 00:00:01.038482
28,0 days 00:00:01.066380
29,0 days 00:00:01.917442
30,0 days 00:00:01.479871
31,0 days 00:00:02.648954
32,0 days 00:00:01.108759
33,0 days 00:00:01.047926
34,0 days 00:00:00.840407
35,0 days 00:00:01.979665
36,0 days 00:00:01.403700
37,0 days 00:00:02.175551
38,0 days 00:00:00.960884
39,0 days 00:00:01.661529
40,0 days 00:00:03.122988
41,0 days 00:00:00.804587
42,0 days 00:00:00.970809
43,0 days 00:00:02.000895
44,0 days 00:00:00.945214
45,0 days 00:00:02.614941
46,0 days 00:00:01.109365
47,0 days 00:00:01.817985
48,0 days 00:00:02.702712
49,0 days 00:00:01.048156
50,0 days 00:00:01.554133
51,0 days 00:00:00.838993
52,0 days 00:00:01.031194
53,0 days 00:00:01.881953
54,0 days 00:00:00.868042
55,0 days 00:00:02.923507
56,0 days 00:00:02.270231
57,0 days 00:00:01.188443
58,0 days 00:00:01.495988
59,0 days 00:00:01.053276
60,0 days 00:00:01.226072
61,0 days 00:00:00.823507
62,0 days 00:00:01.040940
63,0 days 00:00:01.265668
64,0 days 00:00:02.245813
65,0 days 00:00:02.084565
66,0 days 00:00:03.706270
67,0 days 00:00:03.372075
68,0 days 00:00:02.036180
69,0 days 00:00:01.120871
70,0 days 00:00:01.547443
71,0 days 00:00:01.166146
72,0 days 00:00:01.713390
73,0 days 00:00:01.847167
74,0 days 00:00:00.883262
75,0 days 00:00:01.980302
76,0 days 00:00:01.836200
77,0 days 00:00:01.515130
78,0 days 00:00:00.828854
79,0 days 00:00:01.301346
80,0 days 00:00:01.439425
81,0 days 00:00:00.809210
82,0 days 00:00:01.214964
83,0 days 00:00:02.392213
84,0 days 00:00:02.524458
85,0 days 00:00:00.964231
86,0 days 00:00:01.130277
87,0 days 00:00:00.813923
88,0 days 00:00:02.818582
89,0 days 00:00:01.239118
90,0 days 00:00:01.634002
91,0 days 00:00:00.831166
92,0 days 00:00:00.857828
93,0 days 00:00:01.511985
94,0 days 00:00:01.423860
95,0 days 00:00:00.843410
96,0 days 00:00:01.054573
97,0 days 00:00:00.947436
98,0 days 00:00:01.272278
99,0 days 00:00:01.510780
100,0 days 00:00:01.182512
101,0 days 00:00:01.209481
102,0 days 00:00:01.764338
103,0 days 00:00:00.856033
104,0 days 00:00:00.844218
105,0 days 00:00:01.822960
106,0 days 00:00:01.669161
107,0 days 00:00:01.117344
108,0 days 00:00:00.906192
109,0 days 00:00:01.471693
110,0 days 00:00:01.069406
111,0 days 00:00:01.134055
112,0 days 00:00:00.961775
113,0 days 00:00:02.317397
114,0 days 00:00:01.071372
115,0 days 00:00:02.852432
116,0 days 00:00:01.802107
117,0 days 00:00:03.992603
118,0 days 00:00:03.146080
119,0 days 00:00:01.730851
120,0 days 00:00:01.361775
121,0 days 00:00:01.267040
122,0 days 00:00:01.553713
123,0 days 00:00:01.609894
124,0 days 00:00:00.992588
125,0 days 00:00:01.755636
126,0 days 00:00:00.846949
127,0 days 00:00:01.224197
128,0 days 00:00:00.901091
129,0 days 00:00:02.064352
130,0 days 00:00:02.039957
131,0 days 00:00:01.855704
132,0 days 00:00:02.251155
133,0 days 00:00:02.079071
134,0 days 00:00:00.868787
135,0 days 00:00:01.597383
136,0 days 00:00:02.010361
137,0 days 00:00:00.900364
138,0 days 00:00:00.838673
139,0 days 00:00:01.786292
140,0 days 00:00:02.653107
141,0 days 00:00:01.441231
142,0 days 00:00:01.207153
143,0 days 00:00:00.875164
144,0 days 00:00:00.903335
145,0 days 00:00:00.874487
146,0 days 00:00:01.315516
147,0 days 00:00:01.499091
148,0 days 00:00:00.818438
149,0 days 00:00:02.068019
150,0 days 00:00:00.885500
151,0 days 00:00:01.348700
152,0 days 00:00:01.215398
153,0 days 00:00:00.902694
154,0 days 00:00:04.126072
155,0 days 00:00:00.963007
156,0 days 00:00:00.978489
157,0 days 00:00:01.290654
158,0 days 00:00:01.475206
159,0 days 00:00:01.761515
160,0 days 00:00:00.900647
161,0 days 00:00:01.522831
162,0 days 00:00:01.302345
163,0 days 00:00:01.361130
164,0 days 00:00:03.433042
165,0 days 00:00:02.593693
166,0 days 00:00:01.486508
167,0 days 00:00:01.732447
168,0 days 00:00:02.114248
169,0 days 00:00:01.315839
170,0 days 00:00:01.093291
171,0 days 00:00:01.409820
172,0 days 00:00:00.901740
173,0 days 00:00:01.239000
174,0 days 00:00:02.044520
175,0 days 00:00:00.825565
176,0 days 00:00:02.319969
177,0 days 00:00:01.299520
178,0 days 00:00:00.861524
179,0 days 00:00:01.289900
