,time
0,0 days 00:00:02.064585
1,0 days 00:00:01.621104
2,0 days 00:00:00.872088
3,0 days 00:00:01.737333
4,0 days 00:00:01.994317
5,0 days 00:00:01.197850
6,0 days 00:00:01.186408
7,0 days 00:00:02.717857
8,0 days 00:00:01.526593
9,0 days 00:00:01.214567
10,0 days 00:00:01.543440
11,0 days 00:00:01.382150
12,0 days 00:00:02.595588
13,0 days 00:00:01.965201
14,0 days 00:00:02.035528
15,0 days 00:00:01.308645
16,0 days 00:00:00.811041
17,0 days 00:00:01.242345
18,0 days 00:00:00.793395
19,0 days 00:00:01.534529
20,0 days 00:00:01.409813
21,0 days 00:00:03.389405
22,0 days 00:00:01.153337
23,0 days 00:00:03.413486
24,0 days 00:00:00.875567
25,0 days 00:00:03.184639
26,0 days 00:00:01.153797
27,0 days 00:00:01.244458
28,0 days 00:00:00.892352
29,0 days 00:00:00.867601
30,0 days 00:00:01.454967
31,0 days 00:00:01.337647
32,0 days 00:00:02.278006
33,0 days 00:00:01.145140
34,0 days 00:00:01.259269
35,0 days 00:00:01.050830
36,0 days 00:00:00.867604
37,0 days 00:00:01.161655
38,0 days 00:00:02.744195
39,0 days 00:00:01.487889
40,0 days 00:00:02.173182
41,0 days 00:00:02.701301
42,0 days 00:00:01.096528
43,0 days 00:00:01.224742
44,0 days 00:00:00.953374
45,0 days 00:00:00.936409
46,0 days 00:00:00.883796
47,0 days 00:00:01.878748
48,0 days 00:00:01.013707
49,0 days 00:00:01.658111
50,0 days 00:00:01.063015
51,0 days 00:00:02.897753
52,0 days 00:00:01.457687
53,0 days 00:00:01.201631
54,0 days 00:00:00.953093
55,0 days 00:00:01.088097
56,0 days 00:00:01.513956
57,0 days 00:00:02.304337
58,0 days 00:00:00.895579
59,0 days 00:00:01.330573
60,0 days 00:00:01.527946
61,0 days 00:00:00.968579
62,0 days 00:00:01.171132
63,0 days 00:00:01.453779
64,0 days 00:00:01.027070
65,0 days 00:00:01.306143
66,0 days 00:00:01.625791
67,0 days 00:00:00.816139
68,0 days 00:00:02.003275
69,0 days 00:00:00.860658
70,0 days 00:00:00.836387
71,0 days 00:00:01.153247
