,time
0,0 days 00:00:02.685792
1,0 days 00:00:00.844076
2,0 days 00:00:01.842239
3,0 days 00:00:00.985580
4,0 days 00:00:01.460460
5,0 days 00:00:01.647069
6,0 days 00:00:01.588900
7,0 days 00:00:00.832034
8,0 days 00:00:01.896576
9,0 days 00:00:01.768148
10,0 days 00:00:01.024033
11,0 days 00:00:01.154254
12,0 days 00:00:00.920970
13,0 days 00:00:01.012018
14,0 days 00:00:00.906437
15,0 days 00:00:01.994215
16,0 days 00:00:01.956270
17,0 days 00:00:01.151685
18,0 days 00:00:02.759311
19,0 days 00:00:02.192024
20,0 days 00:00:00.999311
21,0 days 00:00:01.645893
22,0 days 00:00:02.030501
23,0 days 00:00:01.935700
24,0 days 00:00:04.147596
25,0 days 00:00:01.139064
26,0 days 00:00:03.480582
27,0 days 00:00:02.106318
28,0 days 00:00:00.852924
29,0 days 00:00:00.813236
30,0 days 00:00:00.982499
31,0 days 00:00:02.497040
32,0 days 00:00:02.070372
33,0 days 00:00:02.933967
34,0 days 00:00:01.028972
35,0 days 00:00:01.154271
36,0 days 00:00:01.226582
37,0 days 00:00:01.220512
38,0 days 00:00:00.845860
39,0 days 00:00:00.937978
40,0 days 00:00:00.843287
41,0 days 00:00:05.028248
42,0 days 00:00:01.694626
43,0 days 00:00:02.492983
44,0 days 00:00:01.275543
45,0 days 00:00:01.667993
46,0 days 00:00:01.554040
47,0 days 00:00:02.252270
48,0 days 00:00:02.429089
49,0 days 00:00:01.105734
50,0 days 00:00:01.621724
51,0 days 00:00:01.601732
52,0 days 00:00:01.136989
53,0 days 00:00:00.841718
54,0 days 00:00:01.840159
55,0 days 00:00:00.939559
56,0 days 00:00:01.784677
57,0 days 00:00:01.707465
58,0 days 00:00:00.909987
59,0 days 00:00:04.719840
60,0 days 00:00:01.573420
61,0 days 00:00:00.877006
62,0 days 00:00:01.105670
63,0 days 00:00:02.066751
64,0 days 00:00:00.894580
65,0 days 00:00:01.568774
66,0 days 00:00:01.182494
67,0 days 00:00:01.222606
68,0 days 00:00:01.431490
69,0 days 00:00:00.857238
70,0 days 00:00:00.995736
71,0 days 00:00:02.175679
72,0 days 00:00:04.616566
73,0 days 00:00:05.579282
74,0 days 00:00:02.799854
