,time
0,0 days 00:00:01.748025
1,0 days 00:00:01.188052
2,0 days 00:00:01.066953
3,0 days 00:00:01.268078
4,0 days 00:00:02.046227
5,0 days 00:00:01.539713
6,0 days 00:00:02.394929
7,0 days 00:00:01.114039
8,0 days 00:00:01.361063
9,0 days 00:00:01.891032
10,0 days 00:00:00.838975
11,0 days 00:00:01.155282
12,0 days 00:00:01.507070
13,0 days 00:00:01.241080
14,0 days 00:00:01.904203
15,0 days 00:00:01.522335
16,0 days 00:00:00.976491
17,0 days 00:00:01.465219
18,0 days 00:00:00.944579
19,0 days 00:00:00.880536
20,0 days 00:00:01.723132
21,0 days 00:00:01.100579
22,0 days 00:00:01.248754
23,0 days 00:00:01.323201
24,0 days 00:00:01.908736
25,0 days 00:00:00.930672
26,0 days 00:00:01.162583
27,0 days 00:00:02.885595
28,0 days 00:00:01.081336
29,0 days 00:00:02.213188
30,0 days 00:00:03.351494
31,0 days 00:00:02.093357
32,0 days 00:00:01.311458
33,0 days 00:00:00.820172
34,0 days 00:00:01.942400
35,0 days 00:00:00.989337
36,0 days 00:00:02.518441
37,0 days 00:00:00.881116
38,0 days 00:00:01.278116
39,0 days 00:00:00.841815
40,0 days 00:00:01.007235
41,0 days 00:00:00.912446
42,0 days 00:00:00.899114
43,0 days 00:00:01.184898
44,0 days 00:00:01.642653
45,0 days 00:00:00.983327
46,0 days 00:00:00.801218
47,0 days 00:00:01.773032
48,0 days 00:00:02.113654
49,0 days 00:00:00.856013
50,0 days 00:00:02.264739
51,0 days 00:00:02.741260
52,0 days 00:00:02.715558
53,0 days 00:00:04.885198
54,0 days 00:00:01.307167
55,0 days 00:00:00.854857
56,0 days 00:00:00.934313
57,0 days 00:00:02.227492
58,0 days 00:00:01.078628
59,0 days 00:00:00.803787
60,0 days 00:00:00.812930
61,0 days 00:00:01.555673
62,0 days 00:00:04.077743
63,0 days 00:00:01.202210
64,0 days 00:00:01.097893
65,0 days 00:00:01.459402
66,0 days 00:00:00.836196
67,0 days 00:00:00.819546
68,0 days 00:00:00.853307
69,0 days 00:00:01.434150
70,0 days 00:00:02.516146
71,0 days 00:00:01.675066
72,0 days 00:00:01.702187
73,0 days 00:00:00.806210
74,0 days 00:00:01.617702
75,0 days 00:00:01.384754
76,0 days 00:00:00.913876
77,0 days 00:00:02.132076
78,0 days 00:00:01.329264
79,0 days 00:00:00.826137
80,0 days 00:00:00.804897
81,0 days 00:00:01.443865
82,0 days 00:00:00.863905
83,0 days 00:00:01.178872
84,0 days 00:00:01.645680
85,0 days 00:00:01.139257
86,0 days 00:00:02.436093
87,0 days 00:00:03.049436
88,0 days 00:00:01.203253
89,0 days 00:00:01.507144
90,0 days 00:00:01.372788
91,0 days 00:00:01.145459
92,0 days 00:00:03.343033
93,0 days 00:00:01.154247
94,0 days 00:00:02.546775
95,0 days 00:00:01.579915
96,0 days 00:00:00.964165
97,0 days 00:00:01.938370
98,0 days 00:00:01.658028
99,0 days 00:00:01.404056
100,0 days 00:00:01.633497
101,0 days 00:00:01.323634
102,0 days 00:00:01.677875
103,0 days 00:00:01.706788
104,0 days 00:00:00.888562
105,0 days 00:00:01.845159
106,0 days 00:00:01.922537
107,0 days 00:00:03.917951
108,0 days 00:00:02.074418
109,0 days 00:00:01.207797
110,0 days 00:00:01.036617
111,0 days 00:00:01.613579
112,0 days 00:00:01.582657
113,0 days 00:00:01.514672
114,0 days 00:00:02.166241
115,0 days 00:00:00.805115
116,0 days 00:00:02.033275
117,0 days 00:00:01.033520
118,0 days 00:00:02.861868
119,0 days 00:00:03.995691
120,0 days 00:00:00.853749
121,0 days 00:00:01.494471
122,0 days 00:00:00.951551
123,0 days 00:00:00.838074
124,0 days 00:00:01.120411
125,0 days 00:00:01.481281
126,0 days 00:00:00.810414
127,0 days 00:00:01.555857
128,0 days 00:00:01.357260
129,0 days 00:00:02.602263
130,0 days 00:00:00.820196
131,0 days 00:00:01.162843
132,0 days 00:00:02.595024
133,0 days 00:00:01.053623
134,0 days 00:00:03.395114
135,0 days 00:00:01.942313
136,0 days 00:00:02.043259
137,0 days 00:00:00.808093
138,0 days 00:00:01.824770
139,0 days 00:00:00.811113
140,0 days 00:00:00.854122
141,0 days 00:00:01.371376
142,0 days 00:00:00.804870
143,0 days 00:00:00.879739
144,0 days 00:00:01.240378
145,0 days 00:00:01.020007
146,0 days 00:00:01.019362
147,0 days 00:00:01.154597
148,0 days 00:00:01.357216
149,0 days 00:00:02.109672
150,0 days 00:00:03.448253
151,0 days 00:00:00.836170
152,0 days 00:00:01.448447
153,0 days 00:00:01.057092
154,0 days 00:00:01.273541
155,0 days 00:00:00.862419
156,0 days 00:00:00.865707
157,0 days 00:00:00.871335
158,0 days 00:00:01.188924
159,0 days 00:00:03.793127
160,0 days 00:00:00.866792
161,0 days 00:00:01.759515
162,0 days 00:00:02.105239
163,0 days 00:00:01.159927
164,0 days 00:00:01.093388
165,0 days 00:00:01.032957
166,0 days 00:00:01.578096
167,0 days 00:00:00.821521
168,0 days 00:00:01.192810
169,0 days 00:00:01.185988
170,0 days 00:00:01.273242
171,0 days 00:00:01.692008
172,0 days 00:00:01.969404
173,0 days 00:00:01.415709
174,0 days 00:00:02.506571
175,0 days 00:00:01.372334
176,0 days 00:00:02.271610
177,0 days 00:00:02.178249
178,0 days 00:00:00.895786
179,0 days 00:00:00.810426
180,0 days 00:00:01.769007
181,0 days 00:00:00.820513
182,0 days 00:00:01.222103
183,0 days 00:00:01.729752
184,0 days 00:00:01.508561
185,0 days 00:00:00.820208
186,0 days 00:00:01.386938
187,0 days 00:00:03.352559
188,0 days 00:00:01.713432
189,0 days 00:00:02.308721
190,0 days 00:00:00.926669
191,0 days 00:00:01.458352
192,0 days 00:00:00.841934
193,0 days 00:00:01.252460
194,0 days 00:00:03.233246
195,0 days 00:00:00.837041
196,0 days 00:00:01.755551
197,0 days 00:00:02.261392
198,0 days 00:00:02.457729
199,0 days 00:00:00.822567
200,0 days 00:00:00.986911
201,0 days 00:00:01.849036
202,0 days 00:00:01.925014
203,0 days 00:00:01.108917
204,0 days 00:00:02.192616
205,0 days 00:00:01.603245
206,0 days 00:00:03.009109
207,0 days 00:00:01.770985
208,0 days 00:00:02.528175
209,0 days 00:00:00.824561
210,0 days 00:00:01.023038
211,0 days 00:00:01.068085
212,0 days 00:00:00.948213
213,0 days 00:00:00.972161
214,0 days 00:00:00.811286
215,0 days 00:00:00.823635
216,0 days 00:00:00.991871
217,0 days 00:00:01.673454
218,0 days 00:00:01.775944
219,0 days 00:00:01.527272
220,0 days 00:00:01.402361
221,0 days 00:00:00.821456
222,0 days 00:00:01.735483
223,0 days 00:00:01.009813
224,0 days 00:00:00.821876
225,0 days 00:00:02.194654
226,0 days 00:00:01.829174
227,0 days 00:00:01.394915
228,0 days 00:00:00.807042
