,time
0,0 days 00:00:01.070878
1,0 days 00:00:00.999762
2,0 days 00:00:00.856048
3,0 days 00:00:01.400129
4,0 days 00:00:00.888111
5,0 days 00:00:00.876423
6,0 days 00:00:00.887245
7,0 days 00:00:00.968352
8,0 days 00:00:01.142743
9,0 days 00:00:00.876075
10,0 days 00:00:01.160170
11,0 days 00:00:00.937407
12,0 days 00:00:01.317169
13,0 days 00:00:03.222642
14,0 days 00:00:00.952281
15,0 days 00:00:00.839470
16,0 days 00:00:04.221460
17,0 days 00:00:00.840267
18,0 days 00:00:00.905216
19,0 days 00:00:01.031537
20,0 days 00:00:00.920087
21,0 days 00:00:00.855486
22,0 days 00:00:01.069741
23,0 days 00:00:03.923668
24,0 days 00:00:01.333126
25,0 days 00:00:00.903568
26,0 days 00:00:00.839995
27,0 days 00:00:00.926489
28,0 days 00:00:00.839470
29,0 days 00:00:00.874781
30,0 days 00:00:01.079716
31,0 days 00:00:00.941694
32,0 days 00:00:03.554980
33,0 days 00:00:00.843790
34,0 days 00:00:04.766748
35,0 days 00:00:00.877567
36,0 days 00:00:01.000965
37,0 days 00:00:01.006403
38,0 days 00:00:00.840855
39,0 days 00:00:00.982720
40,0 days 00:00:00.956148
41,0 days 00:00:02.851679
42,0 days 00:00:04.461521
43,0 days 00:00:02.116350
44,0 days 00:00:01.194861
45,0 days 00:00:02.165682
46,0 days 00:00:03.075323
47,0 days 00:00:00.889067
48,0 days 00:00:02.802937
49,0 days 00:00:00.956788
50,0 days 00:00:03.637637
51,0 days 00:00:00.937987
52,0 days 00:00:00.904162
53,0 days 00:00:02.408133
54,0 days 00:00:02.904216
55,0 days 00:00:01.063761
56,0 days 00:00:00.840931
57,0 days 00:00:00.907361
58,0 days 00:00:03.390151
59,0 days 00:00:02.964331
60,0 days 00:00:01.623706
61,0 days 00:00:00.888300
62,0 days 00:00:03.382542
63,0 days 00:00:01.448390
64,0 days 00:00:00.843156
65,0 days 00:00:01.096621
66,0 days 00:00:01.100055
67,0 days 00:00:00.840639
68,0 days 00:00:00.983863
69,0 days 00:00:00.842777
70,0 days 00:00:01.288981
71,0 days 00:00:00.845445
72,0 days 00:00:05.645895
73,0 days 00:00:03.989017
74,0 days 00:00:00.840520
75,0 days 00:00:01.036959
76,0 days 00:00:00.969552
77,0 days 00:00:02.151885
78,0 days 00:00:00.855830
79,0 days 00:00:02.189262
80,0 days 00:00:00.906693
81,0 days 00:00:00.968251
82,0 days 00:00:05.421859
83,0 days 00:00:03.920698
84,0 days 00:00:01.246527
85,0 days 00:00:09.093052
86,0 days 00:00:01.113241
87,0 days 00:00:00.985011
88,0 days 00:00:00.845039
89,0 days 00:00:01.192358
90,0 days 00:00:00.839776
91,0 days 00:00:01.048229
92,0 days 00:00:00.872172
93,0 days 00:00:00.845128
94,0 days 00:00:00.920675
95,0 days 00:00:01.303651
96,0 days 00:00:01.318566
97,0 days 00:00:00.847067
98,0 days 00:00:06.791958
99,0 days 00:00:00.937813
100,0 days 00:00:01.908460
101,0 days 00:00:01.006863
