,time
0,0 days 00:00:02.401907
1,0 days 00:00:01.285266
2,0 days 00:00:02.787208
3,0 days 00:00:01.188360
4,0 days 00:00:01.220624
5,0 days 00:00:02.266197
6,0 days 00:00:02.990195
7,0 days 00:00:01.199570
8,0 days 00:00:01.520429
9,0 days 00:00:04.019068
10,0 days 00:00:01.586273
11,0 days 00:00:01.228770
12,0 days 00:00:05.244443
13,0 days 00:00:01.221009
14,0 days 00:00:05.625905
15,0 days 00:00:01.279843
16,0 days 00:00:01.161192
17,0 days 00:00:01.158548
18,0 days 00:00:05.679270
19,0 days 00:00:01.302769
20,0 days 00:00:01.304845
21,0 days 00:00:01.673368
22,0 days 00:00:03.398173
23,0 days 00:00:06.035516
24,0 days 00:00:01.839117
25,0 days 00:00:01.253202
26,0 days 00:00:01.143056
27,0 days 00:00:01.125351
28,0 days 00:00:01.274303
29,0 days 00:00:01.239229
30,0 days 00:00:05.780398
31,0 days 00:00:01.255726
32,0 days 00:00:03.926667
33,0 days 00:00:01.329172
34,0 days 00:00:01.237302
35,0 days 00:00:07.722275
36,0 days 00:00:01.362505
37,0 days 00:00:09.175532
38,0 days 00:00:01.623673
39,0 days 00:00:08.473998
40,0 days 00:00:01.236963
41,0 days 00:00:01.176895
42,0 days 00:00:01.180296
43,0 days 00:00:01.367855
44,0 days 00:00:05.113213
45,0 days 00:00:01.263184
46,0 days 00:00:06.301448
47,0 days 00:00:01.131953
48,0 days 00:00:01.205703
49,0 days 00:00:01.605374
50,0 days 00:00:01.279735
51,0 days 00:00:06.318008
52,0 days 00:00:01.132755
53,0 days 00:00:01.524240
54,0 days 00:00:06.033751
55,0 days 00:00:03.261568
56,0 days 00:00:01.133588
57,0 days 00:00:01.544633
58,0 days 00:00:04.991012
59,0 days 00:00:01.132845
60,0 days 00:00:01.237756
61,0 days 00:00:01.133629
62,0 days 00:00:01.775981
63,0 days 00:00:04.617773
64,0 days 00:00:01.255542
65,0 days 00:00:01.249159
66,0 days 00:00:03.048901
67,0 days 00:00:05.181562
68,0 days 00:00:01.626535
69,0 days 00:00:07.009196
70,0 days 00:00:01.234954
71,0 days 00:00:01.720783
72,0 days 00:00:08.010027
73,0 days 00:00:06.952243
74,0 days 00:00:01.188925
75,0 days 00:00:01.096773
76,0 days 00:00:05.170308
77,0 days 00:00:01.143141
78,0 days 00:00:01.314218
79,0 days 00:00:01.275360
80,0 days 00:00:01.206287
81,0 days 00:00:01.188395
82,0 days 00:00:01.841520
83,0 days 00:00:01.135785
84,0 days 00:00:01.098708
85,0 days 00:00:13.300780
86,0 days 00:00:01.391359
87,0 days 00:00:01.616248
88,0 days 00:00:01.528250
89,0 days 00:00:04.393012
90,0 days 00:00:01.129455
91,0 days 00:00:04.662945
92,0 days 00:00:05.621269
93,0 days 00:00:01.552664
94,0 days 00:00:01.428407
95,0 days 00:00:01.481800
96,0 days 00:00:01.192251
97,0 days 00:00:01.489346
98,0 days 00:00:01.544585
99,0 days 00:00:01.256845
100,0 days 00:00:01.157238
101,0 days 00:00:01.092498
102,0 days 00:00:01.087661
103,0 days 00:00:04.276638
104,0 days 00:00:01.433502
105,0 days 00:00:01.439290
106,0 days 00:00:01.105068
107,0 days 00:00:01.150760
108,0 days 00:00:05.790548
109,0 days 00:00:01.108845
110,0 days 00:00:01.394497
111,0 days 00:00:01.094078
112,0 days 00:00:13.861193
113,0 days 00:00:01.400925
114,0 days 00:00:01.197688
115,0 days 00:00:10.815982
116,0 days 00:00:04.479381
117,0 days 00:00:00.949466
118,0 days 00:00:00.989130
119,0 days 00:00:01.325409
120,0 days 00:00:00.833043
121,0 days 00:00:02.122844
122,0 days 00:00:00.878535
123,0 days 00:00:03.352967
124,0 days 00:00:00.838035
125,0 days 00:00:01.308042
126,0 days 00:00:00.925416
127,0 days 00:00:00.924779
128,0 days 00:00:01.057381
129,0 days 00:00:00.833963
130,0 days 00:00:01.318231
131,0 days 00:00:09.684844
132,0 days 00:00:01.006922
133,0 days 00:00:00.852814
134,0 days 00:00:01.067757
135,0 days 00:00:03.322187
136,0 days 00:00:05.491224
