,time
0,0 days 00:00:01.175408
1,0 days 00:00:01.833399
2,0 days 00:00:01.097802
3,0 days 00:00:01.325283
4,0 days 00:00:01.325029
5,0 days 00:00:01.932772
6,0 days 00:00:01.095798
7,0 days 00:00:01.183970
8,0 days 00:00:01.967161
9,0 days 00:00:01.242574
10,0 days 00:00:02.381603
11,0 days 00:00:01.098493
12,0 days 00:00:01.503101
13,0 days 00:00:03.479753
14,0 days 00:00:01.097367
15,0 days 00:00:02.862548
16,0 days 00:00:01.531644
17,0 days 00:00:01.472567
18,0 days 00:00:01.386701
19,0 days 00:00:01.302989
20,0 days 00:00:01.154712
21,0 days 00:00:01.517599
22,0 days 00:00:01.221069
23,0 days 00:00:01.149289
24,0 days 00:00:01.408807
25,0 days 00:00:04.317087
26,0 days 00:00:02.430241
27,0 days 00:00:09.987913
28,0 days 00:00:01.711117
29,0 days 00:00:01.135409
30,0 days 00:00:01.297654
31,0 days 00:00:01.099186
32,0 days 00:00:01.118081
33,0 days 00:00:03.588046
34,0 days 00:00:01.366582
35,0 days 00:00:01.724149
36,0 days 00:00:05.477448
37,0 days 00:00:01.251361
38,0 days 00:00:01.491989
39,0 days 00:00:02.634612
40,0 days 00:00:01.267427
41,0 days 00:00:01.101808
42,0 days 00:00:01.200374
43,0 days 00:00:01.104657
44,0 days 00:00:01.510316
45,0 days 00:00:04.587346
46,0 days 00:00:01.209154
47,0 days 00:00:01.575213
48,0 days 00:00:01.101820
49,0 days 00:00:02.112407
50,0 days 00:00:01.405819
51,0 days 00:00:01.140637
52,0 days 00:00:01.583840
53,0 days 00:00:01.171834
54,0 days 00:00:04.377041
55,0 days 00:00:02.745835
56,0 days 00:00:05.764785
57,0 days 00:00:02.837283
58,0 days 00:00:01.103879
59,0 days 00:00:01.248497
60,0 days 00:00:01.148926
61,0 days 00:00:01.315709
62,0 days 00:00:01.203714
63,0 days 00:00:01.100961
64,0 days 00:00:01.686274
65,0 days 00:00:01.114641
66,0 days 00:00:01.122595
67,0 days 00:00:01.204169
68,0 days 00:00:06.033484
69,0 days 00:00:01.108727
70,0 days 00:00:01.262837
71,0 days 00:00:01.103543
72,0 days 00:00:03.482510
73,0 days 00:00:01.285997
74,0 days 00:00:01.254825
75,0 days 00:00:02.271124
76,0 days 00:00:01.264937
77,0 days 00:00:03.456117
78,0 days 00:00:01.108558
79,0 days 00:00:01.356142
80,0 days 00:00:01.224747
81,0 days 00:00:01.152264
82,0 days 00:00:01.355438
83,0 days 00:00:01.278907
84,0 days 00:00:01.182434
85,0 days 00:00:04.975869
86,0 days 00:00:01.225440
87,0 days 00:00:01.169266
88,0 days 00:00:01.160303
89,0 days 00:00:03.187379
90,0 days 00:00:01.709841
91,0 days 00:00:01.165783
92,0 days 00:00:04.332066
93,0 days 00:00:01.159476
94,0 days 00:00:01.293373
95,0 days 00:00:05.318076
96,0 days 00:00:01.169109
97,0 days 00:00:01.231378
98,0 days 00:00:01.159201
99,0 days 00:00:01.368214
100,0 days 00:00:04.930603
101,0 days 00:00:01.188505
102,0 days 00:00:01.908291
103,0 days 00:00:01.580776
104,0 days 00:00:01.167111
105,0 days 00:00:06.628579
106,0 days 00:00:01.359201
107,0 days 00:00:01.684170
108,0 days 00:00:01.162184
109,0 days 00:00:01.714549
110,0 days 00:00:01.162162
111,0 days 00:00:08.346251
112,0 days 00:00:01.578535
113,0 days 00:00:12.100050
