,time
0,0 days 00:00:01.583976
1,0 days 00:00:00.861618
2,0 days 00:00:01.702932
3,0 days 00:00:01.572467
4,0 days 00:00:00.895015
5,0 days 00:00:00.853582
6,0 days 00:00:01.021210
7,0 days 00:00:00.895900
8,0 days 00:00:01.122043
9,0 days 00:00:01.949788
10,0 days 00:00:00.865392
11,0 days 00:00:01.826495
12,0 days 00:00:00.911453
13,0 days 00:00:01.041474
14,0 days 00:00:01.382311
15,0 days 00:00:00.846498
16,0 days 00:00:00.862218
17,0 days 00:00:01.781135
18,0 days 00:00:00.882372
19,0 days 00:00:00.959435
20,0 days 00:00:02.104802
21,0 days 00:00:00.974787
22,0 days 00:00:00.980713
23,0 days 00:00:01.042225
24,0 days 00:00:00.915261
25,0 days 00:00:00.975012
26,0 days 00:00:03.516554
27,0 days 00:00:01.576901
28,0 days 00:00:02.617609
29,0 days 00:00:00.959245
30,0 days 00:00:01.780290
31,0 days 00:00:01.028200
32,0 days 00:00:03.216288
33,0 days 00:00:02.070750
34,0 days 00:00:01.329781
35,0 days 00:00:00.975605
36,0 days 00:00:00.948582
37,0 days 00:00:01.507056
38,0 days 00:00:01.171149
39,0 days 00:00:02.827242
40,0 days 00:00:01.014304
41,0 days 00:00:00.846236
42,0 days 00:00:02.787247
43,0 days 00:00:00.847661
44,0 days 00:00:03.331904
45,0 days 00:00:00.915292
46,0 days 00:00:01.910359
47,0 days 00:00:01.008738
48,0 days 00:00:02.504066
49,0 days 00:00:00.884301
50,0 days 00:00:04.150825
51,0 days 00:00:03.150849
52,0 days 00:00:02.038899
53,0 days 00:00:02.347346
54,0 days 00:00:01.730883
55,0 days 00:00:01.047278
