,time
0,0 days 00:00:02.092060
1,0 days 00:00:01.726478
2,0 days 00:00:01.504597
3,0 days 00:00:02.300869
4,0 days 00:00:02.709607
5,0 days 00:00:01.415545
6,0 days 00:00:01.153265
7,0 days 00:00:03.372897
8,0 days 00:00:01.159619
9,0 days 00:00:02.276888
10,0 days 00:00:02.296460
11,0 days 00:00:02.975241
12,0 days 00:00:02.717974
13,0 days 00:00:01.157943
14,0 days 00:00:02.381466
15,0 days 00:00:02.400298
16,0 days 00:00:01.165187
17,0 days 00:00:02.639651
18,0 days 00:00:01.169029
19,0 days 00:00:02.179509
20,0 days 00:00:01.745769
21,0 days 00:00:01.144637
22,0 days 00:00:01.678391
23,0 days 00:00:01.830913
24,0 days 00:00:01.151327
25,0 days 00:00:01.727881
26,0 days 00:00:02.237098
27,0 days 00:00:01.871721
28,0 days 00:00:02.120610
29,0 days 00:00:01.217524
30,0 days 00:00:02.038033
31,0 days 00:00:04.063944
32,0 days 00:00:01.741699
33,0 days 00:00:01.198931
34,0 days 00:00:01.400051
35,0 days 00:00:01.166195
36,0 days 00:00:01.155216
37,0 days 00:00:01.154488
38,0 days 00:00:02.541589
39,0 days 00:00:02.555728
40,0 days 00:00:01.527133
41,0 days 00:00:01.154770
42,0 days 00:00:01.166010
43,0 days 00:00:01.619936
44,0 days 00:00:02.248570
45,0 days 00:00:03.407231
46,0 days 00:00:01.413442
47,0 days 00:00:02.562670
48,0 days 00:00:01.155720
49,0 days 00:00:01.634991
50,0 days 00:00:01.175298
51,0 days 00:00:02.118731
52,0 days 00:00:03.082017
53,0 days 00:00:01.152834
54,0 days 00:00:02.424345
55,0 days 00:00:02.043259
56,0 days 00:00:01.196141
57,0 days 00:00:01.637817
58,0 days 00:00:02.815518
59,0 days 00:00:03.366382
60,0 days 00:00:01.202207
61,0 days 00:00:02.190068
62,0 days 00:00:03.066065
63,0 days 00:00:01.277333
64,0 days 00:00:01.509759
65,0 days 00:00:01.431016
66,0 days 00:00:02.601839
67,0 days 00:00:01.283444
68,0 days 00:00:03.257271
69,0 days 00:00:01.144483
70,0 days 00:00:01.139321
71,0 days 00:00:02.464555
72,0 days 00:00:01.746543
73,0 days 00:00:03.648670
74,0 days 00:00:02.159796
