,time
0,0 days 00:00:01.624000
1,0 days 00:00:00.862588
2,0 days 00:00:00.862560
3,0 days 00:00:01.040907
4,0 days 00:00:01.397529
5,0 days 00:00:01.842582
6,0 days 00:00:00.898975
7,0 days 00:00:00.973796
8,0 days 00:00:00.866860
9,0 days 00:00:01.006648
10,0 days 00:00:01.604691
11,0 days 00:00:02.214892
12,0 days 00:00:00.966055
13,0 days 00:00:00.990553
14,0 days 00:00:01.006595
15,0 days 00:00:01.425203
16,0 days 00:00:00.848753
17,0 days 00:00:00.853683
18,0 days 00:00:00.959304
19,0 days 00:00:00.943085
20,0 days 00:00:00.864131
21,0 days 00:00:00.850110
22,0 days 00:00:00.847512
23,0 days 00:00:00.927202
24,0 days 00:00:00.846206
25,0 days 00:00:00.924468
26,0 days 00:00:01.039573
27,0 days 00:00:00.878489
28,0 days 00:00:01.296346
29,0 days 00:00:00.864692
30,0 days 00:00:00.853823
31,0 days 00:00:01.007796
32,0 days 00:00:00.846831
33,0 days 00:00:00.848660
34,0 days 00:00:02.254602
35,0 days 00:00:02.250268
36,0 days 00:00:00.848425
37,0 days 00:00:00.864881
38,0 days 00:00:00.991470
39,0 days 00:00:00.901338
40,0 days 00:00:02.502927
41,0 days 00:00:01.607119
42,0 days 00:00:01.059802
43,0 days 00:00:02.367106
44,0 days 00:00:01.254645
45,0 days 00:00:00.848685
46,0 days 00:00:01.008104
47,0 days 00:00:00.851937
48,0 days 00:00:00.848662
49,0 days 00:00:00.912403
50,0 days 00:00:01.025173
51,0 days 00:00:00.847470
52,0 days 00:00:02.913499
53,0 days 00:00:00.847477
54,0 days 00:00:02.154538
55,0 days 00:00:00.895515
