,time
0,0 days 00:00:02.298636
1,0 days 00:00:01.374231
2,0 days 00:00:02.024217
3,0 days 00:00:01.509338
4,0 days 00:00:01.352094
5,0 days 00:00:01.142364
6,0 days 00:00:01.611930
7,0 days 00:00:01.211480
8,0 days 00:00:01.139430
9,0 days 00:00:02.361597
10,0 days 00:00:01.345977
11,0 days 00:00:01.405152
12,0 days 00:00:01.603320
13,0 days 00:00:01.827663
14,0 days 00:00:01.369619
15,0 days 00:00:01.224659
16,0 days 00:00:01.943943
17,0 days 00:00:01.588863
18,0 days 00:00:01.377862
19,0 days 00:00:01.211358
20,0 days 00:00:01.213442
21,0 days 00:00:01.875684
22,0 days 00:00:01.826412
23,0 days 00:00:01.232917
24,0 days 00:00:02.332320
25,0 days 00:00:02.831299
26,0 days 00:00:01.472344
27,0 days 00:00:01.252072
28,0 days 00:00:02.087708
29,0 days 00:00:02.346280
30,0 days 00:00:01.218967
31,0 days 00:00:01.058745
32,0 days 00:00:02.713270
33,0 days 00:00:01.724994
34,0 days 00:00:01.202107
35,0 days 00:00:01.058800
36,0 days 00:00:02.654337
37,0 days 00:00:02.480819
38,0 days 00:00:01.411460
39,0 days 00:00:02.632957
40,0 days 00:00:02.101606
41,0 days 00:00:01.555327
42,0 days 00:00:04.067563
43,0 days 00:00:05.624834
44,0 days 00:00:04.333686
45,0 days 00:00:01.074366
46,0 days 00:00:01.148099
47,0 days 00:00:01.167738
48,0 days 00:00:01.354269
49,0 days 00:00:01.785054
50,0 days 00:00:01.128329
51,0 days 00:00:02.255407
52,0 days 00:00:01.203387
53,0 days 00:00:01.169866
54,0 days 00:00:01.092973
55,0 days 00:00:01.186120
56,0 days 00:00:02.456426
57,0 days 00:00:01.292540
58,0 days 00:00:01.474456
59,0 days 00:00:01.248693
60,0 days 00:00:04.004522
61,0 days 00:00:01.266693
62,0 days 00:00:01.153073
63,0 days 00:00:01.391530
64,0 days 00:00:04.564731
65,0 days 00:00:03.100321
66,0 days 00:00:01.186054
67,0 days 00:00:03.789083
68,0 days 00:00:02.185729
69,0 days 00:00:01.263961
70,0 days 00:00:01.083130
71,0 days 00:00:01.072272
72,0 days 00:00:03.712817
73,0 days 00:00:02.701585
74,0 days 00:00:01.063311
