,time
0,0 days 00:00:01.312564
1,0 days 00:00:00.896637
2,0 days 00:00:00.860921
3,0 days 00:00:00.942782
4,0 days 00:00:00.913748
5,0 days 00:00:01.027180
6,0 days 00:00:02.145821
7,0 days 00:00:00.910136
8,0 days 00:00:00.862309
9,0 days 00:00:00.958373
10,0 days 00:00:00.916997
11,0 days 00:00:01.468120
12,0 days 00:00:00.860228
13,0 days 00:00:01.581233
14,0 days 00:00:02.060791
15,0 days 00:00:00.927860
16,0 days 00:00:01.793156
17,0 days 00:00:01.009765
18,0 days 00:00:03.986095
19,0 days 00:00:00.865170
20,0 days 00:00:00.942415
21,0 days 00:00:02.611899
22,0 days 00:00:00.926690
23,0 days 00:00:02.305316
24,0 days 00:00:00.927159
25,0 days 00:00:00.876479
26,0 days 00:00:00.959005
27,0 days 00:00:01.127727
28,0 days 00:00:01.010327
29,0 days 00:00:01.121539
30,0 days 00:00:04.609268
31,0 days 00:00:00.861296
32,0 days 00:00:00.966323
33,0 days 00:00:01.171045
34,0 days 00:00:03.513552
35,0 days 00:00:00.942981
36,0 days 00:00:02.454284
37,0 days 00:00:03.531914
38,0 days 00:00:01.000673
39,0 days 00:00:03.088459
40,0 days 00:00:06.916316
41,0 days 00:00:01.015345
42,0 days 00:00:01.846678
43,0 days 00:00:01.207637
44,0 days 00:00:02.104935
45,0 days 00:00:00.964033
46,0 days 00:00:01.295910
47,0 days 00:00:01.010474
48,0 days 00:00:01.156292
49,0 days 00:00:01.015702
50,0 days 00:00:00.894360
51,0 days 00:00:03.505616
52,0 days 00:00:01.224202
53,0 days 00:00:01.199040
54,0 days 00:00:01.190688
55,0 days 00:00:01.516467
