,time
0,0 days 00:00:03.255341
1,0 days 00:00:00.861961
2,0 days 00:00:01.072180
3,0 days 00:00:02.809190
4,0 days 00:00:01.992360
5,0 days 00:00:01.531512
6,0 days 00:00:01.431269
7,0 days 00:00:01.615511
8,0 days 00:00:02.216182
9,0 days 00:00:00.945687
10,0 days 00:00:01.580625
11,0 days 00:00:00.926371
12,0 days 00:00:01.073320
13,0 days 00:00:01.683530
14,0 days 00:00:00.941573
15,0 days 00:00:01.511779
16,0 days 00:00:00.861930
17,0 days 00:00:00.995948
18,0 days 00:00:02.445531
19,0 days 00:00:01.597310
20,0 days 00:00:01.056529
21,0 days 00:00:01.105835
22,0 days 00:00:02.076029
23,0 days 00:00:01.121839
24,0 days 00:00:00.858852
25,0 days 00:00:01.007953
26,0 days 00:00:00.865585
27,0 days 00:00:00.909165
28,0 days 00:00:01.056575
29,0 days 00:00:01.973893
30,0 days 00:00:00.892132
31,0 days 00:00:00.865413
32,0 days 00:00:02.513972
33,0 days 00:00:01.563321
34,0 days 00:00:01.023484
35,0 days 00:00:01.062448
36,0 days 00:00:00.926278
37,0 days 00:00:01.383091
38,0 days 00:00:01.662008
39,0 days 00:00:01.666382
40,0 days 00:00:00.908118
41,0 days 00:00:00.908788
42,0 days 00:00:01.192840
43,0 days 00:00:02.722420
44,0 days 00:00:01.288695
45,0 days 00:00:01.397273
46,0 days 00:00:02.477555
47,0 days 00:00:00.865805
48,0 days 00:00:02.086146
49,0 days 00:00:01.532084
50,0 days 00:00:00.897803
51,0 days 00:00:01.238563
52,0 days 00:00:01.311702
53,0 days 00:00:01.176365
54,0 days 00:00:01.566522
55,0 days 00:00:00.861414
