,time
0,0 days 00:00:04.476984
1,0 days 00:00:01.045485
2,0 days 00:00:00.913243
3,0 days 00:00:01.057812
4,0 days 00:00:01.076171
5,0 days 00:00:07.440655
6,0 days 00:00:00.979591
7,0 days 00:00:01.013396
8,0 days 00:00:01.103859
9,0 days 00:00:01.094114
10,0 days 00:00:12.541682
11,0 days 00:00:00.947857
12,0 days 00:00:04.185792
13,0 days 00:00:00.904040
14,0 days 00:00:00.947170
15,0 days 00:00:01.965924
16,0 days 00:00:01.168432
17,0 days 00:00:00.841271
18,0 days 00:00:07.912427
19,0 days 00:00:00.837631
20,0 days 00:00:01.076745
21,0 days 00:00:00.900250
22,0 days 00:00:05.649930
23,0 days 00:00:06.738603
24,0 days 00:00:00.835638
25,0 days 00:00:08.217104
26,0 days 00:00:00.904295
27,0 days 00:00:01.043220
28,0 days 00:00:01.422910
29,0 days 00:00:00.978286
30,0 days 00:00:01.883802
31,0 days 00:00:01.762088
32,0 days 00:00:01.537748
33,0 days 00:00:09.395994
34,0 days 00:00:01.154254
35,0 days 00:00:01.174979
36,0 days 00:00:00.854455
37,0 days 00:00:01.184867
38,0 days 00:00:00.836086
39,0 days 00:00:01.205700
40,0 days 00:00:01.598664
41,0 days 00:00:00.860791
42,0 days 00:00:01.647516
43,0 days 00:00:00.837731
44,0 days 00:00:13.593741
45,0 days 00:00:01.119374
46,0 days 00:00:01.015456
47,0 days 00:00:06.946795
48,0 days 00:00:00.843398
49,0 days 00:00:00.869693
50,0 days 00:00:00.834617
51,0 days 00:00:02.977620
52,0 days 00:00:01.613773
53,0 days 00:00:06.158069
54,0 days 00:00:03.203075
55,0 days 00:00:13.652784
