,time
0,0 days 00:00:04.318216
1,0 days 00:00:01.276187
2,0 days 00:00:01.339706
3,0 days 00:00:01.617079
4,0 days 00:00:01.534193
5,0 days 00:00:01.481968
6,0 days 00:00:01.577444
7,0 days 00:00:01.993392
8,0 days 00:00:03.094621
9,0 days 00:00:01.726146
10,0 days 00:00:02.651459
11,0 days 00:00:01.787464
12,0 days 00:00:02.489788
13,0 days 00:00:01.233786
14,0 days 00:00:02.777258
15,0 days 00:00:04.669891
16,0 days 00:00:02.012526
17,0 days 00:00:02.935373
18,0 days 00:00:01.146873
19,0 days 00:00:02.561885
20,0 days 00:00:03.017327
21,0 days 00:00:01.629240
22,0 days 00:00:01.435144
23,0 days 00:00:01.732006
24,0 days 00:00:03.566817
25,0 days 00:00:01.542276
26,0 days 00:00:01.179354
27,0 days 00:00:03.531091
28,0 days 00:00:01.684745
29,0 days 00:00:03.213353
30,0 days 00:00:01.372717
31,0 days 00:00:02.150942
32,0 days 00:00:02.359212
33,0 days 00:00:01.448364
34,0 days 00:00:02.010826
35,0 days 00:00:03.764195
36,0 days 00:00:01.175130
37,0 days 00:00:02.201458
38,0 days 00:00:01.613209
39,0 days 00:00:03.564812
40,0 days 00:00:03.313969
41,0 days 00:00:03.535539
42,0 days 00:00:01.925604
43,0 days 00:00:01.959791
44,0 days 00:00:02.729504
45,0 days 00:00:02.244649
46,0 days 00:00:01.548146
47,0 days 00:00:03.580709
48,0 days 00:00:01.207162
49,0 days 00:00:02.281744
50,0 days 00:00:02.675665
51,0 days 00:00:02.897052
52,0 days 00:00:01.769082
53,0 days 00:00:01.420084
54,0 days 00:00:04.659079
55,0 days 00:00:01.510472
56,0 days 00:00:01.402754
57,0 days 00:00:01.520738
58,0 days 00:00:01.581014
59,0 days 00:00:02.628361
60,0 days 00:00:03.817163
61,0 days 00:00:01.284360
62,0 days 00:00:02.462276
63,0 days 00:00:01.980410
64,0 days 00:00:02.616586
65,0 days 00:00:03.298323
66,0 days 00:00:01.635996
67,0 days 00:00:01.227474
68,0 days 00:00:03.988775
69,0 days 00:00:03.169271
70,0 days 00:00:03.426438
71,0 days 00:00:01.546067
72,0 days 00:00:01.365098
73,0 days 00:00:01.602145
74,0 days 00:00:02.688195
75,0 days 00:00:02.367677
76,0 days 00:00:02.033731
77,0 days 00:00:02.600671
78,0 days 00:00:01.897992
79,0 days 00:00:01.138205
80,0 days 00:00:03.045726
81,0 days 00:00:01.281964
82,0 days 00:00:02.098902
83,0 days 00:00:02.689722
84,0 days 00:00:03.559661
85,0 days 00:00:01.131310
86,0 days 00:00:02.908841
87,0 days 00:00:04.121081
88,0 days 00:00:01.223438
89,0 days 00:00:01.196809
90,0 days 00:00:01.781536
91,0 days 00:00:02.619116
92,0 days 00:00:03.049520
93,0 days 00:00:02.301666
94,0 days 00:00:01.175076
95,0 days 00:00:03.231992
96,0 days 00:00:01.354941
97,0 days 00:00:01.172677
98,0 days 00:00:02.392391
99,0 days 00:00:01.712418
100,0 days 00:00:01.945847
101,0 days 00:00:04.095167
102,0 days 00:00:03.192227
103,0 days 00:00:01.128196
104,0 days 00:00:02.249725
105,0 days 00:00:01.176816
106,0 days 00:00:01.578203
107,0 days 00:00:01.650417
108,0 days 00:00:01.130119
109,0 days 00:00:03.759637
110,0 days 00:00:02.591854
111,0 days 00:00:01.841085
112,0 days 00:00:03.046553
113,0 days 00:00:03.943962
