,time
0,0 days 00:00:02.853212
1,0 days 00:00:01.884038
2,0 days 00:00:02.507011
3,0 days 00:00:03.817308
4,0 days 00:00:01.113655
5,0 days 00:00:00.983719
6,0 days 00:00:00.907210
7,0 days 00:00:01.896596
8,0 days 00:00:01.190657
9,0 days 00:00:01.461342
10,0 days 00:00:06.841613
11,0 days 00:00:05.204794
12,0 days 00:00:05.914984
13,0 days 00:00:05.279866
14,0 days 00:00:04.701888
15,0 days 00:00:01.658014
16,0 days 00:00:01.239129
17,0 days 00:00:05.981716
18,0 days 00:00:02.133030
19,0 days 00:00:06.189530
20,0 days 00:00:03.192697
21,0 days 00:00:00.952681
22,0 days 00:00:01.095228
23,0 days 00:00:00.937415
24,0 days 00:00:07.856835
25,0 days 00:00:02.245234
26,0 days 00:00:06.086960
27,0 days 00:00:10.758867
28,0 days 00:00:01.547433
29,0 days 00:00:00.920981
30,0 days 00:00:03.441886
31,0 days 00:00:02.598657
32,0 days 00:00:02.074683
33,0 days 00:00:01.711335
34,0 days 00:00:01.432082
35,0 days 00:00:02.099902
36,0 days 00:00:01.048018
37,0 days 00:00:00.939581
38,0 days 00:00:01.287041
39,0 days 00:00:08.971911
40,0 days 00:00:08.554104
41,0 days 00:00:00.891745
42,0 days 00:00:03.209389
43,0 days 00:00:01.303873
44,0 days 00:00:03.954257
45,0 days 00:00:02.825451
46,0 days 00:00:00.856966
47,0 days 00:00:01.644838
48,0 days 00:00:00.967634
49,0 days 00:00:01.557102
50,0 days 00:00:04.010075
51,0 days 00:00:03.623066
52,0 days 00:00:05.128010
53,0 days 00:00:03.077126
54,0 days 00:00:01.018544
55,0 days 00:00:03.173504
56,0 days 00:00:01.017906
57,0 days 00:00:01.382726
58,0 days 00:00:02.985490
59,0 days 00:00:01.352007
60,0 days 00:00:01.495843
61,0 days 00:00:02.341663
62,0 days 00:00:00.904862
63,0 days 00:00:01.241979
64,0 days 00:00:01.433614
65,0 days 00:00:01.448354
66,0 days 00:00:01.047918
67,0 days 00:00:01.662146
68,0 days 00:00:02.089201
69,0 days 00:00:02.299153
70,0 days 00:00:02.326535
71,0 days 00:00:01.031651
72,0 days 00:00:01.328794
73,0 days 00:00:01.353768
74,0 days 00:00:00.904230
75,0 days 00:00:01.257171
76,0 days 00:00:06.376760
77,0 days 00:00:00.954802
78,0 days 00:00:02.902986
79,0 days 00:00:02.165898
80,0 days 00:00:03.146860
81,0 days 00:00:00.954209
82,0 days 00:00:03.126801
83,0 days 00:00:02.519469
84,0 days 00:00:01.542714
85,0 days 00:00:02.459218
86,0 days 00:00:03.290287
87,0 days 00:00:01.463650
88,0 days 00:00:08.205744
89,0 days 00:00:00.992215
90,0 days 00:00:02.518419
91,0 days 00:00:02.488282
92,0 days 00:00:03.733703
93,0 days 00:00:02.623019
94,0 days 00:00:02.412946
95,0 days 00:00:01.033124
96,0 days 00:00:01.127001
97,0 days 00:00:01.845428
98,0 days 00:00:00.860658
99,0 days 00:00:01.961097
100,0 days 00:00:01.735100
101,0 days 00:00:01.176079
102,0 days 00:00:01.069011
103,0 days 00:00:03.274752
104,0 days 00:00:03.225141
105,0 days 00:00:02.596206
106,0 days 00:00:01.356397
107,0 days 00:00:02.937512
108,0 days 00:00:03.038455
109,0 days 00:00:03.434163
110,0 days 00:00:01.769049
111,0 days 00:00:02.668423
112,0 days 00:00:00.907522
113,0 days 00:00:07.745390
114,0 days 00:00:01.096783
115,0 days 00:00:08.345904
116,0 days 00:00:03.052961
117,0 days 00:00:02.103867
118,0 days 00:00:01.782097
119,0 days 00:00:01.337172
120,0 days 00:00:00.861337
121,0 days 00:00:01.817634
122,0 days 00:00:01.718659
123,0 days 00:00:02.468012
124,0 days 00:00:02.015519
125,0 days 00:00:01.547927
126,0 days 00:00:01.879458
127,0 days 00:00:00.859799
128,0 days 00:00:02.076512
129,0 days 00:00:01.608198
130,0 days 00:00:01.559162
131,0 days 00:00:02.102266
132,0 days 00:00:00.874572
133,0 days 00:00:02.988041
134,0 days 00:00:03.739030
135,0 days 00:00:00.872544
136,0 days 00:00:01.079654
137,0 days 00:00:03.689967
138,0 days 00:00:01.737152
139,0 days 00:00:02.008686
140,0 days 00:00:01.448541
141,0 days 00:00:01.885185
142,0 days 00:00:01.660189
143,0 days 00:00:01.145686
144,0 days 00:00:01.705731
145,0 days 00:00:01.111022
146,0 days 00:00:00.940234
147,0 days 00:00:00.857848
148,0 days 00:00:00.872742
149,0 days 00:00:01.079836
150,0 days 00:00:03.474146
151,0 days 00:00:00.891430
152,0 days 00:00:04.428273
153,0 days 00:00:04.007130
154,0 days 00:00:03.230387
155,0 days 00:00:01.706424
156,0 days 00:00:02.506351
157,0 days 00:00:00.856760
158,0 days 00:00:01.717926
159,0 days 00:00:06.970867
160,0 days 00:00:00.922710
161,0 days 00:00:01.226625
162,0 days 00:00:05.092829
163,0 days 00:00:02.043378
164,0 days 00:00:02.248724
165,0 days 00:00:02.682702
166,0 days 00:00:02.061457
167,0 days 00:00:03.224006
168,0 days 00:00:01.553800
169,0 days 00:00:02.712946
170,0 days 00:00:02.167944
171,0 days 00:00:01.702405
172,0 days 00:00:01.070020
173,0 days 00:00:04.487352
174,0 days 00:00:03.078753
175,0 days 00:00:01.626301
176,0 days 00:00:01.228925
177,0 days 00:00:02.186663
178,0 days 00:00:00.905174
179,0 days 00:00:03.394501
180,0 days 00:00:04.723114
181,0 days 00:00:01.997577
182,0 days 00:00:09.474893
183,0 days 00:00:02.392599
184,0 days 00:00:01.611449
185,0 days 00:00:05.099308
186,0 days 00:00:04.702613
187,0 days 00:00:04.960413
188,0 days 00:00:01.993366
189,0 days 00:00:01.022242
190,0 days 00:00:02.316418
191,0 days 00:00:01.049082
192,0 days 00:00:11.013637
193,0 days 00:00:01.271798
194,0 days 00:00:02.205345
195,0 days 00:00:06.612006
196,0 days 00:00:03.465244
197,0 days 00:00:03.767750
198,0 days 00:00:01.915456
199,0 days 00:00:00.844521
200,0 days 00:00:01.896672
201,0 days 00:00:03.746429
202,0 days 00:00:00.959801
203,0 days 00:00:01.067251
204,0 days 00:00:03.227085
205,0 days 00:00:03.543380
206,0 days 00:00:02.277568
207,0 days 00:00:02.538441
208,0 days 00:00:02.940687
209,0 days 00:00:02.186134
210,0 days 00:00:00.855383
211,0 days 00:00:01.710120
212,0 days 00:00:05.093067
213,0 days 00:00:00.922117
214,0 days 00:00:01.962056
215,0 days 00:00:03.207215
216,0 days 00:00:01.311326
217,0 days 00:00:07.167132
218,0 days 00:00:01.689891
219,0 days 00:00:01.527696
220,0 days 00:00:02.620526
221,0 days 00:00:01.177142
222,0 days 00:00:02.489241
223,0 days 00:00:01.768339
224,0 days 00:00:01.435458
225,0 days 00:00:02.332079
226,0 days 00:00:00.921753
227,0 days 00:00:03.236373
228,0 days 00:00:04.144887
229,0 days 00:00:02.189330
230,0 days 00:00:04.114824
231,0 days 00:00:02.234336
232,0 days 00:00:02.007654
233,0 days 00:00:04.171404
234,0 days 00:00:01.787403
235,0 days 00:00:04.872364
236,0 days 00:00:02.662204
237,0 days 00:00:02.574440
238,0 days 00:00:01.450372
239,0 days 00:00:01.464784
240,0 days 00:00:01.979765
241,0 days 00:00:01.417564
242,0 days 00:00:00.845044
243,0 days 00:00:05.468447
244,0 days 00:00:03.796674
245,0 days 00:00:02.487058
246,0 days 00:00:01.628226
247,0 days 00:00:04.527896
248,0 days 00:00:04.218837
249,0 days 00:00:01.496427
250,0 days 00:00:01.039146
251,0 days 00:00:00.940099
252,0 days 00:00:02.805856
253,0 days 00:00:00.970709
254,0 days 00:00:01.576235
255,0 days 00:00:01.453087
256,0 days 00:00:06.962214
257,0 days 00:00:04.827386
258,0 days 00:00:02.408513
259,0 days 00:00:07.273860
260,0 days 00:00:03.263613
261,0 days 00:00:02.208691
262,0 days 00:00:01.929199
263,0 days 00:00:02.647131
264,0 days 00:00:02.033469
265,0 days 00:00:01.469535
266,0 days 00:00:01.976709
267,0 days 00:00:03.685134
268,0 days 00:00:01.500219
269,0 days 00:00:02.267713
270,0 days 00:00:02.347443
271,0 days 00:00:02.072537
272,0 days 00:00:03.405674
273,0 days 00:00:01.067649
274,0 days 00:00:02.187646
275,0 days 00:00:01.895604
276,0 days 00:00:02.231562
277,0 days 00:00:02.491782
278,0 days 00:00:03.630714
279,0 days 00:00:01.657633
280,0 days 00:00:07.296206
281,0 days 00:00:02.686990
282,0 days 00:00:00.876517
283,0 days 00:00:00.891084
284,0 days 00:00:05.392196
285,0 days 00:00:02.000035
286,0 days 00:00:04.080484
287,0 days 00:00:02.010140
288,0 days 00:00:03.251429
289,0 days 00:00:03.060678
290,0 days 00:00:07.405881
291,0 days 00:00:05.887739
292,0 days 00:00:04.172097
293,0 days 00:00:03.464888
294,0 days 00:00:08.481167
295,0 days 00:00:02.061329
296,0 days 00:00:01.563123
297,0 days 00:00:00.856015
298,0 days 00:00:05.266923
299,0 days 00:00:02.265704
300,0 days 00:00:00.842432
301,0 days 00:00:01.018512
302,0 days 00:00:01.175439
303,0 days 00:00:01.669824
304,0 days 00:00:06.090889
305,0 days 00:00:08.539836
306,0 days 00:00:05.075229
307,0 days 00:00:04.488067
308,0 days 00:00:04.887623
309,0 days 00:00:03.081547
310,0 days 00:00:01.284512
311,0 days 00:00:03.347711
312,0 days 00:00:01.217799
313,0 days 00:00:01.715639
314,0 days 00:00:04.557574
315,0 days 00:00:00.929784
316,0 days 00:00:06.224012
317,0 days 00:00:01.426637
318,0 days 00:00:01.046804
319,0 days 00:00:01.474788
320,0 days 00:00:01.988965
321,0 days 00:00:03.648765
322,0 days 00:00:02.086969
323,0 days 00:00:03.094301
324,0 days 00:00:03.666714
325,0 days 00:00:06.022683
326,0 days 00:00:02.602410
327,0 days 00:00:06.591901
328,0 days 00:00:01.622713
329,0 days 00:00:07.286373
330,0 days 00:00:02.504818
331,0 days 00:00:07.617280
332,0 days 00:00:01.752070
333,0 days 00:00:04.490428
334,0 days 00:00:01.136667
335,0 days 00:00:01.039549
336,0 days 00:00:04.812084
337,0 days 00:00:04.383787
338,0 days 00:00:09.370628
339,0 days 00:00:03.006169
340,0 days 00:00:01.610360
341,0 days 00:00:01.851285
342,0 days 00:00:01.844924
343,0 days 00:00:06.729170
344,0 days 00:00:01.609560
345,0 days 00:00:05.970443
346,0 days 00:00:02.025044
347,0 days 00:00:00.990870
348,0 days 00:00:02.891081
349,0 days 00:00:04.092037
350,0 days 00:00:02.720426
351,0 days 00:00:02.784448
352,0 days 00:00:02.488470
353,0 days 00:00:03.077596
354,0 days 00:00:00.994311
355,0 days 00:00:00.912455
356,0 days 00:00:02.166251
357,0 days 00:00:10.858092
358,0 days 00:00:03.977359
359,0 days 00:00:02.105020
360,0 days 00:00:02.186925
361,0 days 00:00:03.134291
362,0 days 00:00:05.764463
363,0 days 00:00:07.991492
364,0 days 00:00:03.505555
365,0 days 00:00:01.253199
366,0 days 00:00:01.045427
367,0 days 00:00:05.374580
368,0 days 00:00:06.636565
369,0 days 00:00:02.071045
