,time
0,0 days 00:00:01.725111
1,0 days 00:00:01.426715
2,0 days 00:00:01.477183
3,0 days 00:00:01.121642
4,0 days 00:00:01.003219
5,0 days 00:00:01.440127
6,0 days 00:00:00.909609
7,0 days 00:00:01.049987
8,0 days 00:00:00.860627
9,0 days 00:00:01.087853
10,0 days 00:00:01.083649
11,0 days 00:00:02.065444
12,0 days 00:00:00.811371
13,0 days 00:00:01.017271
14,0 days 00:00:01.129846
15,0 days 00:00:00.720380
16,0 days 00:00:00.805639
17,0 days 00:00:01.337398
18,0 days 00:00:02.010777
19,0 days 00:00:01.167201
20,0 days 00:00:01.533555
21,0 days 00:00:01.156629
22,0 days 00:00:01.541028
23,0 days 00:00:00.718702
24,0 days 00:00:01.328192
25,0 days 00:00:01.541340
26,0 days 00:00:00.943250
27,0 days 00:00:04.201007
28,0 days 00:00:04.529722
29,0 days 00:00:05.163517
30,0 days 00:00:01.645342
31,0 days 00:00:02.661154
32,0 days 00:00:01.507034
33,0 days 00:00:10.317323
34,0 days 00:00:03.876974
35,0 days 00:00:02.823434
36,0 days 00:00:07.104905
37,0 days 00:00:20.107093
38,0 days 00:00:00.720548
39,0 days 00:00:00.871783
40,0 days 00:00:02.909239
41,0 days 00:00:07.018995
42,0 days 00:00:00.824754
43,0 days 00:00:00.821611
44,0 days 00:00:04.196691
45,0 days 00:00:01.056306
46,0 days 00:00:02.885866
47,0 days 00:00:02.901682
48,0 days 00:00:01.024818
49,0 days 00:00:01.686825
50,0 days 00:00:02.461604
51,0 days 00:00:00.954943
52,0 days 00:00:01.365080
53,0 days 00:00:02.609386
54,0 days 00:00:01.443357
55,0 days 00:00:00.895616
56,0 days 00:00:00.847868
57,0 days 00:00:01.786683
58,0 days 00:00:01.406795
59,0 days 00:00:00.722188
60,0 days 00:00:00.924308
61,0 days 00:00:00.725753
62,0 days 00:00:01.259629
63,0 days 00:00:01.233628
64,0 days 00:00:01.372726
65,0 days 00:00:01.435698
66,0 days 00:00:02.829939
67,0 days 00:00:01.670055
68,0 days 00:00:01.253168
69,0 days 00:00:01.408732
70,0 days 00:00:01.365665
71,0 days 00:00:01.081786
72,0 days 00:00:01.240645
73,0 days 00:00:01.493192
74,0 days 00:00:02.725382
75,0 days 00:00:05.783780
76,0 days 00:00:03.082685
77,0 days 00:00:00.864561
78,0 days 00:00:01.337784
79,0 days 00:00:01.758553
80,0 days 00:00:03.466237
81,0 days 00:00:00.795376
82,0 days 00:00:01.462133
83,0 days 00:00:03.889441
84,0 days 00:00:05.246483
85,0 days 00:00:01.337543
86,0 days 00:00:01.084920
87,0 days 00:00:01.390924
88,0 days 00:00:02.837731
89,0 days 00:00:03.697878
90,0 days 00:00:01.485203
91,0 days 00:00:03.960324
92,0 days 00:00:06.930387
93,0 days 00:00:01.177238
94,0 days 00:00:01.516725
95,0 days 00:00:08.214498
96,0 days 00:00:01.778325
97,0 days 00:00:01.372785
98,0 days 00:00:00.955380
99,0 days 00:00:00.815423
100,0 days 00:00:02.063141
101,0 days 00:00:01.109042
102,0 days 00:00:03.446539
103,0 days 00:00:02.439042
104,0 days 00:00:01.591753
105,0 days 00:00:01.354576
106,0 days 00:00:01.307403
107,0 days 00:00:02.100129
108,0 days 00:00:00.927938
109,0 days 00:00:00.745911
110,0 days 00:00:01.234726
111,0 days 00:00:00.721394
112,0 days 00:00:01.289950
113,0 days 00:00:00.719825
114,0 days 00:00:02.623807
115,0 days 00:00:00.915469
116,0 days 00:00:00.979660
117,0 days 00:00:00.809295
118,0 days 00:00:00.874386
119,0 days 00:00:01.428012
120,0 days 00:00:00.926840
121,0 days 00:00:00.980174
122,0 days 00:00:00.719275
123,0 days 00:00:07.763834
124,0 days 00:00:04.089169
125,0 days 00:00:00.797154
126,0 days 00:00:03.625760
127,0 days 00:00:03.634791
128,0 days 00:00:00.904137
129,0 days 00:00:06.813632
130,0 days 00:00:03.626372
131,0 days 00:00:01.330187
132,0 days 00:00:01.736457
133,0 days 00:00:01.067069
134,0 days 00:00:00.729817
135,0 days 00:00:07.025255
136,0 days 00:00:01.100656
137,0 days 00:00:01.525081
138,0 days 00:00:03.547316
139,0 days 00:00:02.215848
140,0 days 00:00:01.167813
141,0 days 00:00:00.916451
142,0 days 00:00:01.159273
143,0 days 00:00:03.944400
144,0 days 00:00:01.671936
145,0 days 00:00:07.073746
146,0 days 00:00:00.940263
147,0 days 00:00:01.158860
148,0 days 00:00:01.457044
149,0 days 00:00:01.147577
150,0 days 00:00:00.843687
151,0 days 00:00:01.023779
152,0 days 00:00:00.982815
153,0 days 00:00:02.174652
154,0 days 00:00:00.960714
155,0 days 00:00:00.873534
156,0 days 00:00:00.724079
157,0 days 00:00:01.392325
158,0 days 00:00:01.393392
159,0 days 00:00:00.723104
160,0 days 00:00:01.173975
161,0 days 00:00:00.728309
162,0 days 00:00:01.373321
163,0 days 00:00:01.405584
164,0 days 00:00:01.500129
165,0 days 00:00:01.152724
166,0 days 00:00:00.998637
167,0 days 00:00:01.816210
168,0 days 00:00:00.758162
169,0 days 00:00:00.893038
170,0 days 00:00:01.794200
171,0 days 00:00:00.752849
172,0 days 00:00:03.529493
173,0 days 00:00:00.766381
174,0 days 00:00:03.244758
175,0 days 00:00:01.273726
176,0 days 00:00:01.257760
177,0 days 00:00:01.474798
178,0 days 00:00:01.048017
179,0 days 00:00:00.875326
180,0 days 00:00:02.428217
181,0 days 00:00:02.103988
182,0 days 00:00:01.596526
183,0 days 00:00:00.934248
184,0 days 00:00:01.315326
185,0 days 00:00:01.782310
186,0 days 00:00:01.223731
187,0 days 00:00:02.418548
188,0 days 00:00:01.077142
189,0 days 00:00:01.043657
190,0 days 00:00:00.967067
191,0 days 00:00:01.399431
192,0 days 00:00:01.426270
193,0 days 00:00:01.326070
194,0 days 00:00:01.249258
195,0 days 00:00:00.874141
196,0 days 00:00:00.728479
197,0 days 00:00:01.407049
198,0 days 00:00:01.337654
199,0 days 00:00:01.121107
200,0 days 00:00:01.172631
201,0 days 00:00:02.690937
202,0 days 00:00:01.218937
203,0 days 00:00:00.873732
204,0 days 00:00:01.543076
205,0 days 00:00:00.906413
206,0 days 00:00:00.807649
207,0 days 00:00:01.342479
208,0 days 00:00:00.723654
209,0 days 00:00:00.872267
210,0 days 00:00:00.721785
211,0 days 00:00:00.827270
212,0 days 00:00:00.740056
213,0 days 00:00:01.516568
214,0 days 00:00:00.806467
215,0 days 00:00:00.792902
216,0 days 00:00:01.509398
217,0 days 00:00:01.117082
218,0 days 00:00:01.676508
219,0 days 00:00:00.874096
220,0 days 00:00:01.124092
221,0 days 00:00:02.375738
222,0 days 00:00:06.150449
223,0 days 00:00:01.175865
224,0 days 00:00:01.085126
225,0 days 00:00:00.915198
226,0 days 00:00:05.971339
227,0 days 00:00:05.583938
228,0 days 00:00:01.415182
229,0 days 00:00:00.983903
230,0 days 00:00:01.478143
231,0 days 00:00:04.706427
232,0 days 00:00:00.906558
233,0 days 00:00:01.434781
234,0 days 00:00:00.830916
235,0 days 00:00:01.441734
236,0 days 00:00:01.087780
237,0 days 00:00:04.385030
238,0 days 00:00:03.041555
239,0 days 00:00:00.847626
240,0 days 00:00:01.878874
241,0 days 00:00:01.403039
242,0 days 00:00:01.584484
243,0 days 00:00:00.816421
244,0 days 00:00:01.226626
245,0 days 00:00:00.948197
246,0 days 00:00:02.718874
247,0 days 00:00:06.039354
248,0 days 00:00:00.870504
249,0 days 00:00:02.488532
250,0 days 00:00:03.509690
251,0 days 00:00:02.205804
252,0 days 00:00:00.817193
253,0 days 00:00:01.963954
254,0 days 00:00:00.881672
255,0 days 00:00:01.136238
256,0 days 00:00:02.267771
257,0 days 00:00:01.001482
258,0 days 00:00:04.668445
259,0 days 00:00:00.722069
260,0 days 00:00:06.054684
261,0 days 00:00:05.543056
262,0 days 00:00:00.808344
263,0 days 00:00:00.888938
264,0 days 00:00:01.123827
265,0 days 00:00:02.242318
266,0 days 00:00:00.790271
267,0 days 00:00:02.961231
268,0 days 00:00:02.203581
269,0 days 00:00:06.447922
270,0 days 00:00:00.722950
271,0 days 00:00:00.932368
272,0 days 00:00:01.255260
273,0 days 00:00:00.950753
274,0 days 00:00:02.622858
275,0 days 00:00:01.041864
276,0 days 00:00:05.272879
277,0 days 00:00:02.668819
278,0 days 00:00:00.822598
279,0 days 00:00:03.222724
280,0 days 00:00:02.472949
281,0 days 00:00:01.503771
282,0 days 00:00:00.999285
283,0 days 00:00:00.768123
284,0 days 00:00:01.338153
285,0 days 00:00:02.198466
286,0 days 00:00:01.024274
287,0 days 00:00:00.920493
288,0 days 00:00:01.067630
289,0 days 00:00:04.975077
290,0 days 00:00:05.349567
291,0 days 00:00:01.597689
