,time
0,0 days 00:00:01.840981
1,0 days 00:00:03.732898
2,0 days 00:00:03.018763
3,0 days 00:00:02.818743
4,0 days 00:00:00.923046
5,0 days 00:00:00.843911
6,0 days 00:00:00.832568
7,0 days 00:00:01.171256
8,0 days 00:00:00.815856
9,0 days 00:00:00.845474
10,0 days 00:00:01.757305
11,0 days 00:00:00.891263
12,0 days 00:00:02.787329
13,0 days 00:00:02.067962
14,0 days 00:00:01.491439
15,0 days 00:00:00.833207
16,0 days 00:00:01.093602
17,0 days 00:00:01.075696
18,0 days 00:00:01.199427
19,0 days 00:00:01.558351
20,0 days 00:00:01.217268
21,0 days 00:00:07.044934
22,0 days 00:00:01.939373
23,0 days 00:00:01.789118
24,0 days 00:00:05.638346
25,0 days 00:00:01.028794
26,0 days 00:00:02.665570
27,0 days 00:00:00.906118
28,0 days 00:00:00.819088
29,0 days 00:00:02.638947
30,0 days 00:00:05.260020
31,0 days 00:00:05.035265
32,0 days 00:00:01.240671
33,0 days 00:00:06.121976
34,0 days 00:00:07.682085
35,0 days 00:00:01.093529
36,0 days 00:00:01.098863
37,0 days 00:00:01.001683
38,0 days 00:00:02.375247
39,0 days 00:00:04.147084
40,0 days 00:00:01.092213
41,0 days 00:00:00.864786
42,0 days 00:00:00.906232
43,0 days 00:00:01.231962
44,0 days 00:00:01.130193
45,0 days 00:00:01.391144
46,0 days 00:00:01.145071
47,0 days 00:00:00.961366
48,0 days 00:00:06.059640
49,0 days 00:00:00.952058
50,0 days 00:00:02.496985
51,0 days 00:00:01.831121
52,0 days 00:00:04.106485
53,0 days 00:00:01.846164
54,0 days 00:00:01.052944
55,0 days 00:00:03.385842
56,0 days 00:00:01.023486
57,0 days 00:00:10.541573
58,0 days 00:00:02.002861
59,0 days 00:00:00.975050
60,0 days 00:00:05.917903
61,0 days 00:00:00.842359
62,0 days 00:00:00.928511
63,0 days 00:00:03.354301
64,0 days 00:00:00.990583
65,0 days 00:00:03.948512
66,0 days 00:00:01.378855
67,0 days 00:00:00.992670
68,0 days 00:00:01.068699
69,0 days 00:00:01.873802
70,0 days 00:00:00.824407
71,0 days 00:00:00.947801
72,0 days 00:00:00.818946
73,0 days 00:00:01.748663
74,0 days 00:00:03.764009
75,0 days 00:00:01.039332
76,0 days 00:00:04.132845
77,0 days 00:00:00.819210
78,0 days 00:00:03.819043
79,0 days 00:00:26.582780
80,0 days 00:00:02.564422
81,0 days 00:00:00.896969
82,0 days 00:00:01.254650
83,0 days 00:00:01.448310
84,0 days 00:00:00.973996
85,0 days 00:00:00.928043
86,0 days 00:00:01.009944
87,0 days 00:00:01.245142
88,0 days 00:00:03.476593
89,0 days 00:00:00.819618
90,0 days 00:00:01.827059
91,0 days 00:00:11.394377
92,0 days 00:00:01.433906
93,0 days 00:00:03.650099
94,0 days 00:00:00.897270
95,0 days 00:00:00.944244
96,0 days 00:00:00.886348
97,0 days 00:00:00.902857
98,0 days 00:00:03.181190
99,0 days 00:00:00.835547
100,0 days 00:00:00.820613
101,0 days 00:00:00.966242
102,0 days 00:00:00.834717
103,0 days 00:00:01.144733
104,0 days 00:00:04.886740
105,0 days 00:00:01.586546
106,0 days 00:00:00.913929
107,0 days 00:00:00.835309
108,0 days 00:00:00.928105
109,0 days 00:00:07.247765
110,0 days 00:00:00.821984
111,0 days 00:00:09.719261
112,0 days 00:00:05.375079
113,0 days 00:00:01.876053
114,0 days 00:00:00.979397
115,0 days 00:00:02.676595
116,0 days 00:00:03.350909
117,0 days 00:00:01.055164
118,0 days 00:00:03.374541
119,0 days 00:00:03.155194
120,0 days 00:00:01.194645
121,0 days 00:00:01.099937
122,0 days 00:00:01.331978
123,0 days 00:00:01.074442
124,0 days 00:00:01.039111
125,0 days 00:00:01.798931
126,0 days 00:00:01.224009
127,0 days 00:00:00.916660
128,0 days 00:00:01.133009
129,0 days 00:00:02.142090
130,0 days 00:00:01.270062
131,0 days 00:00:00.903018
132,0 days 00:00:00.946767
133,0 days 00:00:01.114459
134,0 days 00:00:00.976576
135,0 days 00:00:00.926510
136,0 days 00:00:01.596745
137,0 days 00:00:04.201542
138,0 days 00:00:01.239247
139,0 days 00:00:00.818608
140,0 days 00:00:03.160853
141,0 days 00:00:01.100534
142,0 days 00:00:00.931868
143,0 days 00:00:00.838167
144,0 days 00:00:01.254650
145,0 days 00:00:00.887348
146,0 days 00:00:00.822349
147,0 days 00:00:00.834110
148,0 days 00:00:00.820047
149,0 days 00:00:00.980451
150,0 days 00:00:01.447536
151,0 days 00:00:00.928474
152,0 days 00:00:01.394838
153,0 days 00:00:01.199953
154,0 days 00:00:01.165181
155,0 days 00:00:01.288540
156,0 days 00:00:01.612295
157,0 days 00:00:00.818668
158,0 days 00:00:01.073255
159,0 days 00:00:01.661595
160,0 days 00:00:00.916431
161,0 days 00:00:00.818861
162,0 days 00:00:06.344114
163,0 days 00:00:01.804569
164,0 days 00:00:01.146054
165,0 days 00:00:01.380152
166,0 days 00:00:00.872167
167,0 days 00:00:01.338339
168,0 days 00:00:01.006521
169,0 days 00:00:02.111409
170,0 days 00:00:01.304777
171,0 days 00:00:04.714613
172,0 days 00:00:01.055434
173,0 days 00:00:01.490214
174,0 days 00:00:03.941996
175,0 days 00:00:01.074124
176,0 days 00:00:01.055896
177,0 days 00:00:00.945642
178,0 days 00:00:02.404716
179,0 days 00:00:23.092355
180,0 days 00:00:02.334883
181,0 days 00:00:01.430466
182,0 days 00:00:09.609366
183,0 days 00:00:01.085286
184,0 days 00:00:01.260594
185,0 days 00:00:03.112132
186,0 days 00:00:10.136731
187,0 days 00:00:01.508217
188,0 days 00:00:07.544981
189,0 days 00:00:02.549424
190,0 days 00:00:01.040179
191,0 days 00:00:07.373895
192,0 days 00:00:01.816998
193,0 days 00:00:00.950249
194,0 days 00:00:01.350908
195,0 days 00:00:02.267940
196,0 days 00:00:03.945146
