,time
0,0 days 00:00:06.174115
1,0 days 00:00:01.908840
2,0 days 00:00:01.793163
3,0 days 00:00:00.812474
4,0 days 00:00:01.116416
5,0 days 00:00:01.125487
6,0 days 00:00:01.300579
7,0 days 00:00:02.468108
8,0 days 00:00:01.039566
9,0 days 00:00:00.901399
10,0 days 00:00:00.813335
11,0 days 00:00:01.244588
12,0 days 00:00:01.639137
13,0 days 00:00:01.734983
14,0 days 00:00:02.867475
15,0 days 00:00:00.842858
16,0 days 00:00:00.798834
17,0 days 00:00:02.228993
18,0 days 00:00:00.903918
19,0 days 00:00:00.949159
20,0 days 00:00:01.717956
21,0 days 00:00:01.531154
22,0 days 00:00:02.036455
23,0 days 00:00:02.117639
24,0 days 00:00:01.173027
25,0 days 00:00:01.319409
26,0 days 00:00:00.832350
27,0 days 00:00:02.418778
28,0 days 00:00:02.163452
29,0 days 00:00:02.504955
30,0 days 00:00:00.862835
31,0 days 00:00:00.933852
32,0 days 00:00:00.785772
33,0 days 00:00:03.409984
34,0 days 00:00:03.183057
35,0 days 00:00:01.126609
36,0 days 00:00:01.674062
37,0 days 00:00:01.317328
38,0 days 00:00:02.073117
39,0 days 00:00:00.802685
40,0 days 00:00:02.792344
41,0 days 00:00:01.256751
42,0 days 00:00:00.856230
43,0 days 00:00:00.825211
44,0 days 00:00:00.787436
45,0 days 00:00:01.392241
46,0 days 00:00:01.643686
47,0 days 00:00:00.870604
48,0 days 00:00:01.549594
49,0 days 00:00:02.017188
50,0 days 00:00:01.391825
51,0 days 00:00:01.646731
52,0 days 00:00:00.923460
53,0 days 00:00:01.838624
54,0 days 00:00:01.411285
55,0 days 00:00:01.127948
56,0 days 00:00:02.070556
57,0 days 00:00:00.830214
58,0 days 00:00:00.787139
59,0 days 00:00:00.978673
60,0 days 00:00:01.129607
61,0 days 00:00:00.934558
62,0 days 00:00:02.559458
63,0 days 00:00:03.362880
64,0 days 00:00:00.858476
65,0 days 00:00:02.526633
66,0 days 00:00:01.865226
67,0 days 00:00:02.346921
68,0 days 00:00:01.302052
69,0 days 00:00:01.637405
70,0 days 00:00:00.802292
71,0 days 00:00:01.602949
72,0 days 00:00:02.776809
73,0 days 00:00:01.454345
74,0 days 00:00:04.938066
75,0 days 00:00:02.897133
76,0 days 00:00:01.169245
77,0 days 00:00:01.190734
78,0 days 00:00:00.789976
79,0 days 00:00:01.052226
80,0 days 00:00:02.270728
81,0 days 00:00:02.254858
82,0 days 00:00:02.097633
83,0 days 00:00:00.882026
84,0 days 00:00:01.723316
85,0 days 00:00:00.890867
86,0 days 00:00:01.302920
87,0 days 00:00:00.834667
88,0 days 00:00:01.069758
89,0 days 00:00:02.701783
90,0 days 00:00:00.829810
91,0 days 00:00:00.850720
92,0 days 00:00:00.846989
93,0 days 00:00:00.801802
94,0 days 00:00:01.750164
95,0 days 00:00:01.224287
96,0 days 00:00:01.704595
97,0 days 00:00:00.846988
98,0 days 00:00:00.890041
99,0 days 00:00:01.880114
100,0 days 00:00:01.383986
101,0 days 00:00:01.796790
102,0 days 00:00:02.519383
103,0 days 00:00:01.856150
104,0 days 00:00:01.218625
105,0 days 00:00:01.499964
106,0 days 00:00:00.789219
107,0 days 00:00:01.274833
108,0 days 00:00:01.162441
109,0 days 00:00:01.069596
110,0 days 00:00:01.067552
111,0 days 00:00:01.610354
112,0 days 00:00:00.905656
113,0 days 00:00:00.835646
114,0 days 00:00:01.604989
115,0 days 00:00:00.968893
116,0 days 00:00:01.885629
117,0 days 00:00:00.819674
118,0 days 00:00:00.845113
119,0 days 00:00:00.784686
120,0 days 00:00:01.514041
121,0 days 00:00:00.991947
122,0 days 00:00:01.839005
123,0 days 00:00:02.590868
124,0 days 00:00:01.113692
125,0 days 00:00:01.366632
126,0 days 00:00:00.998525
127,0 days 00:00:01.782737
128,0 days 00:00:01.900293
129,0 days 00:00:05.485860
130,0 days 00:00:00.939490
131,0 days 00:00:01.857841
132,0 days 00:00:01.067499
133,0 days 00:00:01.646687
134,0 days 00:00:01.022782
135,0 days 00:00:04.629527
136,0 days 00:00:00.816283
137,0 days 00:00:01.543956
138,0 days 00:00:01.955292
139,0 days 00:00:01.304390
140,0 days 00:00:01.632566
141,0 days 00:00:01.425982
142,0 days 00:00:00.938122
143,0 days 00:00:03.604743
144,0 days 00:00:02.101577
145,0 days 00:00:01.379914
146,0 days 00:00:01.452660
147,0 days 00:00:02.515018
148,0 days 00:00:02.271966
149,0 days 00:00:01.243090
150,0 days 00:00:00.812985
151,0 days 00:00:00.834064
152,0 days 00:00:00.800089
153,0 days 00:00:01.911854
154,0 days 00:00:03.785650
155,0 days 00:00:01.312884
156,0 days 00:00:01.050804
157,0 days 00:00:04.069204
158,0 days 00:00:01.673551
159,0 days 00:00:01.298515
160,0 days 00:00:01.422727
161,0 days 00:00:02.000731
162,0 days 00:00:01.247187
163,0 days 00:00:00.804200
164,0 days 00:00:01.718871
165,0 days 00:00:01.186504
