,time
0,0 days 00:00:03.358541
1,0 days 00:00:04.512121
2,0 days 00:00:12.102173
3,0 days 00:00:01.328324
4,0 days 00:00:02.224487
5,0 days 00:00:01.301523
6,0 days 00:00:01.210433
7,0 days 00:00:03.480839
8,0 days 00:00:01.233551
9,0 days 00:00:04.316000
10,0 days 00:00:01.735182
11,0 days 00:00:03.434734
12,0 days 00:00:04.761969
13,0 days 00:00:04.014803
14,0 days 00:00:03.166925
15,0 days 00:00:01.255422
16,0 days 00:00:03.570930
17,0 days 00:00:05.421873
18,0 days 00:00:02.630066
19,0 days 00:00:02.679773
20,0 days 00:00:02.082478
21,0 days 00:00:05.157863
22,0 days 00:00:05.851974
23,0 days 00:00:06.017781
24,0 days 00:00:04.770369
25,0 days 00:00:03.987583
26,0 days 00:00:08.378929
27,0 days 00:00:03.306140
28,0 days 00:00:03.090933
29,0 days 00:00:01.437721
30,0 days 00:00:04.814539
31,0 days 00:00:06.999824
32,0 days 00:00:12.551708
33,0 days 00:00:02.382188
34,0 days 00:00:04.064482
35,0 days 00:00:08.046201
36,0 days 00:00:11.972811
37,0 days 00:00:03.276853
38,0 days 00:00:06.963716
39,0 days 00:00:02.033170
40,0 days 00:00:06.803352
41,0 days 00:00:01.220263
42,0 days 00:00:02.432092
43,0 days 00:00:01.637545
44,0 days 00:00:05.477131
45,0 days 00:00:05.388617
46,0 days 00:00:07.448678
47,0 days 00:00:01.824774
48,0 days 00:00:02.445243
49,0 days 00:00:07.069625
50,0 days 00:00:07.719378
51,0 days 00:00:01.550763
52,0 days 00:00:07.453512
53,0 days 00:00:07.360156
54,0 days 00:00:03.556668
55,0 days 00:00:02.915500
56,0 days 00:00:01.220580
57,0 days 00:00:01.682501
58,0 days 00:00:02.190092
59,0 days 00:00:01.226018
60,0 days 00:00:01.427153
61,0 days 00:00:01.219194
62,0 days 00:00:01.216941
63,0 days 00:00:10.441822
64,0 days 00:00:01.226862
65,0 days 00:00:05.689523
66,0 days 00:00:05.245459
67,0 days 00:00:01.242146
68,0 days 00:00:02.224879
69,0 days 00:00:05.039212
70,0 days 00:00:03.257351
71,0 days 00:00:01.240134
72,0 days 00:00:01.242913
73,0 days 00:00:01.319289
74,0 days 00:00:05.232792
75,0 days 00:00:01.337057
76,0 days 00:00:03.182874
77,0 days 00:00:01.342946
78,0 days 00:00:03.236139
79,0 days 00:00:03.993678
80,0 days 00:00:01.841546
81,0 days 00:00:02.059910
82,0 days 00:00:06.916002
83,0 days 00:00:08.772280
84,0 days 00:00:01.223351
85,0 days 00:00:01.634220
86,0 days 00:00:06.408059
87,0 days 00:00:01.243297
88,0 days 00:00:04.577459
89,0 days 00:00:01.265478
90,0 days 00:00:03.679894
91,0 days 00:00:06.340261
92,0 days 00:00:01.218975
93,0 days 00:00:09.061828
94,0 days 00:00:01.657183
95,0 days 00:00:07.827387
96,0 days 00:00:01.266303
97,0 days 00:00:04.904854
98,0 days 00:00:01.223842
99,0 days 00:00:01.668990
100,0 days 00:00:01.271857
101,0 days 00:00:01.220779
102,0 days 00:00:01.310811
103,0 days 00:00:04.164980
104,0 days 00:00:02.405022
105,0 days 00:00:04.671547
106,0 days 00:00:01.820909
107,0 days 00:00:05.193871
108,0 days 00:00:01.251834
109,0 days 00:00:04.393591
110,0 days 00:00:03.048886
111,0 days 00:00:03.119653
112,0 days 00:00:01.295364
113,0 days 00:00:07.613538
114,0 days 00:00:01.594266
115,0 days 00:00:02.797400
116,0 days 00:00:04.664111
117,0 days 00:00:01.231997
118,0 days 00:00:01.405738
119,0 days 00:00:01.728417
120,0 days 00:00:02.910546
121,0 days 00:00:02.014434
122,0 days 00:00:01.221595
123,0 days 00:00:03.425392
124,0 days 00:00:03.810071
125,0 days 00:00:02.195540
126,0 days 00:00:01.246410
127,0 days 00:00:01.544849
128,0 days 00:00:04.065660
129,0 days 00:00:03.598732
130,0 days 00:00:02.479454
131,0 days 00:00:01.550086
132,0 days 00:00:03.330047
133,0 days 00:00:03.253951
134,0 days 00:00:01.234538
135,0 days 00:00:02.331432
136,0 days 00:00:01.221561
137,0 days 00:00:01.637658
138,0 days 00:00:04.344624
139,0 days 00:00:01.274947
140,0 days 00:00:03.031433
141,0 days 00:00:03.579705
142,0 days 00:00:01.288175
143,0 days 00:00:01.988434
144,0 days 00:00:02.962373
145,0 days 00:00:01.221745
146,0 days 00:00:01.264819
147,0 days 00:00:01.225853
148,0 days 00:00:01.477236
149,0 days 00:00:01.269550
150,0 days 00:00:07.312468
151,0 days 00:00:01.404758
152,0 days 00:00:01.529883
153,0 days 00:00:05.300624
154,0 days 00:00:05.574382
155,0 days 00:00:04.801784
156,0 days 00:00:04.444042
157,0 days 00:00:01.221879
158,0 days 00:00:02.149811
159,0 days 00:00:03.513232
160,0 days 00:00:01.843633
161,0 days 00:00:01.250676
162,0 days 00:00:01.246077
163,0 days 00:00:01.959897
164,0 days 00:00:04.112696
165,0 days 00:00:03.311966
166,0 days 00:00:01.220118
167,0 days 00:00:07.227147
168,0 days 00:00:02.033747
169,0 days 00:00:06.547499
170,0 days 00:00:02.827731
171,0 days 00:00:02.707379
172,0 days 00:00:01.218758
173,0 days 00:00:08.155257
