,time
0,0 days 00:00:04.559718
1,0 days 00:00:01.163267
2,0 days 00:00:02.006180
3,0 days 00:00:05.064097
4,0 days 00:00:01.598507
5,0 days 00:00:01.337063
6,0 days 00:00:01.184356
7,0 days 00:00:01.279074
8,0 days 00:00:01.931429
9,0 days 00:00:02.110496
10,0 days 00:00:01.159946
11,0 days 00:00:01.438559
12,0 days 00:00:01.894735
13,0 days 00:00:04.108079
14,0 days 00:00:02.661103
15,0 days 00:00:02.195684
16,0 days 00:00:03.590455
17,0 days 00:00:02.456880
18,0 days 00:00:02.833048
19,0 days 00:00:01.171572
20,0 days 00:00:01.161449
21,0 days 00:00:03.890015
22,0 days 00:00:01.532550
23,0 days 00:00:01.173393
24,0 days 00:00:04.306231
25,0 days 00:00:02.589331
26,0 days 00:00:02.793155
27,0 days 00:00:02.413705
28,0 days 00:00:01.543359
29,0 days 00:00:04.997581
30,0 days 00:00:04.200869
31,0 days 00:00:02.651377
32,0 days 00:00:03.145563
33,0 days 00:00:02.727078
34,0 days 00:00:02.921778
35,0 days 00:00:01.682659
36,0 days 00:00:03.834078
37,0 days 00:00:01.160885
38,0 days 00:00:01.185040
39,0 days 00:00:01.366824
40,0 days 00:00:03.378379
41,0 days 00:00:02.266408
42,0 days 00:00:01.271946
43,0 days 00:00:01.450725
44,0 days 00:00:03.031522
45,0 days 00:00:01.833862
46,0 days 00:00:01.621275
47,0 days 00:00:01.270729
48,0 days 00:00:03.098063
49,0 days 00:00:02.286987
50,0 days 00:00:02.857806
51,0 days 00:00:02.563910
52,0 days 00:00:02.616090
53,0 days 00:00:06.079179
54,0 days 00:00:01.502166
55,0 days 00:00:01.180328
56,0 days 00:00:01.808714
57,0 days 00:00:02.812168
58,0 days 00:00:01.654835
59,0 days 00:00:01.600709
60,0 days 00:00:02.192713
61,0 days 00:00:08.080804
62,0 days 00:00:03.238028
63,0 days 00:00:01.171060
64,0 days 00:00:02.873660
65,0 days 00:00:02.399421
66,0 days 00:00:04.419082
67,0 days 00:00:01.858085
68,0 days 00:00:01.162449
69,0 days 00:00:44.045550
70,0 days 00:00:03.106968
71,0 days 00:00:03.527235
72,0 days 00:00:02.866407
73,0 days 00:00:01.164538
74,0 days 00:00:03.819891
75,0 days 00:00:01.384062
76,0 days 00:00:03.968079
77,0 days 00:00:04.554092
78,0 days 00:00:01.161167
79,0 days 00:00:01.799023
80,0 days 00:00:01.172981
81,0 days 00:00:02.439759
82,0 days 00:00:03.164240
83,0 days 00:00:01.870289
84,0 days 00:00:01.242075
85,0 days 00:00:01.849344
86,0 days 00:00:02.167433
87,0 days 00:00:01.802248
88,0 days 00:00:02.807733
89,0 days 00:00:01.168719
90,0 days 00:00:02.881027
91,0 days 00:00:02.480286
92,0 days 00:00:02.456599
93,0 days 00:00:02.991525
94,0 days 00:00:02.335800
95,0 days 00:00:02.785703
96,0 days 00:00:01.510442
97,0 days 00:00:01.644956
98,0 days 00:00:08.023669
99,0 days 00:00:03.921942
100,0 days 00:00:03.799624
101,0 days 00:00:02.916440
102,0 days 00:00:02.642352
103,0 days 00:00:01.162423
104,0 days 00:00:02.152505
105,0 days 00:00:03.738524
106,0 days 00:00:02.096289
107,0 days 00:00:02.262984
108,0 days 00:00:01.492106
109,0 days 00:00:02.199613
110,0 days 00:00:05.007424
111,0 days 00:00:04.765771
112,0 days 00:00:01.425421
113,0 days 00:00:04.818232
114,0 days 00:00:04.472105
115,0 days 00:00:01.374542
116,0 days 00:00:02.666304
117,0 days 00:00:02.688477
118,0 days 00:00:02.016030
119,0 days 00:00:01.666191
120,0 days 00:00:03.661577
121,0 days 00:00:01.167180
